local,title,company,pay,reg_date
인천 부평구,일신동 나이키FOS 팩토리 ( 14PT 파트타이머 )모집합니다, FOS나이키,"2,130,000",24분전
충남 천안시,"[모다아울렛천안점] 나이키 정규직 모집(주5일, 평일휴무)", 모다아울렛천안,"2,100,000",30분전
경기 하남시,[스타필드 신세계 하남] 나이키(주5.5일) 매장 정규직/파트타임 판매사원, 대연 하남RN,"2,160,000",57분전
경남 진주시,[나이키 갤러리아 진주점] 파트타이머 판매사원 채용, 대연 갤러리아진주점,"9,160",1시간전
경기 하남시,[스타필드 신세계 하남] 나이키(주5.5일) 매장 정규직/파트타임 판매사원, 대연 하남RN,"2,160,000",2시간전
경기 고양시,[스타필드 고양점] 나이키 정규직 판매사원 채용, (주)대연,"2,160,000",2시간전
서울 강남구,[조던 서울점] 나이키 정규직 판매사원 채용, 대연 조던서울,"2,130,000",2시간전
인천 부평구,[인천 부평점] 나이키 정규직 판매사원 채용, 대연 부평,"2,130,000",2시간전
서울 강남구,[조던 서울점] 나이키 정규직 판매사원 채용, 대연 조던서울,"2,130,000",2시간전
서울 강남구,[조던 서울점] 나이키 정규직 판매사원 채용, 대연 조던서울,"2,130,000",2시간전
경기 시흥시,[시흥점] 나이키 정규직 판매사원 채용, 대연 경기시흥,"2,130,000",2시간전
경기 의정부,[나이키 신세계 의정부] 나이키 정규직 판매사원 채용, 신세계 의정부,"2,080,000",3시간전
경남 김해시,[신세계 김해점] 나이키 정규직 판매사원 채용, 신세계 김해,"2,080,000",3시간전
경기 안성시,[스타필드 안성점] 나이키 정규직 사원 채용 -사진첨부-, (주)대연,"2,160,000",3시간전
서울 서초구,[나이키 신세계 강남 스포츠] 정규직 판매사원 채용, 대연 강남스포츠,"2,080,000",3시간전
대구 전체,[나이키 모다아울렛 대구점]나이키 정규직 판매사원 채용, 대구모다 나이키,"2,100,000",3시간전
부산 해운대,[신세계 센텀시티] 나이키 리뉴얼 확장으로 인한 정규직 추가 채용, 신세계 센텀시티,"2,080,000",3시간전
인천 서구,[모다아울렛 인천점] 나이키 정규직 판매사원 채용, 대연 모다인천북항,"2,100,000",4시간전
경기 부천시,[나이키 스타필드시티 부천점] 정규직 판매사원 채용, 부천스타필드나이키,"2,160,000",4시간전
광주 서구,[광주 세정아울렛점] 나이키 정규직 판매사원 채용, 광주세정,"2,080,000",4시간전
인천 부평구,일신동 나이키FOS 팩토리 (정규직) 직원모집합니다, FOS나이키,"2,130,000",4시간전
충남 천안시,[신세계 천안아산점] 나이키 정규직 판매사원 채용, 신세계 천안아산점,"2,080,000",4시간전
충남 천안시,[신세계 천안아산점] 나이키 정규직 판매사원 채용, 신세계 천안아산점,"2,080,000",4시간전
경기 성남시,[성남 신흥점] 나이키 정규직 판매사원 채용, 대연-나이키공식판매점 성남점,"2,130,000",4시간전
서울 강남구,[조던 서울점] 나이키 단기 파트타이머 채용, 대연 조던서울,"9,200",4시간전
충남 천안시,"[모다아울렛천안점] 나이키 정규직 모집(주5일, 평일휴무)", 모다아울렛천안,"2,100,000",5시간전
경기 수원시,[갤러리아광교점] 나이키 정규직 판매사원 채용, (주)대연,"2,080,000",5시간전
경기 하남시,[스타필드 신세계 하남] 나이키(주5.5일) 매장 정규직/파트타임 판매사원, 대연 하남RN,"2,160,000",5시간전
경남 진주시,[나이키 갤러리아 진주점] 정규직 판매사원 채용, 대연 갤러리아진주점,"2,080,000",5시간전
인천 부평구,[인천 아이즈빌점] 나이키 정규직 판매사원 채용, 나이키 인천 아이즈빌점,"2,130,000",5시간전
충남 천안시,[신세계 천안아산점] 나이키 정규직 판매사원 채용, 신세계 천안아산점,"2,080,000",5시간전
경기 전체,[나이키 스타필드 하남 훕드림점] 나이키 바스켓볼 판매사원 채용, 스타필드 하남 나이키,"2,160,000",5시간전
서울 영등포,[나이키 타임스퀘어점] 나이키 정규직 판매사원 채용, (주)대연,"2,160,000",5시간전
서울 영등포,[나이키 타임스퀘어점] 나이키 정규직 판매사원 채용, (주)대연,"2,160,000",5시간전
충남 천안시,"[모다아울렛천안점] 나이키 정규직 모집(주5일, 평일휴무)", 모다아울렛천안,"2,100,000",5시간전
인천 부평구,[인천 아이즈빌점] 나이키 정규직 판매사원 채용, 나이키 인천 아이즈빌점,"2,130,000",5시간전
광주 서구,[광주 세정아울렛점] 나이키 정규직 판매사원 채용, 광주세정,"2,080,000",5시간전
충남 천안시,"[모다아울렛천안점] 나이키 정규직 모집(주5일, 평일휴무)", 모다아울렛천안,"2,100,000",6시간전
경기 수원시,[갤러리아광교점] 나이키 정규직 판매사원 채용, (주)대연,"2,080,000",6시간전
인천 연수구,LF스퀘어(브이플러스)연수 나이키 정규직 판매사원 (주5일 근무), LF스퀘어(브이플러스) 나이키 연수점,"2,080,000",6시간전
경기 시흥시,[시흥점] 나이키 정규직 판매사원 채용, 대연 경기시흥,"2,130,000",6시간전
대구 동구,[신세계 대구점] 나이키 정규직 판매사원 채용, 신세계 대구,"2,080,000",6시간전
대구 전체,[대구 광장점]나이키 정규직 판매사원 채용, 나이키 대구 광장점,"2,130,000",6시간전
서울 영등포,[나이키 타임스퀘어점] 나이키 파트타이머(주말) 채용, 타임스퀘어,"9,200",7시간전
서울 영등포,나이키 더현대 서울 주말 파트타이머 채용, 대연 더현대서울,"9,200",7시간전
대구 전체,[나이키 모다아울렛 대구점]나이키 정규직 판매사원 채용, 대구모다 나이키,"2,100,000",7시간전
경기 전체,[나이키 스타필드 하남 훕드림점] 나이키 바스켓볼 판매사원 채용, 스타필드 하남 나이키,"2,160,000",7시간전
경기 고양시,[스타필드 고양점] 나이키 주말 파트타이머 채용, (주)대연,"9,200",8시간전
인천 부평구,일신동 나이키FOS 팩토리 (정규직) 직원모집합니다, FOS나이키,"2,130,000",8시간전
인천 계양구,[인천 계산점] 나이키 정규직 사원 채용, (주)대연,"2,130,000",21시간전
