local,title,company,pay,reg_date
경기 시흥시,바로덮밥 시흥대야점  직원 모집, 박앤박 바로덮밥 시흥 대야점,"2,500,000",3시간전
경기 의정부,"배달전문점 주간직원모집 주5,6선택가능", 박앤박 비돈이제돈이 의정부점,"2,500,000",3시간전
경기 시흥시,바로덮밥 시흥대야점 오후 아르바이트 모집, 박앤박 바로덮밥 시흥 대야점,"9,500",4시간전
경기 의정부,배달전문점 주간 직원 모집 주 5일, 박앤박 바로덮밥 의정부점,"2,500,000",5시간전
서울 전체,-배달전문매장혼밥대왕 역촌점 주5일 야간 월290 직원 분을 모십니다, 박앤박 혼밥대왕 역촌점,"2,900,000",07/18
서울 전체,-배달전문매장혼밥대왕 역촌점 주5일 야간 월290 직원 분을 모십니다, 박앤박 혼밥대왕 역촌점,"2,900,000",07/11
제주 제주시,혼밥대왕 신제주점 직원모집, 박앤박 혼밥대왕 신제주점,"3,000,000",07/08
경기 의정부,배달전문점 직원모집, 박앤박 비돈이제돈이 의정부점,"9,500",07/08
경기 안성시,혼밥대왕 안성점 평일오전 아르바이트생/직원 구합니다, 박앤박 혼밥대왕 경기안성점,"10,000",07/07
경기 안성시,혼밥대왕 안성점 평일오전 아르바이트생/직원 구합니다, 박앤박 혼밥대왕 경기안성점,"10,000",07/05
경기 안성시,혼밥대왕 안성점 평일오전 아르바이트생/직원 구합니다, 박앤박 혼밥대왕 경기안성점,"10,000",07/04
경기 안성시,혼밥대왕 안성점 평일오전 아르바이트생/직원 구합니다, 박앤박 혼밥대왕 경기안성점,"10,000",07/03
서울 강남구,"(본사직영)배달매장 바로덮밥, 파스타에서 야간직원 모집합니다.", 박앤박 바로파스타 논현점,"3,500,000",07/03
