local,title,company,pay,reg_date
서울 서초구,아카데미 접수 데스크 및 쿠킹클래스 업무보조 아르바이트 모집, 신세계백화점 강남점,"9,200",1시간전
서울 전체,신세계 본점 직영 레스토랑 ＇까사빠보＇ 홀서비스(홀서빙) 아르바이트 모집, 신세계백화점 본점,"12,000",2시간전
서울 중구,POS(계산대) 포장 주말(금토일) 아르바이트 모집, 신세계백화점 본점,"9,200",4시간전
서울 서초구,아카데미 강의세팅 아르바이트 모집, 신세계백화점 강남점,"9,200",4시간전
서울 영등포,명절 기업체 TM 아르바이트 모집, 신세계백화점 타임스퀘어점,"9,200",4시간전
서울 중구,신세계백화점 본점 규격/진열 아르바이트 모집, 신세계백화점 본점,"9,200",4시간전
경기 의정부,2022년 추석 아르바이트 모집, 신세계 의정부점,"9,200",21시간전
서울 서초구,2022년 추석 (접수데스크) 단기 아르바이트 모집, 신세계백화점 강남점,"9,200",21시간전
서울 서초구,2022년 추석 (접수데스크) 단기 아르바이트 모집, 신세계백화점 강남점,"9,200",21시간전
서울 서초구,2022년 추석 단기 아르바이트 모집, 신세계백화점 강남점,"9,200",22시간전
광주 서구,아카데미  아르바이트모집, 신세계백화점 광주점,"9,200",22시간전
대구 동구,식품 직매입 운반/재고 관리 아르바이트 모집, 신세계백화점 대구점,"9,200",23시간전
서울 서초구,포터서비스 아르바이트 모집, 신세계백화점 강남점,"9,200",07/18
대전 유성구,신세계백화점 대전점 포터서비스 주말 아르바이트 모집, (주)신세계,"9,200",07/18
대구 동구,아카데미 강의 셋팅 아르바이트 모집, 신세계백화점 대구점,"9,200",07/18
부산 해운대,VIP라운지 아르바이트 모집, 신세계백화점 센텀시티점,"9,200",07/18
대전 유성구,신세계백화점 대전점 포터서비스 아르바이트 모집, (주)신세계,"9,200",07/17
서울 중구,포터서비스(장바구니 운반) 아르바이트 모집, 신세계백화점 본점,"9,200",07/17
서울 서초구,포터서비스 아르바이트 모집, 신세계백화점 강남점,"9,200",07/12
서울 서초구,중국어 통역 아르바이트 모집, 신세계백화점 강남점,"9,200",07/12
