local,title,company,pay,reg_date
경기 여주시,[신세계L&B] 와인앤모어 여주아울렛점 와인시음 평일알바모집(교통비지급), (주)신세계엘앤비,"88,000",48분전
경기 이천시,[신세계L&B] 와인앤모어 여주아울렛점 와인시음 평일알바모집(교통비지급), (주)신세계엘앤비,"88,000",48분전
대구 중구,[신세계L&B] 트레이더스 비산점 와인판촉 주말고정 알바모집, (주)신세계엘앤비,"88,000",2시간전
대구 동구,[신세계L&B] 트레이더스 비산점 와인판촉 주말고정 알바모집, (주)신세계엘앤비,"88,000",2시간전
대구 서구,[신세계L&B] 트레이더스 비산점 와인판촉 주말고정 알바모집, (주)신세계엘앤비,"88,000",2시간전
대구 서구,[신세계L&B] 트레이더스 비산점 와인판촉 주말고정 알바모집, (주)신세계엘앤비,"88,000",2시간전
서울 서초구,와인앤모어데일리 남부터미널점 와인 진열/판매 고정알바모집(월 10일 내외), (주)신세계엘앤비,"88,000",4시간전
서울 동작구,와인앤모어데일리 남부터미널점 와인 진열/판매 고정알바모집(월 10일 내외), (주)신세계엘앤비,"88,000",4시간전
서울 서초구,와인앤모어데일리 남부터미널점 와인 진열/판매 고정알바모집(월 10일 내외), (주)신세계엘앤비,"88,000",4시간전
서울 동작구,와인앤모어데일리 남부터미널점 와인 진열/판매 고정알바모집(월 10일 내외), (주)신세계엘앤비,"88,000",4시간전
부산 연제구,[신세계L&B] 이마트트레이더스 연산점 와인판촉 주말고정 알바모집, (주)신세계엘앤비,"88,000",4시간전
부산 동래구,[신세계L&B] 이마트트레이더스 연산점 와인판촉 주말고정 알바모집, (주)신세계엘앤비,"88,000",4시간전
경기 수원시,[신세계L&B] 트레이더스 수원점 와인 시음/판촉 알바 모집, (주)신세계엘앤비,"88,000",4시간전
경기 용인시,[신세계L&B] 트레이더스 수원점 와인 시음/판촉 알바 모집, (주)신세계엘앤비,"88,000",4시간전
경기 수원시,[신세계L&B] 트레이더스 수원점 와인 시음/판촉 알바 모집, (주)신세계엘앤비,"88,000",4시간전
경기 광명시,[신세계L&B] 이마트에브리데이 구로항동점 와인매장 주말고정알바 모집, (주)신세계엘앤비,"88,000",4시간전
경기 광명시,[신세계L&B] 이마트에브리데이 구로항동점 와인매장 주말고정알바 모집, (주)신세계엘앤비,"88,000",4시간전
서울 금천구,[신세계L&B] 이마트에브리데이 구로항동점 와인매장 주말고정알바 모집, (주)신세계엘앤비,"88,000",4시간전
서울 구로구,[신세계L&B] 이마트에브리데이 구로항동점 와인매장 주말고정알바 모집, (주)신세계엘앤비,"88,000",4시간전
인천 미추홀,[신세계L&B] 이마트연수점 맥주진열/판촉 행사자모집(7.22-31), (주)신세계엘앤비,"88,000",4시간전
인천 부평구,[신세계L&B] 이마트연수점 맥주진열/판촉 행사자모집(7.22-31), (주)신세계엘앤비,"88,000",4시간전
부산 연제구,[신세계엘앤비] 메가마트 남천점 내 와인매장 고정알바모집(경력자우대), (주)신세계엘앤비,"88,000",4시간전
부산 수영구,[신세계엘앤비] 메가마트 남천점 내 와인매장 고정알바모집(경력자우대), (주)신세계엘앤비,"88,000",4시간전
부산 남구,[신세계엘앤비] 메가마트 남천점 내 와인매장 고정알바모집(경력자우대), (주)신세계엘앤비,"88,000",4시간전
인천 연수구,[신세계L&B] 이마트연수점 맥주진열/판촉 행사자모집(7.22-31), (주)신세계엘앤비,"88,000",4시간전
서울 성동구,"갤러리아명품관 와인판촉 고정알바 모집(월 15일 근무, 세전 180내외)", (주)신세계엘앤비,"11,760",4시간전
서울 강남구,"갤러리아명품관 와인판촉 고정알바 모집(월 15일 근무, 세전 180내외)", (주)신세계엘앤비,"11,760",4시간전
서울 관악구,[신세계L&B] 신세계강남점 와인판매 고정알바 모집(월 10일 내외 근무), (주)신세계엘앤비,"88,000",4시간전
인천 연수구,[신세계L&B] 이마트연수점 맥주진열/판촉 행사자모집(7.22-31), (주)신세계엘앤비,"88,000",4시간전
서울 강동구,[신세계L&B] 트레이더스 하남점 주류 시음/판촉알바 모집(2명), (주)신세계엘앤비,"88,000",4시간전
경기 하남시,[신세계L&B] 트레이더스 하남점 주류 시음/판촉알바 모집(2명), (주)신세계엘앤비,"88,000",4시간전
부산 동래구,[신세계L&B] 이마트트레이더스 연산점 와인판촉 주말고정 알바모집, (주)신세계엘앤비,"88,000",4시간전
부산 연제구,[신세계L&B] 이마트트레이더스 연산점 와인판촉 주말고정 알바모집, (주)신세계엘앤비,"88,000",4시간전
경기 평택시,[신세계L&B] 트레이더스 안성점 와인/맥주 시음/판촉 알바모집, (주)신세계엘앤비,"88,000",4시간전
경기 안성시,[신세계L&B] 트레이더스 안성점 와인/맥주 시음/판촉 알바모집, (주)신세계엘앤비,"88,000",4시간전
부산 사상구,[신세계L&B] 트레이더스 명지점 와인 시음/판촉 고정알바 모집(8월~), (주)신세계엘앤비,"88,000",4시간전
부산 강서구,[신세계L&B] 트레이더스 명지점 와인 시음/판촉 고정알바 모집(8월~), (주)신세계엘앤비,"88,000",4시간전
경기 오산시,[신세계L&B] 트레이더스 동탄점 와인 시음/판촉 주말알바 모집(7-8월), (주)신세계엘앤비,"88,000",4시간전
경기 화성시,[신세계L&B] 트레이더스 동탄점 와인 시음/판촉 주말알바 모집(7-8월), (주)신세계엘앤비,"88,000",4시간전
경기 수원시,[신세계L&B] 트레이더스 군포점 와인판촉 고정알바 모집(8월-), (주)신세계엘앤비,"88,000",4시간전
경기 의왕시,[신세계L&B] 트레이더스 군포점 와인판촉 고정알바 모집(8월-), (주)신세계엘앤비,"88,000",4시간전
경기 군포시,[신세계L&B] 트레이더스 군포점 와인판촉 고정알바 모집(8월-), (주)신세계엘앤비,"88,000",4시간전
부산 금정구,"[신세계L&B] 이마트금정점 와인판촉 알바모집(7.22-30, 4일간)", (주)신세계엘앤비,"88,000",4시간전
