local,title,company,pay,reg_date
경기 평택시,[오전타임/고정]평택점 주 5일 근무자(3.5시간파트타임 크루)모집, (주)우아한청년들_B마트,"9,500",07/10
서울 구로구,구로신도림점 주 5일 근무자(파트타임 크루)모집 / 대림역 인근, (주)우아한청년들_B마트,"9,500",07/09
서울 구로구,[주말근무] 구로신도림점 주말 근무자(크루)모집 / 대림역 인근, (주)우아한청년들_B마트,"9,500",07/09
경기 고양시,일산점 주 5일 근무자(파트타임 크루)모집 / 주엽역 인근, (주)우아한청년들_B마트,"9,500",07/09
서울 강동구,[06시~09시30분] 강동천호점 주5일 오전 파트타임 크루 모집, (주)우아한청년들_B마트,"9,500",07/09
서울 용산구,[주말근무] 용산한남점 주말 근무자(크루)모집 / 녹사평역 인근, (주)우아한청년들_B마트,"9,500",07/09
서울 은평구,은평점 주 5일 근무자(3.5시간파트타임 크루)모집 / 역촌역 인근, (주)우아한청년들_B마트,"9,500",07/09
서울 중랑구,중랑면목점 주 5일 근무자(파트타임 크루)모집 / 면목역 인근, (주)우아한청년들_B마트,"9,500",07/09
서울 강서구,[06시-09시30분] 강서화곡점 주 5일 오전 파트타임 크루 모집, (주)우아한청년들_B마트,"9,500",07/09
서울 성동구,[주말근무]성동옥수점 주말 근무자(크루)모집 / 왕십리역 인근, (주)우아한청년들_B마트,"9,500",07/09
경기 오산시,오산점 주 5일 근무자(파트타임 크루)모집 / 오산역 인근, (주)우아한청년들_B마트,"9,500",07/09
서울 서초구,[06시-09시30분] 서초반포점 주 5일 오전 파트타임 크루 모집, (주)우아한청년들_B마트,"9,500",07/09
서울 양천구,[주말근무]강서화곡점 주말 근무자(크루)모집 / 까치산역 인근, (주)우아한청년들_B마트,"9,500",07/09
서울 구로구,구로신도림점 주 5일 근무자(크루)모집 / 대림역 인근, (주)우아한청년들_B마트,"9,500",07/09
인천 미추홀,[06시-09시30분] 인천남부점 주 5일 근무자(3.5시간파트타임 크루), (주)우아한청년들_B마트,"9,500",07/09
경기 김포시,김포점 주 5일 근무자(파트타임 크루)모집 / 운양동 인근, (주)우아한청년들_B마트,"9,500",07/09
서울 도봉구,도봉쌍문점 주 5일 근무자(파트타임 크루)모집 / 쌍문역 인근, (주)우아한청년들_B마트,"9,500",07/09
경기 평택시,평택점 주 5일 근무자(파트타임 크루)모집, (주)우아한청년들_B마트,"9,500",07/05
