local,title,company,pay,reg_date
대전 동구,"홈플러스 대전가오점[키즈카페, 실내놀이터] 주말 아르바이트 채용", 플레이타임그룹 홈플러스 가오점 챔피언,"9,160",1시간전
대전 동구,"홈플러스 대전가오점[키즈카페, 실내놀이터] 평일 아르바이트 채용", 플레이타임그룹 홈플러스 가오점 챔피언,"9,160",1시간전
경기 광명시,[AK프라자 광명]챔피언 더 에너자이저 평일 아르바이트 모집, 플레이타임 AK 광명점 챔피언 더 에,"9,660",4시간전
경남 창원시,[키즈카페]롯데마트 양덕점 챔피언 주말 구인(7월20일부터 근무 가능), 플레이타임그룹 롯데마트 양덕점 챔피언,"9,160",4시간전
경기 고양시,롯데아울렛 고양점 챔피언[키즈카페] 평일/주말 아르바이트 채용, 플레이타임그룹 롯데아울렛 고양점 챔피,"9,160",4시간전
경기 고양시,롯데아울렛 고양점 챔피언[키즈카페] 평일/주말 아르바이트 채용, 플레이타임그룹 롯데아울렛 고양점 챔피,"9,160",4시간전
경기 고양시,롯데아울렛 고양점 챔피언[키즈카페] 평일/주말 아르바이트 채용, 플레이타임그룹 롯데아울렛 고양점 챔피,"9,160",4시간전
전북 군산시,[키즈카페]롯데몰 군산점 챔피언1250 주말 아르바이트 모집, 플레이타임그룹 롯데아울렛  군산점 챔,"9,160",07/18
경기 수원시,판타지움 영통점 챔피언1250 주말 아르바이트 모집[키즈카페/수원], 플레이타임그룹 판타지움 영통점 챔피언,"9,160",07/17
부산 연제구,[키즈카페]홈플러스 아시아드점 챔피언 더 블랙벨트 평일/주말 아르바이트 모집, 플레이타임그룹 홈플러스 아시아드점 챔,"9,160",07/17
부산 연제구,[키즈카페]홈플러스 아시아드점 챔피언 더 블랙벨트 평일/주말 아르바이트 모집, 플레이타임그룹 홈플러스 아시아드점 챔,"9,160",07/17
부산 연제구,[키즈카페]홈플러스 아시아드점 챔피언 더 블랙벨트 평일/주말 아르바이트 모집, 플레이타임그룹 홈플러스 아시아드점 챔,"9,160",07/17
부산 연제구,[키즈카페]홈플러스 아시아드점 챔피언 더 블랙벨트 평일/주말 아르바이트 모집, 플레이타임그룹 홈플러스 아시아드점 챔,"9,160",07/17
부산 연제구,[키즈카페]홈플러스 아시아드점 챔피언 더 블랙벨트 평일/주말 아르바이트 모집, 플레이타임그룹 홈플러스 아시아드점 챔,"9,160",07/17
대구 동구,[키즈카페]롯데아울렛 이시아폴리스점 챔피언 평일 아르바이트 모집, 플레이타임그룹 롯데아울렛 이시아폴리스,"9,160",07/17
부산 연제구,[이마트 트레이더스 연산] 챔피언 더 블랙벨트평일 아르바이트 모집, 플레이타임그룹 이마트TR 연산점 챔피,"9,160",07/17
