local,title,company,pay,reg_date
경기 부천시,[현대백화점 중동점]판매기획팀 업무보조A/R 모집, 현대백화점 중동점,"9,200",23분전
경기 성남시,현대백화점 판교점 문화센터 요리보조 주5일 (화~토) 아르바이트 모집합니다., 현대백화점 판교점,"9,200",24분전
울산 남구,[급구] 현대백화점 자스민 업무보조 AR모집, 현대백화점,"9,200",25분전
인천 연수구,[송도아울렛] 지원팀(총무업무) 보조 아르바이트 구인, 현대백화점 송도아울렛,"9,200",36분전
서울 강남구,[현대백화점 무역센터점] 문화센터 강의실보조 아르바이트 모집, 현대백화점 무역센터점,"9,200",46분전
서울 성북구,"[미아점 현대백화점] 사은데스크 (주5일, 장기)", 현대백화점 미아점,"9,200",52분전
부산 동구,[현대백화점 부산점] 문화센터 강의실 수업준비 평일 아르바이트 모집, 주식회사 현대백화점 부산점,"9,200",1시간전
충북 청주시,[꿀알바] 현대백화점 충청점 VIP라운지 단기 아르바이트 구인, 현대백화점 충청점,"9,200",2시간전
경기 성남시,현대백화점 판교점 사은데스크 주5일 아르바이트 모집합니다, 현대백화점 판교점,"9,200",2시간전
경기 남양주,현대프리미엄아울렛 SPACE1 모카라이브러리 안내데스크, 현대프리미엄아울렛 SPACE1,"9,200",2시간전
서울 송파구,[주5일/스케줄근무]현대시티몰 통합서비스데스크 고정 알바 모집(꿀알바), 현대백화점 현대시티몰 가든파이브점,"9,200",2시간전
경기 성남시,[꿀알바] 현대백화점 판교점 명절 AR 모집합니다, 현대백화점 판교점,"9,200",2시간전
서울 강남구,[꿀알바] 현대백화점 압구정본점 VIP라운지 바리스타 채용, 현대백화점,"9,880",3시간전
서울 강남구,[단기꿀알바] 현대백화점 압구정본점 명절 단기 아르바이트 채용, 현대백화점,"10,000",3시간전
서울 양천구,현대백화점목동점/VIP라운지설거지업무/주5일/장기, 한무쇼핑(주),"9,200",4시간전
서울 양천구,현대백화점목동점/VIP라운지/주5일/서빙업무, 한무쇼핑(주),"10,000",4시간전
서울 성북구,현대백화점 미아점 판매기획팀  주말 행사알바 모집(보건증필수), 현대백화점 미아점,"9,200",4시간전
서울 구로구,"[토,일] 현대백화점 디큐브시티 TM(아웃바운드) 알바모집", 현대백화점 디큐브시티,"9,200",4시간전
서울 전체,"[토,일] 현대시티몰 통합서비스데스크 주말 고정AR 모집", 현대백화점 현대시티몰 가든파이브점,"9,200",4시간전
경기 성남시,현대백화점 판교점 VIP라운지 보조 아르바이트 모집합니다, 현대백화점 판교점,"9,200",4시간전
경기 부천시,[현대백화점 중동점] 자스민 라운지 단기 아르바이트 모집(주5), 현대백화점 중동점,"10,212",4시간전
서울 송파구,"[토,일] 현대시티몰 통합서비스데스크 주말 고정AR 모집", 현대백화점 현대시티몰 가든파이브점,"9,200",5시간전
서울 서대문,"[시급9,200원][현대백화점신촌점] 자스민 라운지 주방보조A/R 구인", 현대백화점 신촌점,"9,200",21시간전
서울 영등포,[더현대 서울] 꿀알바 현대백화점 판매기획팀 업무보조 아르바이트 모집, 더현대서울,"9,200",07/18
서울 강남구,[현대백화점 무역센터점] 사은데스크 아르바이트 모집, 현대백화점 무역센터점,"9,200",07/18
서울 강남구,[단기꿀알바] 현대백화점 압구정본점 명절 단기 아르바이트 채용, 현대백화점,"10,000",07/18
서울 송파구,[주5일/스케줄근무]현대시티몰 통합서비스데스크 고정 알바 모집(꿀알바), 현대백화점 현대시티몰 가든파이브점,"9,200",07/18
경기 부천시,[현대백화점 중동점] 자스민라운지 계약직 모집 (주 5일 스케줄 근무), 현대백화점 중동점,"2,276,667",07/18
서울 서대문,[요일무관 주5일][현대백화점신촌점] 자스민 라운지 보조업무 A/R 구인, 현대백화점 신촌점,"9,200",07/17
서울 강남구,현대백화점 본사(삼성역) 상품 단가 등록 아르바이트, (주)현대백화점,"9,200",07/17
서울 전체,[주5일/스케줄근무]현대시티몰 통합서비스데스크 고정 알바 모집(꿀알바), 현대백화점 현대시티몰 가든파이브점,"9,200",07/17
경기 성남시,현대백화점 판교점 이커머스 사무보조 평일 아르바이트 모집합니다, 현대백화점 판교점,"9,200",07/17
대구 중구,"현대백화점 대구점 사은데스크 주말(금,토,일) 장기 아르바이트 모집", 현대백화점,"9,200",07/16
서울 구로구,"[디큐브시티][토,일] 현대백화점(신도림) 카드발급/TM 알바모집", 현대백화점 디큐브시티,"9,200",07/16
인천 연수구,[현대아울렛송도점] 현대백화점 통합멤버십 신규가입 응대, 현대백화점 송도아울렛,"9,200",07/16
서울 강동구,"[현대백화점 천호점] VIP라운지 음료제조, 주방보조 주말 AR채용", 현대백화점 천호점,"9,200",07/14
부산 동구,[현대백화점 부산점] 문화센터 강의실 수업준비 평일 아르바이트 모집, 주식회사 현대백화점 부산점,"9,200",07/13
서울 강남구,[주5일] 현대백화점 압구정본점 VIP라운지 주방보조 채용, 현대백화점,"9,670",07/13
서울 강남구,[주5일] 현대백화점 압구정본점 VIP라운지 주방보조 채용, 현대백화점,"9,670",07/13
서울 강동구,"[현대백화점 천호점] VIP라운지 음료제조, 주방보조 AR채용", 현대백화점 천호점,"9,200",07/13
서울 강동구,[현대백화점 천호점] VIP라운지 주방보조 AR-장애인특별 채용, 현대백화점 천호점,"9,200",07/11
경기 성남시,현대백화점 판교점 회원서비스센터 카드접수 주5일 아르바이트 모집합니다., 현대백화점 판교점,"9,200",07/11
경기 남양주,남양주 현대아울렛 회원모집 아르바이트 모집, 남양주 현대아울렛,"9,200",07/10
서울 구로구,"[디큐브시티][토,일] 현대백화점(신도림) 카드발급/TM 알바모집", 현대백화점 디큐브시티,"9,200",07/10
경기 성남시,현대백화점 판교점 어린이미술관 안전 주5일 아르바이트 모집합니다, 현대백화점 판교점,"9,200",07/10
경기 성남시,현대백화점 판교점 YP라운지 음료제조 주5일 아르바이트 모집합니다., 현대백화점 판교점,"9,200",07/07
서울 영등포,[더현대 서울] 현대백화점 사은데스크 주3일 아르바이트 모집, 더현대서울,"9,200",07/07
서울 금천구,현대백화점 클럽쟈스민 ARS 접수 단기 아르바이트 채용, (주)현대백화점,"10,339",07/03
