local,title,company,pay,reg_date
부산 해운대,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집, 홍대개미 신세계백화점센텀시티점,"2,250,000",25분전
부산 부산진,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집, 홍대개미 롯데백화점 부산본점,"2,250,000",41분전
광주 서구,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방, 홍대개미 신세계백화점 광주점,"2,250,000",52분전
부산 해운대,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집, 홍대개미 신세계백화점센텀시티점,"2,250,000",1시간전
경남 김해시,홍대개미 장유 롯데아울렛점  정직원 모집합니다, 홍대개미롯데아울렛점,"2,500,000",2시간전
부산 해운대,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집, 홍대개미 신세계백화점센텀시티점,"2,250,000",2시간전
서울 강북구,"홍대개미청량리점 주방직원 (255만원)&주방파트(11,000원)", 홍대개미청량리역사점,"2,550,000",3시간전
서울 종로구,"홍대개미청량리점 주방직원 (255만원)&주방파트(11,000원)", 홍대개미청량리역사점,"2,550,000",3시간전
서울 성북구,"홍대개미청량리점 주방직원 (255만원)&주방파트(11,000원)", 홍대개미청량리역사점,"2,550,000",3시간전
서울 중랑구,"홍대개미청량리점 주방직원 (255만원)&주방파트(11,000원)", 홍대개미청량리역사점,"2,550,000",3시간전
서울 동대문,"홍대개미청량리점 주방직원 (255만원)&주방파트(11,000원)", 홍대개미청량리역사점,"2,550,000",3시간전
광주 서구,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방, 홍대개미 신세계백화점 광주점,"2,250,000",3시간전
부산 중구,[주5일/225만원]홍대개미 롯데백화점 광복점 주방정직원 모집, 홍대개미 롯데백화점 광복점,"2,250,000",3시간전
부산 부산진,주말 오후 홀서빙, 홍대개미 삼정타워점,"9,160",4시간전
부산 해운대,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집, 홍대개미 신세계백화점센텀시티점,"2,250,000",5시간전
울산 남구,홍대개미 울산삼산점에서 함께할 홀  정직원 모집합니다., 홍대개미 울산삼산점,"2,800,000",5시간전
광주 전체,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방, 홍대개미 신세계백화점 광주점,"2,250,000",6시간전
부산 북구,홍대개미 덕천점  디너 아르바이트 모집합니다, 홍대개미 덕천점,"9,160",6시간전
부산 해운대,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집, 홍대개미 신세계백화점센텀시티점,"2,250,000",6시간전
경기 수원시,[홍대개미 갤러리아 광교] 주5일 주방 정직원 모집, 홍대개미 갤러리아 광교 직영점,"1,950,000",7시간전
부산 중구,[주5일/225만원]홍대개미 롯데백화점 광복점 주방정직원 모집, 홍대개미 롯데백화점 광복점,"2,250,000",7시간전
부산 부산진,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집, 홍대개미 롯데백화점 부산본점,"2,250,000",7시간전
부산 부산진,주말 오후 홀서빙 / 평일 주방 오후, 홍대개미 삼정타워점,"9,160",8시간전
광주 서구,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방, 홍대개미 신세계백화점 광주점,"2,250,000",8시간전
부산 북구,홍대개미 덕천점  디너 아르바이트 모집합니다, 홍대개미 덕천점,"9,160",8시간전
부산 부산진,주말 오전 홀서빙, 홍대개미 삼정타워점,"9,160",22시간전
부산 중구,[주5일/225만원]홍대개미 롯데백화점 광복점 주방정직원 모집, 홍대개미 롯데백화점 광복점,"2,250,000",07/18
경기 구리시,홍대개미 롯데 구리점 주5일 정직원 주방 모집, [홍대개미] 롯데구리점,"2,250,000",07/18
경기 구리시,홍대개미 롯데 구리점 주5일 정직원 주방 모집, [홍대개미] 롯데구리점,"2,250,000",07/18
경기 구리시,홍대개미 롯데 구리점 주5일 정직원 주방 모집, [홍대개미] 롯데구리점,"2,250,000",07/18
경기 구리시,홍대개미 롯데 구리점 주5일 정직원 주방 모집, [홍대개미] 롯데구리점,"2,250,000",07/18
경기 구리시,홍대개미 롯데 구리점 주5일 정직원 주방 모집, [홍대개미] 롯데구리점,"2,250,000",07/18
광주 서구,"홍대개미상무점   홀서빙 파트타임 - 평일  점심(시급 10,000원", 홍대개미상무점,"10,000",07/18
울산 남구,홍대개미 울산삼산점에서 함께할 홀  정직원 모집합니다., 홍대개미 울산삼산점,"2,800,000",07/17
경기 의정부,[신세계 백화점 의정부점 홍대개미] 주말 아르바이트 모집, 홍대개미 신세계 의정부점,"9,160",07/17
부산 중구,[주5일/225만원]홍대개미 롯데백화점 광복점 주방정직원 모집, 홍대개미 롯데백화점 광복점,"2,250,000",07/17
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집, 홍대개미 롯데백화점 스타시티점,"2,300,000",07/16
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집, 홍대개미 롯데백화점 스타시티점,"2,300,000",07/16
부산 부산진,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집, 홍대개미 롯데백화점 부산본점,"2,250,000",07/16
부산 부산진,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집, 홍대개미 롯데백화점 부산본점,"2,250,000",07/16
울산 남구,홍대개미 울산삼산점에서 함께할 홀  정직원 모집합니다., 홍대개미 울산삼산점,"2,800,000",07/15
광주 서구,"홍대개미상무점   홀서빙 파트타임 - 평일  점심(시급 10,000원", 홍대개미상무점,"10,000",07/15
경기 수원시,[홍대개미 갤러리아 광교] 주5일 주방 정직원 모집, 홍대개미 갤러리아 광교 직영점,"1,950,000",07/14
광주 서구,"홍대개미상무점   홀서빙 파트타임 - 평일  점심-시급 10,000원", 홍대개미상무점,"10,000",07/13
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집, 홍대개미 롯데백화점 스타시티점,"2,300,000",07/13
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집, 홍대개미 롯데백화점 스타시티점,"2,300,000",07/12
부산 부산진,평일 주방 파트, 홍대개미 삼정타워점,"9,160",07/11
부산 중구,[주5일/225만원]홍대개미 롯데백화점 광복점 주방정직원 모집, 홍대개미 롯데백화점 광복점,"2,250,000",07/11
부산 부산진,평일 주방 파트, 홍대개미 삼정타워점,"9,160",07/10
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집, 홍대개미 롯데백화점 스타시티점,"2,300,000",07/10
