local,title,company,pay,reg_date
서울 용산구,"cu편의점 이태원2동점에서 함께하실 (토,일요일)오전~오후근무", CU 이태원2동점,"9,160",1분전
경기 의정부,"야간 알바 급구(23-06) 화-수, 수-목 1분 모십니다.", CU 의정부역점,"9,160",1분전
서울 노원구,CU  야간 알바 모집, CU 노원보람점,"9,160",3분전
인천 부평구,"부평시장점평일야간스텝모집(일,월)남", CU 부평시장점,"9,160",3분전
인천 부평구,부평시장점평일야간스텝모집(화. 수) 남, CU 부평시장점,"9,160",3분전
광주 남구,"광주대 뒤 월,수 저녁 입니다.", CU 광주행암행복점,"9,160",3분전
경북 구미시,CU구미 도량타운점 스태프 모집합니다., CU 구미도량타운점,"9,160",3분전
경남 창원시,평일(월화수목)  저녁 스텝 모집합니다, CU 진해오송스퀘어점,"9,160",4분전
경기 광주시,송정동 CU편의점  야간 근무자 구함, CU 광주훼미리점,"9,160",4분전
강원 원주시,"(화,수) 오후(1700-2200) 스텝 모집", CU 원주장양리점,"9,160",4분전
서울 강동구,씨유 고덕센트럴 주말아르바이트구함, CU 고덕센트럴점,"9,200",4분전
서울 중구,CU파크힐링점 주말오후스텝 모집, CU 파크힐링점,"9,160",4분전
광주 서구,"주말 야간 알바를 구합니다 (금,토)", CU 상무은혜점,"9,160",4분전
서울 중구,CU파크힐링점 주말오후스텝 모집, CU 파크힐링점,"9,160",5분전
서울 중구,CU파크힐링점 주말오후스텝 모집, CU 파크힐링점,"9,160",5분전
서울 관악구,"평일  오후 (  월, 화요일)근무자 모집합니다", CU 봉천역점,"9,160",5분전
서울 전체,CU강남삼성점 토요일오후 아르바이트 모집합니다, CU 강남삼성점,"9,500",5분전
서울 동작구,CU신대방리안(목금 2일 18시-01시 또는 02시가능)-문자 지원, CU 신대방리안점,"9,160",5분전
부산 기장군,CU일관한신2단지정, CU 일광한신2단지점,"9,160",6분전
서울 관악구,"평일  오후 (  월, 화요일)근무자 모집합니다", CU 봉천역점,"9,160",6분전
경남 창원시,주말 오전 근무자를 구합니다(7월30일부터 근무 시작), CU 진해수협점,"9,160",6분전
경기 성남시,주중 야간 금요일 근무 하실 분 모집합니다., CU 성남복정타운점,"10,000",6분전
인천 서구,평일 목/금 오전 아르바이트 모집(오전11시 오후3시- 4시간), CU 가정시티점,"9,160",7분전
제주 서귀포,"삼매봉도서관옆CU주말18시~24시 (토,일)", CU 서귀외돌개점,"9,160",7분전
경기 광주시,"(금,토)]야간 근무하실 스테프 모집합니다", CU 광주오포문형점,"9,160",7분전
충북 청주시,cu가경비발디점에서  월요일 야간 근무자를 모집합니다(문자지원), CU 청주가경비발디점,"9,160",7분전
인천 서구,평일 야간 모집 (월화 2일), CU 가정시티점,"9,160",7분전
인천 계양구,CU 계양산로점  스텝 모집(주부환영), CU 계양산로점,"9,160",8분전
인천 서구,평일 야간 모집 (금 1일), CU 가정시티점,"9,160",8분전
인천 연수구,CU 연수메카점  야간 스태프모집, CU 연수메카점,"9,160",8분전
서울 중랑구,"토,일 야간근무하실분 찾습니다", CU 묵동도깨비점,"9,200",8분전
경남 고성군,평일저녁타임, CU 고성흑룡점,"9,200",8분전
광주 광산구,장덕미소점에서 주말 야간 스태프를 모집합니다, CU 장덕미소점,"9,160",8분전
경북 포항시,"평일 새벽 스탭 구합니다. 06-10시 월,화,수요일", CU 포항흥해대유점,"9,160",8분전
경남 진주시,평일 야간 아르바이트, CU 사천완사점,"9,160",8분전
인천 연수구,CU 연수메카점  일요일 야간 스태프모집, CU 연수메카점,"9,160",9분전
경기 의왕시,"CU의왕대로점  토,일 주말 오전  스태프 모집", CU 의왕대로점,"9,160",9분전
경기 오산시,CU평일야간 (00시~07시)스텝 모집공고, CU 오산푸르지오점,"9,160",9분전
서울 강서구,CU 마곡웰튼점  저녁(18~23)근무자를 모집합니다., CU 마곡웰튼점,"9,160",10분전
경기 김포시,CU김포골드점  월화  오후타임 구해요, CU 김포골드점,"9,160",10분전
경기 파주시,[광탄개나리점]스태프를 모집합니다., CU 광탄개나리점,"9,160",10분전
서울 구로구,cu개봉남부점에서 주중 오후스태프를 구합니다, CU 개봉남부점,"9,160",10분전
서울 강서구,CU 마곡웰튼점 주말오후 근무자를 모집합니다, CU 마곡웰튼점,"9,160",10분전
부산 기장군,CU일광한신2단지, CU 일광한신2단지점,"9,160",10분전
충북 청주시,CU 편의점 야간 아르바이트 모집, CU 하복대원룸점,"9,160",10분전
울산 전체,CU울산여천점(야음동)  주말  오후 스태프를 구함니다., CU 울산여천점(야음동),"9,160",10분전
서울 서대문,"CU 명지전문대점 주간근무 주4일  (목,금,토,일) 1명모집", CU 명지전문대점,"9,160",10분전
경기 광주시,(토.일) 오전. 오후 근무하실 스테프를  모집합니다  2명, CU 곤지암청솔점,"9,160",11분전
서울 용산구,주말 오전 근무자(08-15시) 구합니다, CU 보광오산점,"9,160",11분전
대구 북구,주말 저녁(금토일 중 주2일) 근무자 구함, CU 백조예미지점,"9,160",11분전
