local,title,company,pay,reg_date
서울 성북구,매장내 진열사원을 모집합니다., GS수퍼마켓 길음뉴타운점,"9,160",2분전
서울 영등포,GS THE FRESH 신길사러가점 단기알바 모집(09시~12시), GS수퍼마켓 신길사러가점,"10,000",4분전
경기 남양주,"GS더프레시 호평알프하임 직원구인(오전, 야간)", GS수퍼마켓 호평알프하임점,"12,000",4분전
강원 원주시,계산원 채용, GS수퍼마켓 원주혁신점,"9,160",4분전
경기 군포시,GS수퍼 의왕오전점)직원모집(주 5일 00명)아르바이트 모집(00명), GS수퍼마켓 의왕오전점,"9,160",5분전
강원 원주시,조리 직원 채용, GS수퍼마켓 원주혁신점,"9,160",5분전
경기 의왕시,GS수퍼 의왕오전점)직원모집(주 5일 00명)주말 아르바이트 모집(00명), GS수퍼마켓 의왕오전점,"9,160",6분전
서울 도봉구,GS수퍼 방학 신동아점 오후 계산/진열 사원 모집, GS수퍼마켓 방학신동아점,"9,160",7분전
서울 성북구,주말 아르바이트 모집합니다., GS수퍼마켓 길음뉴타운점,"9,160",10분전
경기 용인시,GS THE FRESH 용인동백점 함께하실 직원 모집합니다.(정직원/파트타임, GS수퍼마켓 용인동백점,"9,160",11분전
서울 마포구,GS THE FREASH 마포상암점 야간진열 인원 (2명구인), GS수퍼마켓 마포상암점,"10,000",12분전
서울 마포구,GS수퍼마포상암점 조리 2명  인원모집, GS수퍼마켓 마포상암점,"9,160",14분전
서울 마포구,(초보자환영)마포상암점 딜리버리 음식 생산, GS수퍼마켓 마포상암점,"13,000",14분전
강원 홍천군,함께 근무할 조리코너 직원을 모집합니다., GS수퍼마켓 홍천점,"9,160",16분전
경기 김포시,[풍무동]GS수퍼 김포풍무점에서 주말 오전/오후 아르바이트를 구합니다., GS수퍼마켓 김포풍무점,"9,160",18분전
경기 김포시,[풍무동]GS수퍼 김포풍무점에서 주말 오전/오후 아르바이트를 구합니다., GS수퍼마켓 김포풍무점,"9,160",18분전
부산 북구,GS더프레시 만덕이편함점, GS수퍼마켓 만덕이편한점,"9,160",18분전
서울 성북구,진열사원을 모집합니다., GS수퍼마켓 길음뉴타운점,"9,160",20분전
울산 북구,GS수퍼마켓 송정신도시점 주말 오전오후 교대근무가능한 직원구합니다., GS수퍼마켓 송정신도시점,"9,160",21분전
경남 진주시,GS수퍼] 진주평거점 조리코너 및 공산(야간진열) 직원모집, GS수퍼마켓 진주평거점,"9,160",26분전
부산 해운대,GS THE FRESH 함께하실 스토어매니져을 구인 합니다., GS수퍼마켓 센텀시티점,"9,160",27분전
경기 시흥시,GS수퍼 배곧중흥점 진열 및 계산대 채용, GS수퍼마켓 배곧중흥점,"9,160",28분전
경기 시흥시,시흥은계호반점 GS수퍼마켓, GS수퍼마켓 은계호반점,"9,160",35분전
대구 달서구,GS더 프레시(수퍼마켓) 대구 월곡점에서 함께할 직원 모집합니다, GS수퍼마켓 대구월곡점,"9,160",42분전
경북 포항시,GS더프레쉬 포항상도점 직원 구인, GS수퍼마켓 포항상도점,"9,160",46분전
경기 김포시,GS수퍼 김포풍무점에서 일요일 오전 아르바이트를 구합니다., GS수퍼마켓 김포풍무점,"9,160",50분전
경기 김포시,GS수퍼 김포풍무점에서 일요일 오전 아르바이트를 구합니다., GS수퍼마켓 김포풍무점,"9,160",1시간전
충남 아산시,GS THE FRESH 아산둔포점 스태프 모집, GS수퍼마켓 아산둔포점,"9,160",1시간전
부산 북구,GS더프레시 만덕이편함점, GS수퍼마켓 만덕이편한점,"9,160",1시간전
서울 서초구,(급구) 주3일/주5일 GS수퍼마켓 서초교대점 캐셔 / 영업 근무자 모집, GS수퍼마켓 서초교대점,"10,000",1시간전
서울 서초구,(급구) 주3일/주5일 GS수퍼마켓 서초교대점 캐셔 / 영업 근무자 모집, GS수퍼마켓 서초교대점,"10,000",1시간전
서울 서초구,(급구) 주3일/주5일 GS수퍼마켓 서초교대점 캐셔 / 영업 근무자 모집, GS수퍼마켓 서초교대점,"10,000",1시간전
서울 서초구,(급구) 주3일/주5일 GS수퍼마켓 서초교대점 캐셔 / 영업 근무자 모집, GS수퍼마켓 서초교대점,"10,000",1시간전
서울 서초구,(급구) 주3일/주5일 GS수퍼마켓 서초교대점 캐셔 / 영업 근무자 모집, GS수퍼마켓 서초교대점,"10,000",1시간전
충남 천안시,지에스슈퍼천안불당시티점  8시-12시 진열 캐셔모집, GS수퍼마켓 천안불당시티점,"9,160",1시간전
인천 연수구,[GS수퍼마켓] 계산대 등 직원 모집 (송도 마리나점), GS수퍼마켓 송도마리나점F1,"9,160",1시간전
경기 용인시,GS수퍼마켓 용인한숲시티 4점  주말 오전 직원모집, GS수퍼마켓 용인한숲시티4점,"10,000",1시간전
서울 용산구,"GS 수퍼) 용산해링턴점 주말 직원 모집 시급 9,800원", GS수퍼마켓 용산해링턴점,"9,800",1시간전
경기 용인시,GS수퍼마켓 용인한숲시티 4점  부점장 모집, GS수퍼마켓 용인한숲시티4점,"2,508,000",2시간전
경기 오산시,GS수퍼마켓 용인한숲시티 4점  부점장 모집, GS수퍼마켓 용인한숲시티4점,"2,508,000",2시간전
경기 화성시,GS수퍼마켓 용인한숲시티 4점  부점장 모집, GS수퍼마켓 용인한숲시티4점,"2,508,000",2시간전
경기 포천시,GS수퍼마켓 직원(초보자환영) 모집, GS수퍼마켓 포천점,"9,160",2시간전
부산 강서구,주말 진열사원 모집, GS수퍼마켓 명지신도시점,"9,160",2시간전
부산 북구,GS THE FRESH 구포점에서 조리코너 근무할 직원을 구합니다, GS수퍼마켓 구포점,"9,160",2시간전
경남 진주시,충무공점(진주혁신도시) 함께 할 사우님을 모집합니다., GS수퍼마켓 GS수퍼마켓 충무공점,"9,160",2시간전
경기 안양시,gs수퍼마켓 안양석수점 사원 모집, GS수퍼마켓 안양석수점,"9,160",2시간전
경기 안양시,gs수퍼마켓 안양석수점 주말오전 사원 모집, GS수퍼마켓 안양석수점,"9,160",2시간전
경기 용인시,GS수퍼마켓 용인동백점 주말알바 모집, GS수퍼마켓 용인동백점,"10,000",2시간전
인천 연수구,[GS수퍼마켓] 계산대 등 직원 모집 (송도 마리나점), GS수퍼마켓 송도마리나점F1,"9,160",2시간전
충남 천안시,천안불당시티점  주말08시-15시30분진열/캐셔  알바모집, GS수퍼마켓 천안불당시티점,"9,160",2시간전
