local,title,company,pay,reg_date
경기 용인시,오후근무자 구합니다, SK에너지 동백시티주유소,"9,160",1시간전
인천 계양구,직원구함, SK에너지 서울석유(주) 태경주유소,"9,160",2시간전
경기 시흥시,주말(오후) 알바 하실분 모집 합니다, SK에너지 은계충전소,"9,160",5시간전
강원 원주시,주유직원모집, SK에너지 SK원주주유소,"9,160",5시간전
강원 원주시,주유직원모집, SK에너지 SK원주주유소,"9,160",5시간전
강원 원주시,주유직원모집, SK에너지 SK원주주유소,"9,160",5시간전
경기 광주시,주유원 및 세차원, SK에너지 한신주유소,"9,160",5시간전
부산 전체,초량self주유소 주말알바모집, SK에너지 동방석유(주)초량주유소,"9,160",6시간전
서울 전체,경력주유원모집/SK풍한주유소/알바가능, SK에너지 풍한주유소,"9,160",7시간전
경기 고양시,주유및세차원 모집합니다., SK에너지 사우디제 7 주유소,"9,160",8시간전
서울 서초구,"주유원 구함 , 초보가능,시간협의가능", SK에너지 양재주유소,"9,160",13시간전
서울 전체,정규총무직원밎주유직원구함, SK에너지 염창동주유소,"2,200,000",21시간전
서울 전체,주유원  모집, SK에너지 강평주유소,"10,000",21시간전
서울 전체,주유원  모집, SK에너지 강평주유소,"10,000",21시간전
서울 전체,주유원  모집, SK에너지 강평주유소,"10,000",21시간전
서울 전체,주유원  모집, SK에너지 강평주유소,"10,000",21시간전
서울 전체,"주유원모집/단시간 알바가능/셀프X,초보불가", SK에너지 풍한주유소,"9,160",21시간전
경기 광주시,서민셀프주유소 내부세차 주말알바모집합니다, SK에너지 서민주유소,"10,000",07/18
서울 전체,경력주유원모집/SK풍한주유소/알바가능, SK에너지 풍한주유소,"9,160",07/18
경기 광주시,서민셀프주유소 주유사원 모집합니다, SK에너지 서민주유소,"2,500,000",07/18
서울 전체,주유사원모집, SK에너지 행촌주유소,"2,220,000",07/18
인천 부평구,인천부개동sk부개주유소에서 주말 아르바이트 모집합니다, SK에너지 부개주유소,"9,160",07/18
서울 강서구,주유 및 세차원 모집(숙식제공), SK에너지 코리나(주)청룡주유소,"2,400,000",07/18
서울 동대문,함께 일 하실분 모집 합니다, SK에너지 삼영주유소,"9,160",07/18
서울 동대문,함께 일 하실분 모집 합니다, SK에너지 삼영주유소,"9,160",07/18
서울 동대문,함께 일 하실분 모집 합니다, SK에너지 삼영주유소,"9,160",07/18
경기 고양시,주유및세차원 모집합니다., SK에너지 사우디제 7 주유소,"9,160",07/18
대전 유성구,sk (주)황제주유소 즉시체용 / 1인1실 신축기숙사 및 숙식가능/급여인상, SK에너지 (주)황제주유소,"2,500,000",07/18
경기 수원시,"평일 셀프 주유소 (월,화 )P.M 19~ 24시(5시간)", SK에너지 영화셀프주유소,"9,160",07/17
경기 오산시,[일9시간/월278만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴), SK에너지 KH에너지㈜직영 오산(동탄,"2,789,000",07/17
대구 동구,대구공항 SK에너지 삼원주유소 직원모집, SK에너지 삼원주유소,"9,160",07/17
대구 동구,봉무동 SK국제주유소 직원모집, SK에너지 국제주유소,"9,160",07/17
경기 고양시,주유및세차원 모집합니다., SK에너지 사우디제 7 주유소,"9,160",07/16
경북 포항시,해도동 SK태성주유소 야간 매장관리 3시간, SK에너지 태성self주유소,"9,160",07/16
경북 포항시,해도동 SK태성주유소 야간 매장관리 3시간, SK에너지 태성self주유소,"9,160",07/16
경북 포항시,해도동 SK태성주유소 주말반 모집. (세차및주유), SK에너지 태성self주유소,"10,000",07/16
경북 포항시,해도동 SK태성주유소 주말반 모집. (세차및주유), SK에너지 태성self주유소,"10,000",07/16
서울 전체,주유사원모집, SK에너지 행촌주유소,"2,220,000",07/16
부산 전체,초량self주유소 주말알바모집, SK에너지 동방석유(주)초량주유소,"9,160",07/16
경기 고양시,주유및세차원 모집합니다., SK에너지 사우디제 7 주유소,"9,160",07/15
경기 평택시,편의점 아르바이트모집, SK에너지 항만주유소,"9,160",07/15
전국 전체,[일9시간/월278만원]KH에너지 오산주유소(과천) 주유사원모집(세차없슴), SK에너지 KH에너지㈜직영 오산(과천,"2,789,000",07/15
경기 안산시,주5일 (평일) 08시 - 19시 직원 구합니다, SK에너지 자연주유소,"2,600,000",07/15
경기 안산시,주5일(평일) 9시간 근무 직원 구합니다., SK에너지 자연주유소,"2,100,000",07/15
경기 오산시,[일9시간/월278만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴), SK에너지 KH에너지㈜직영 오산(동탄,"2,789,000",07/14
경기 전체,주유소 야간 직원 (아르바이트) 모집, SK에너지 SK에너지(주) 양지IC주,"2,600,000",07/14
경기 전체,주유소 야간 직원 (아르바이트) 모집, SK에너지 SK에너지(주) 양지IC주,"2,850,000",07/14
경기 전체,주유소 야간 직원 모집합니다., SK에너지 SK에너지(주) 양지IC주,"9,200",07/14
전국 전체,[일9시간/월278만원]KH에너지 오산주유소(과천) 주유사원모집(세차없슴), SK에너지 KH에너지㈜직영 오산(과천,"2,789,000",07/14
서울 관악구,함께 일하실 분 구합니다., SK에너지 SK에너지(주)직영 대공원,"9,200",07/14
