local,title,company,pay,reg_date
경남 창원시,[마산점]SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",8분전
세종 가람동,[세종점] SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",57분전
충남 아산시,[TRADERS천안점] SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/17
인천 중구,SSG.COM(동인천점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/17
경기 안산시,SSG.COM(안산고잔점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/17
경기 하남시,SSG.COM(트레이더스 하남점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"11,240",07/17
경기 군포시,SSG.COM(산본점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/17
서울 광진구,SSG.COM(자양점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/17
부산 해운대,[해운대점]SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/17
경기 안성시,[TRADERS안성점] SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/16
부산 남구,[문현점]SSG.COM 스태프(주5일 근무) 모집[14시22시, (주)에스에스지닷컴,"10,260",07/16
경북 포항시,[포항점]SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/16
경기 용인시,[수지점] SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/16
경기 안성시,[안성점] SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/12
부산 연제구,[연제점]SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/12
서울 성동구,SSG.COM(성수점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/10
세종 가람동,[세종점] SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/09
경기 평택시,[평택점] SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/09
서울 성동구,SSG.COM(왕십리점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/09
경기 고양시,[TRADERS 고양점]SSG.COM 스태프(주5일 근무)모집, (주)에스에스지닷컴,"10,940",07/08
경기 포천시,[포천점] SSG.COM 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/05
경기 과천시,SSG.COM(과천점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/04
경기 군포시,SSG.COM(트레이더스 군포점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/04
서울 서초구,SSG.COM(양재점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/04
경기 이천시,SSG.COM[이천점] 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/04
서울 송파구,SSG.COM(가든파이브점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/04
인천 연수구,SSG.COM(연수점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/04
경기 하남시,SSG.COM(하남점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/04
서울 구로구,SSG.COM(신도림점) 물류 피킹패킹 스태프(주5일 근무) 모집, (주)에스에스지닷컴,"10,260",07/04
