local,title,company,pay,reg_date
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
서울 은평구,"자연드림 은평뉴타운점 주5일(월,화,수,금,토) 오후직원 모집", (주)쿱스토어 은평뉴타운점,"10,000",5분전
부산 북구,자연드림 부산화명점 매장직원 모집, (주)쿱스토어부산 화명점,"10,000",43분전
서울 영등포,자연드림 서울신길점(카페) 주말 오후 근무직원 모집, (주)쿱스토어(서울신길점),"9,300",49분전
부산 남구,자연드림 부산 용호점 매장직원 모집, (주)쿱스토어부산용호점,"10,000",1시간전
경남 진주시,"자연드림 충무공점 파트타이머(일 6시간,주5일) 모집", 자연드림 진주충무공점,"10,000",1시간전
경기 고양시,자연드림 일산주엽점 매장 직원 모집(주말), 자연드림 일산주엽점,"10,000",2시간전
경기 하남시,"자연드림 하남미사점 주5일 오전근무직원모집(일,월휴무)", (주)쿱스토어 하남미사점,"10,000",3시간전
서울 관악구,"자연드림 서울관악점 화,목 오후 직원 모집", (주)농업법인쿱스토어 관악점,"10,000",4시간전
경북 상주시,자연드림 상주복룡점 파트타이머 모집, 쿱스토어대구 상주복룡점,"10,000",4시간전
서울 관악구,자연드림 서울관악점 주말 오후 직원 모집, (주)농업법인쿱스토어 관악점,"10,000",4시간전
광주 남구,자연드림 봉선2호점 주말직원 구인, 자연드림 봉선2호점,"10,000",4시간전
대구 수성구,자연드림 대구범어점 파트타이머 모집, 쿱스토어대구 범어점,"10,000",4시간전
대구 전체,자연드림 대구대봉교점 파트타이머 모집, 쿱스토어대구 대봉교점,"10,000",4시간전
제주 제주시,자연드림 제주삼화점 매장파트타이머 구인, (주)쿱스토어제주 삼화점,"10,000",4시간전
