local,title,company,pay,reg_date
경기 성남시,"고구려 판교점 평일/주말 파트타임 채용(10시~15시,17시~22시)", 엔타스 고구려 판교점,"12,000",4시간전
경기 성남시,엔타스 고구려 판교점 정규직(풀타임)사원/아르바이트(파트타임) 채용, 엔타스 고구려 판교점,"2,500,000",4시간전
서울 구로구,"고구려 디큐브점 평일/주말 파트타임 채용(10시~15시,17시~22시)", 엔타스 고구려 디큐브점,"12,000",4시간전
서울 마포구,"고구려 홍대점 평일/주말 파트타임 채용(10시~15시,17시~22시)", 엔타스 고구려 홍대점,"12,000",4시간전
서울 서초구,"고구려 서초점 평일/주말 파트타임 채용(10시~15시,17시~22시).", 엔타스 고구려 서초점,"12,000",4시간전
서울 영등포,"고구려 당산점 평일/주말 파트타임 채용(10시~15시,17시~22시)", 엔타스 고구려 당산점,"12,000",4시간전
서울 구로구,엔타스 고구려 디큐브점 정규직(풀타임)사원/아르바이트(파트타임) 채용, 엔타스 고구려 디큐브점,"2,500,000",4시간전
서울 마포구,엔타스 고구려 홍대점 정규직(풀타임)사원/아르바이트(파트타임) 채용, 엔타스 고구려 홍대점,"2,500,000",4시간전
서울 서초구,엔타스 고구려 서초점 정규직(풀타임)사원/아르바이트(파트타임) 채용, 엔타스 고구려 서초점,"2,500,000",4시간전
서울 영등포,엔타스 고구려 당산점 정규직(풀타임)사원/아르바이트(파트타임) 채용, 엔타스 고구려 당산점,"2,500,000",4시간전
서울 마포구,삿뽀로홍대점(일식) - 영업부 홀서비스(월240만+성과급 60만 이상)모집, 삿뽀로 홍대점,"2,400,000",5시간전
서울 영등포,[외식그룹 엔타스] 영상편집 단기계약직 채용 [3주 근무], 경복궁 본사,"11,000",5시간전
서울 마포구,삿뽀로홍대점(일식) 설거지 도와주실분 모십니다, 삿뽀로 홍대점,"2,400,000",6시간전
서울 마포구,삿뽀로홍대점(일식) 조리부 차석(부조리장) 사원 모집, 삿뽀로 홍대점,"2,800,000",6시간전
서울 마포구,삿뽀로홍대점(일식) 조리부 사원 모집, 삿뽀로 홍대점,"2,500,000",6시간전
경기 성남시,"남/여 홀서빙,캐셔 정직원 모집", 삿뽀로 판교점,"12,000",07/18
경기 성남시,조리직원 모집, 삿뽀로 판교점,"2,500,000",07/18
서울 성북구,밥모님/찬모님/찬보조/초보가능/경력직우대/월240~상담 후 급여협의 가능, 경복궁 관훈점,"2,400,000",07/18
서울 종로구,밥모님/찬모님/찬보조/초보가능/경력직우대/월240~상담 후 급여협의 가능, 경복궁 관훈점,"2,400,000",07/18
서울 종로구,밥모님/찬모님/찬보조/초보가능/경력직우대/월240~상담 후 급여협의 가능, 경복궁 관훈점,"2,400,000",07/18
서울 성북구,밥모님/찬모님/찬보조/초보가능/경력직우대/월240~상담 후 급여협의 가능, 경복궁 관훈점,"2,400,000",07/18
서울 종로구,밥모님/찬모님/찬보조/초보가능/경력직우대/월240~상담 후 급여협의 가능, 경복궁 관훈점,"2,400,000",07/18
충북 청주시,"경복궁청주점 캐셔,서버(정직원) 급구", 경복궁 청주점,"2,500,000",07/18
충북 청주시,"경복궁청주점 캐셔,서버(정직원) 급구", 경복궁 청주점,"2,500,000",07/18
충북 청주시,"경복궁청주점 캐셔,서버(정직원) 급구", 경복궁 청주점,"2,500,000",07/18
충북 청주시,"경복궁청주점 캐셔,서버(정직원) 급구", 경복궁 청주점,"2,500,000",07/18
충북 청주시,"경복궁청주점 캐셔,서버(정직원) 급구", 경복궁 청주점,"2,500,000",07/18
경기 안양시,"경복궁 평촌점 조리부, 영업부 직원 구합니다.", 경복궁 평촌점,"2,500,000",07/18
경기 안양시,"경복궁 평촌점 조리부, 영업부 직원 구합니다.", 경복궁 평촌점,"2,500,000",07/18
경기 안양시,"경복궁 평촌점 조리부, 영업부 직원 구합니다.", 경복궁 평촌점,"2,500,000",07/18
경기 안양시,"경복궁 평촌점 조리부, 영업부 직원 구합니다.", 경복궁 평촌점,"2,500,000",07/18
경기 안양시,"경복궁 평촌점 조리부, 영업부 직원 구합니다.", 경복궁 평촌점,"2,500,000",07/18
인천 연수구,경복궁 송도 한옥마을점 캐셔/카운터(주5일)구합니다 (급여협의), 경복궁 한옥마을점,"2,500,000",07/18
인천 연수구,경복궁 송도 한옥마을점 홀서빙/캐셔/조리부(주5일) 직원구합니다., 경복궁 한옥마을점,"2,500,000",07/18
