local,title,company,pay,reg_date
경기 고양시,"고반식당 일산웨스턴돔점 주방정직원, 주방보조, 홀서빙정직원, 홀서빙파트타임", 고반식당 일산웨스턴돔,"12,000",3시간전
울산 남구,"홀/주방 파트타임 직원 모집 (일 6시간 근무, 주5-6일 선택)", 고반식당 울산삼산점,"1,850,000",5시간전
경기 안산시,[고반식당 안산고잔점]  주방직원 및 아르바이트  모집, 고반식당 안산고잔점,"10,000",5시간전
경기 안양시,프리미엄 한돈 전문 고반식당 안양아이에스비즈타워점에서 주방직원을 모십니다., 고반식당 안양아이에스비즈타워점,"3,000,000",5시간전
울산 남구,"홀 정직원, 주방 파트타임직원(6시간) 모집", 고반식당 울산삼산점,"2,700,000",6시간전
울산 남구,"홀 정직원, 주방 파트타임직원(6시간) 모집", 고반식당 울산삼산점,"2,700,000",6시간전
서울 성동구,"고반식당 왕십리뉴타운점 홀 정직원/파트타이머, 주방직원/보조 모집", 고반식당 상왕십리점,"12,000",7시간전
경남 김해시,[고반식당 김해율하점]행복한일터 오픈 멤버 파트타임 채용(22년 8월 중순), 고반식당 김해율하점,"12,000",7시간전
서울 송파구,"고반식당(북위례점) 주방,홀 파트타임 모집합니다", 고반식당 북위례점,"13,000",7시간전
경남 김해시,즐거운일터 [고반식당 김해율하점]오픈 멤버 파트타임 채용(22년 8월 중순), 고반식당 김해율하점,"12,000",8시간전
서울 송파구,고반식당(북위례점) 직원 및 아르바이트 모집합니다, 고반식당 북위례점,"13,000",18시간전
경기 하남시,고반식당(북위례점) 직원 및 아르바이트 모집합니다, 고반식당 북위례점,"13,000",19시간전
경기 수원시,홀서빙(요일협의-평일/주말) 파트타이머를 모집합니다., 고반식당 수원망포점,"11,000",07/18
경기 수원시,홀서빙(요일협의-평일/주말) 파트타이머를 모집합니다., 고반식당 수원망포점,"11,000",07/18
경기 수원시,홀서빙(요일협의-평일/주말) 파트타이머를 모집합니다., 고반식당 수원망포점,"11,000",07/18
서울 성동구,고반식당 왕십리뉴타운점 홀 정직원/파트타이머 모집, 고반식당 상왕십리점,"12,000",07/17
서울 성동구,고반식당 왕십리뉴타운점 홀 정직원/파트타이머 모집, 고반식당 상왕십리점,"12,000",07/17
서울 성동구,고반식당 왕십리뉴타운점 홀 정직원/파트타이머 모집, 고반식당 상왕십리점,"12,000",07/17
서울 동작구,[고반식당 이수역점] 이수역 인근 고깃집 홀 주말 아르바이트 모집합니다., 고반식당 이수역점,"12,000",07/16
강원 원주시,홀/주방알바구함, 고반식당 원주무실점,"11,000",07/16
강원 원주시,홀/주방알바구함, 고반식당 원주무실점,"9,500",07/16
경기 안양시,프리미엄 한돈 전문 고반식당 안양아이에스비즈타워점에서 오픈 멤버를 모십니다., 고반식당 안양아이에스비즈타워점,"12,000",07/16
경기 안산시,[고반식당 안산고잔점]  주방직원 및 아르바이트  모집, 고반식당 안산고잔점,"10,000",07/15
경기 고양시,"고반식당 일산웨스턴돔점 주방정직원, 주방보조, 홀서빙정직원, 홀서빙파트타임", 고반식당 일산웨스턴돔,"12,000",07/14
경남 김해시,[고반식당 김해율하점]오픈 멤버 홀(서비스)파트타임 채용(22년 8월), 고반식당 김해율하점,"12,000",07/14
경기 안산시,[고반식당 안산고잔점]  주방직원 및 아르바이트  모집, 고반식당 안산고잔점,"10,000",07/12
경남 김해시,[고반식당 김해율하점]오픈 멤버 홀(고객응대) 파트타임 채용(22년 8월), 고반식당 김해율하점,"12,000",07/12
경기 구리시,고반식당 구리갈매점에서 주방보조 모집합니다., 고반식당 구리갈매점,"12,000",07/11
경기 구리시,고반식당 구리갈매점에서 주방보조 모집합니다., 고반식당 구리갈매점,"12,000",07/09
경기 안산시,[고반식당 안산고잔점]  아르바이트  모집, 고반식당 안산고잔점,"10,000",07/07
경기 구리시,고반식당 구리갈매점에서 주방보조 모집합니다., 고반식당 구리갈매점,"12,000",07/06
울산 남구,"홀 정직원, 주방 파트직원(6시간), 홀알바(주3-4일) 모집", 고반식당 울산삼산점,"3,000,000",07/05
울산 남구,홀 아르바이트 모집 (평일/주말) 시간조정가능, 고반식당 울산삼산점,"10,000",07/05
충남 천안시,"[신규오픈] 고반식당 천안 성성점 오픈멤버 모집합니다.(홀 ,주방 직원)", 고반식당 천안성성점,"3,000,000",07/05
충남 천안시,"[신규오픈] 고반식당 천안 성성점 오픈멤버 모집합니다.(홀 ,주방 직원)", 고반식당 천안성성점,"3,000,000",07/05
충남 천안시,"[신규오픈] 고반식당 천안 성성점 오픈멤버 모집합니다.(홀 ,주방 직원)", 고반식당 천안성성점,"3,000,000",07/05
경기 오산시,[고반식당 오산대역점]  주방 아르바이트 구합니다., 고반식당 오산대역점,"12,000",07/05
경기 오산시,[고반식당 오산대역점]  홀/주방 정직원 및 아르바이트 구합니다., 고반식당 오산대역점,"12,000",07/05
경기 오산시,[고반식당 오산대역점]  홀/주방 정직원 및 아르바이트 구합니다., 고반식당 오산대역점,"12,000",07/05
