local,title,company,pay,reg_date
서울 광진구,[고민말고지원하세요]구구족 구의점에서 함께할 인재 구합니다, 구구족 구의점,"2,800,000",8분전
경기 성남시,단대오거리역/구구족에서 함께일할 직원분을 모집합니다., 구구족 단대오거리역점,"10,000",1시간전
서울 동작구,구구족 신대방삼거리역점 평일 오후 알바, 구구족 신대방삼거리역점,"11,500",1시간전
서울 동작구,구구족(홀없는 배달전문) 정직원 구인합니다, 구구족 신대방삼거리역점,"2,600,000",1시간전
경기 광명시,[주5일/270만원] 구구족 광명점 주방직원 모집 [광명동/오류/개봉], 구구족 본점(하안점),"2,700,000",2시간전
경기 광명시,[주5일/270만원] 구구족 광명점 주방직원 모집 [광명동/오류/개봉], 구구족 본점(하안점),"2,700,000",2시간전
경기 광명시,[주5일/270만원] 구구족 광명점 주방직원 모집 [광명동/오류/개봉], 구구족 본점(하안점),"2,700,000",2시간전
서울 동작구,구구족 신대방삼거리역점 평일 오후 알바, 구구족 신대방삼거리역점,"11,500",4시간전
서울 강북구,구구족 삼양점 주말 아르바이트 모집합니다., 구구족 삼양점,"9,500",5시간전
경기 용인시,구구족(용인보정점) 알바 모집, 구구족 용인보정점,"10,000",6시간전
서울 강북구,구구족 삼양점 아르바이트 모집합니다, 구구족 강북미아점,"9,500",8시간전
서울 중구,구구족 신당점에서 정직원 구합니다, 구구족 신당역점,"3,000,000",8시간전
서울 강남구,구구족 강남대치점 정규직 직원  모집합니다, 구구족 강남대치점,"3,200,000",19시간전
경기 광명시,[광명동/오류/개봉] 구구족 광명점 파트타임 모집 (평일반파트타임), 구구족 본점(하안점),"11,000",07/17
경기 광명시,[주5일/290만원] 구구족본점 [마감반]주방직원 모집 [광명/하안/철산], 구구족 본점(하안점),"2,900,000",07/17
서울 강남구,구구족 강남대치점  아르바이트 모집, 구구족 강남대치점,"13,000",07/16
서울 동작구,구구족 신대방삼거리역점 평일 오후 알바, 구구족 신대방삼거리역점,"11,500",07/16
서울 은평구,구구족 연신내점에서 함께 일하실 정직원 구합니다., 구구족 연신내점,"3,000,000",07/15
인천 남동구,구구족 인천논현점 정직원 및 아르바이트 구합니다, 구구족 인천논현점,"9,500",07/14
인천 남동구,구구족 인천논현점 정직원 및 아르바이트 구합니다., 구구족 인천논현점,"2,700,000",07/14
서울 동작구,구구족(홀없는 배달전문) 정직원 구인합니다, 구구족 신대방삼거리역점,"2,600,000",07/14
서울 마포구,구구족 망원역점(홀없는 배달 전문) 정직원 구합니다, 구구족 망원역점,"3,200,000",07/14
서울 강동구,구구족 강동점  주6일 정규직원모집합니다., 구구족 강동점,"2,900,000",07/14
서울 강동구,구구족 강동점  주6일 정규직원모집합니다., 구구족 강동점,"2,900,000",07/13
경기 성남시,단대오거리역/구구족에서 함께일할 직원분을 모집합니다., 구구족 단대오거리역점,"10,000",07/13
경기 남양주,구구족(족발) 다산점  직원모집/급여300/파트모집, 구구족 다산점,"3,000,000",07/13
경기 안산시,구구족(안산중앙점)에서 성실하게 오래 근무  가능 하신분 구직을 원합니다, 구구족(안상중앙점),"9,160",07/12
서울 강서구,구구족 화곡점 정직원 및 알바 구함, 구구족 화곡점,"2,800,000",07/12
서울 강동구,구구족 강동점  주6일 정규직원모집합니다., 구구족 강동점,"2,900,000",07/12
서울 마포구,망원역 구구족(홀없는 배달전문) 월-목 저녁 알바, 구구족 망원역점,"12,000",07/11
서울 마포구,구구족 망원역점(홀없는 배달 전문) 정직원 구합니다, 구구족 망원역점,"3,200,000",07/11
서울 성동구,구구족 답십리점 오전 주방직원 구인(10시-22시), 구구족 답십리점,"3,000,000",07/11
서울 강서구,구구족 화곡점 정직원 및 알바 구함, 구구족 화곡점,"2,800,000",07/10
서울 강서구,구구족 우장산점에서 근무하실 직원 채용합니다.(외국인가능)9시간 근무, 구구족 우장산역점,"2,500,000",07/09
서울 강서구,구구족 우장산점에서 근무하실 알바 채용합니다, 구구족 우장산역점,"11,000",07/09
서울 광진구,[고민말고지원하세요]구구족 구의점에서 함께할 인재 구합니다, 구구족 구의점,"2,800,000",07/08
인천 남동구,구구족 인천논현점  정직원 구합니다, 구구족 인천논현점,"2,700,000",07/08
서울 강서구,구구족 화곡점 정직원 및 알바 구함, 구구족 화곡점,"2,800,000",07/07
서울 강동구,구구족 강동점  주6일 정규직원모집합니다., 구구족 강동점,"2,900,000",07/07
서울 강서구,구구족 화곡점 정직원 및 알바 구함, 구구족 화곡점,"2,800,000",07/05
서울 성북구,구구족 성신여대점 직원 모집, 구구족 성신여대역점,"2,500,000",07/03
서울 광진구,[고민말고지원하세요]구구족 구의점에서 함께할 인재 구합니다, 구구족 구의점,"2,800,000",07/03
서울 강서구,구구족 화곡점 정직원 및 알바 구함, 구구족 화곡점,"2,800,000",07/03
