local,title,company,pay,reg_date
서울 중구,명동본점에서 성실히 근무하실분 모집합니다, 다이소 명동본점,"1,914,440",7분전
경기 수원시,"다이소 수원남문점 직원, 파트모집(식대 지급)", 다이소 수원남문점,"1,914,440",9분전
경기 포천시,다이소 포천본점에서 함께 근무하실 직원을 모집합니다., 포천본점,"2,114,440",9분전
경기 포천시,다이소 포천송우사거리점에서 함께 근무하실 직원을 모집합니다., 다이소 포천송우사거리점,"2,114,440",10분전
경북 구미시,다이소 구미구평점 파트직원 모집, 다이소 구미구평점,"9,160",14분전
경북 구미시,다이소 구미구평점 파트직원 모집, 다이소 구미구평점,"9,160",15분전
경북 안동시,다이소 안동옥동점 직원 모집, 다이소 안동옥동점,"1,914,440",16분전
경북 안동시,다이소 안동옥동점 직원 모집, 다이소 안동옥동점,"1,914,440",17분전
경북 상주시,다이소 상주서문사거리점 직원 모집, 다이소 상주서문사거리점,"1,914,440",18분전
경북 상주시,다이소 상주서문사거리점 직원 모집, 다이소 상주서문사거리점,"1,914,440",18분전
인천 서구,"홈플러스가좌점 에서  근무할  오후 계산대,진열파트직원모집합니다.", 다이소 홈플러스가좌점,"9,160",19분전
경북 문경시,다이소 문경모전점 파트사원 모집, 다이소 문경모전점,"9,160",20분전
경기 수원시,"다이소 수원역점 직원모집(백신유급휴가, 식대 지급)", 다이소 수원역점,"1,914,440",21분전
경북 문경시,다이소 문경모전점 직원 모집, 다이소 문경모전점,"1,914,440",22분전
대구 달서구,다이소 대구서부점 직원 모집, 다이소 대구서부점,"1,914,440",24분전
대구 달서구,다이소 대구서부점 직원 모집, 다이소 대구서부점,"1,914,440",25분전
대구 달성군,다이소 대구테크노폴리스점 파트 직원 모집 [오전 근무], 대구테크노폴리스점,"10,060",26분전
대구 달성군,다이소 대구테크노폴리스점 직원 모집, 대구테크노폴리스점,"2,014,440",26분전
대구 북구,다이소 대구칠곡네거리점 파트 직원 모집[오전/오후 교대근무], 다이소 칠곡네거리점,"9,160",30분전
대구 북구,다이소 대구칠곡네거리점 파트 직원 모집[오전/오후 교대근무], 다이소 칠곡네거리점,"9,160",31분전
대구 달서구,다이소 대구진천점 직원 모집, 다이소 대구진천점,"1,914,440",34분전
대구 달서구,다이소 대구진천점 직원 모집, 다이소 대구진천점,"1,914,440",35분전
경기 오산시,다이소 오산점 파트타이머 모집 (주4일 /3시간), 다이소 오산점,"9,160",36분전
경기 광명시,다이소 광명사거리점 직원 모집(식비 지급), 다이소 광명사거리점,"1,914,440",36분전
강원 삼척시,다이소 삼척점에서 함께 할 직원을 모집합니다., 다이소 삼척점,"9,160",37분전
대구 남구,다이소 대구명덕네거리점 직원 모집, 다이소 대구명덕네거리점,"1,914,440",37분전
대구 남구,다이소 대구명덕네거리점 직원 모집, 다이소 대구명덕네거리점,"1,914,440",38분전
대구 수성구,다이소 목련시장점 파트 직원 모집 [오전/오후 교대근무], 다이소 목련시장점,"9,160",40분전
대구 수성구,다이소 목련시장점 파트 직원 모집 [오전/오후 교대근무], 다이소 목련시장점,"9,160",41분전
대구 동구,다이소 동대구역점 파트직원 모집[오후 근무], 다이소 동대구역점,"9,160",43분전
서울 종로구,다이소 종로본점 직원모집(식비지급), 다이소 종로본점,"1,914,440",43분전
서울 관악구,다이소 신림3호점 직원 모집(식비지원), 다이소 신림3호점,"1,914,440",44분전
서울 영등포,다이소 대림2호점 직원 모집 (식비지원), 다이소 대림2호점,"1,914,440",44분전
서울 영등포,다이소 대림2호점 파트모집, 다이소 대림2호점,"9,160",44분전
대구 동구,다이소 동대구역점 직원 모집, 다이소 동대구역점,"1,914,440",44분전
대구 수성구,다이소 대구효신네거리2호점 직원 모집, 다이소 대구효신네거리2호점,"1,914,440",45분전
인천 중구,다이소 인천운서동점 파트직원모집(식비지원), 다이소 인천운서동점,"9,160",45분전
대구 수성구,다이소 대구효신네거리2호점 직원 모집, 다이소 대구효신네거리2호점,"1,914,440",46분전
경북 경산시,다이소 경산하양점 직원 모집, 다이소 경산하양점,"1,914,440",47분전
경북 경산시,다이소 경산하양점 직원 모집, 다이소 경산하양점,"1,914,440",47분전
경북 영천시,다이소 영천시청점 직원 모집, 다이소 영천시청점,"1,914,440",48분전
경북 영천시,다이소 영천시청점 직원 모집, 다이소 영천시청점,"1,914,440",49분전
서울 동작구,다이소 대방남부점 직원 모집, 다이소 대방남부점,"1,914,440",50분전
경북 영천시,다이소 영천점 파트 직원 모집 [오후 근무], 다이소 영천점,"10,060",50분전
경북 영천시,다이소 영천점 직원 모집, 다이소 영천점,"2,014,440",50분전
경북 영천시,다이소 영천점 직원 모집, 다이소 영천점,"2,014,440",51분전
경기 용인시,"다이소 죽전사거리점 임시 모집(백신유급휴가,식대,주휴수당 지급)", 다이소 죽전사거리점,"1,914,440",1시간전
경기 포천시,다이소 포천2호점 파트/직원 모집합니다., 다이소 포천2호점,"9,160",1시간전
경기 포천시,다이소 포천2호점 파트/직원 모집합니다., 다이소 포천2호점,"9,160",1시간전
경기 포천시,다이소 포천2호점 파트/직원 모집합니다., 다이소 포천2호점,"9,160",1시간전
