local,title,company,pay,reg_date
세종 소담동,대한곱창 소담점에서 홀서빙 모집합니다, 대한곱창 세종소담점,"950,000",1시간전
서울 전체,대한곱창 선릉점에서 홀 서빙 구합니다., 대한곱창 선릉점,"3,500,000",4시간전
서울 전체,대한곱창 선릉점에서 홀 서빙 구합니다., 대한곱창 선릉점,"3,000,000",4시간전
충북 충주시,대한곱창 충주점 주방 설거지 인원 구합니다, 대한곱창 충주점,"10,000",5시간전
부산 중구,대한곱창 남포점 아르바이트 모집합니다., 대한곱창 부산남포점,"10,000",6시간전
부산 중구,대한곱창 남포점 아르바이트 모집합니다., 대한곱창 부산남포점,"10,000",6시간전
인천 전체,대한곱창 검단신도시점   주방보조 구함, 대한곱창 검단신도시점,"11,000",7시간전
인천 계양구,대한곱창 검단신도시점   주방보조 구함, 대한곱창 검단신도시점,"11,000",7시간전
인천 서구,대한곱창 검단신도시점   주방보조 구함, 대한곱창 검단신도시점,"11,000",7시간전
인천 서구,대한곱창 검단신도시점   주방보조 구함, 대한곱창 검단신도시점,"11,000",7시간전
경기 김포시,대한곱창 검단신도시점   주방보조 구함, 대한곱창 검단신도시점,"11,000",7시간전
광주 광산구,주방 전담하실 직원분 모십니다., 대한곱창 광주수완점,"2,700,000",8시간전
부산 남구,대한곱창 금토일 홀서빙구함, 대한곱창 부산경성대점,"9,160",8시간전
전남 여수시,설거지 직원  모집(매주 일요일휴무), 대한곱창 여수웅천점,"1,700,000",07/18
전남 여수시,홀서빙 알바, 대한곱창 여수웅천점,"12,000",07/18
부산 중구,대한곱창 남포점 아르바이트 모집합니다., 대한곱창 부산남포점,"10,000",07/18
부산 중구,대한곱창 남포점 아르바이트 모집합니다., 대한곱창 부산남포점,"10,000",07/18
충북 청주시,대한곱창  청주동남점  아르바이트모집, 대한곱창 청주동남점,"10,000",07/17
서울 전체,대한곱창 선릉점에서 홀서빙 구합니다., 대한곱창 선릉점,"2,300,000",07/16
충북 청주시,대한곱창  청주동남점  아르바이트모집, 대한곱창 청주동남점,"10,000",07/15
서울 송파구,대한곱창 문정역점 주방직원/설거지인원 모집합니다., 대한곱창 문정역점,"12,000",07/15
경기 평택시,대한곱창 (고덕삼성점)  평일.주말. 홀서빙  직원 모집합니다, 대한곱창 고덕삼성점,"13,000",07/15
경기 광주시,"대한곱창 광주초월점 주방,홀 직원 모집", 대한곱창 광주초월점,"2,500,000",07/14
경기 광주시,"대한곱창 광주초월점 주방,홀 직원 모집", 대한곱창 광주초월점,"2,500,000",07/14
부산 중구,대한곱창 남포점 아르바이트 모집합니다., 대한곱창 부산남포점,"10,000",07/13
서울 광진구,대한푸드 직영팀에서 열정있는 직원 모집합니다, 대한곱창 군자점,"3,000,000",07/10
부산 금정구,부산대 대한곱창에서 알바를 모집합니다., 대한곱창 부산대점,"9,300",07/08
충북 청주시,대한곱창 지웰점에서 함께일하실 가족분들을 모십니다/홀서빙/ 설거지인원, 대한곱창 청주지웰점,"9,600",07/07
경기 광주시,평일 세척 아르바이트 모집, 대한곱창 광주초월점,"11,000",07/06
경기 광주시,평일 세척 아르바이트 모집, 대한곱창 광주초월점,"11,000",07/06
세종 소담동,대한곱창 소담점에서 주방 직원을 모집합니다. 초보도 가능합니다, 대한곱창 세종소담점,"2,500,000",07/06
울산 남구,[화사곱창] 대한곱창 울산달동점 홀 알바 모집, 대한곱창 울산달동점,"9,200",07/04
