local,title,company,pay,reg_date
전남 순천시,"도야족발에서  직원, 알바 구합니다", 도야족발보쌈 조례점,"2,000,000",2시간전
강원 강릉시,홀서빙및 포장 직원  주방직원  구함, 도야족발보쌈 주문진점,"10,000",5시간전
전남 순천시,"도야족발에서  직원, 알바 구합니다", 도야족발보쌈 조례점,"2,000,000",5시간전
울산 남구,도야족발보쌈 야음본점 직원 /알바생 구합니다, 도야족발보쌈 야음점,"2,800,000",6시간전
전남 순천시,"도야족발에서  직원, 알바 구합니다", 도야족발보쌈 조례점,"2,000,000",15시간전
전남 순천시,"도야족발에서  직원, 알바 구합니다", 도야족발보쌈 조례점,"2,000,000",07/16
전남 순천시,"도야족발에서  직원, 알바 구합니다", 도야족발보쌈 조례점,"2,000,000",07/16
광주 서구,[급구]도야족발 보쌈 쌍촌점에서 함께하실 홀 직원을 모십니다., 도야족발보쌈 쌍촌점,"9,160",07/14
광주 서구,[급구]도야족발 광주 쌍촌점에서 함께 하실 주방 직원 모십니다., 도야족발보쌈 쌍촌점,"9,160",07/14
울산 남구,도야족발 무거점  직원  1명 구합니다, 도야족발보쌈 무거점,"3,000,000",07/12
울산 남구,도야족발보쌈 야음본점 직원 /알바생 구합니다, 도야족발보쌈 야음점,"2,800,000",07/11
강원 강릉시,알바 및 직원구함, 도야족발보쌈 주문진점,"10,000",07/09
광주 서구,[급구]도야족발보쌈 광주 쌍촌점에서 주방직원을 찾습니다., 도야족발보쌈 쌍촌점,"9,160",07/05
