local,title,company,pay,reg_date
인천 중구,롯데리아 인천공항1층점 메이트 모집(제1여객터미널), 롯데리아 인천공항1층점,"9,160",3분전
울산 북구,"롯데리아 울산정자해변점에서 오전, 오후 아르바이트 모집합니다.(주 3회)", 롯데리아 울산정자해변점,"10,000",5분전
울산 북구,"롯데리아 울산정자해변점에서 오전, 오후 아르바이트 모집합니다.(주 3회)", 롯데리아 울산정자해변점,"10,000",5분전
울산 북구,롯데리아 울산정자해변점에서 경력직관리자님 모집합니다, 롯데리아 울산정자해변점,"2,500,000",6분전
서울 용산구,롯데리아 숙대입구역점과 함께할 관리자님 모집합니다., 롯데리아 숙대입구역점,"2,200,000",6분전
인천 중구,롯데리아 인천공항1층점 메이트 모집(제1여객터미널), 롯데리아 인천공항1층점,"9,160",7분전
인천 남동구,롯데리아 인천 남동구청점 부점장/월급제 모집합니다.(경력자/주부사원가능), 롯데리아 인천남동구청점,"2,200,000",7분전
인천 남동구,인천남동구청점 알바생 모집중, 롯데리아 인천남동구청점,"9,160",8분전
경기 광주시,경력자(직원제) 모셔요., 롯데리아 능평삼거리점,"2,600,000",9분전
부산 남구,롯데리아감만점 주부사원모집, 롯데리아 홈플러스부산감만점,"9,160",9분전
충남 아산시,롯데리아 아산탕정점 오후 아르바이트 모집, 롯데리아 아산탕정점,"9,160",14분전
부산 남구,롯데리아감만점 주부사원 모집합니다., 롯데리아 홈플러스부산감만점,"9,160",15분전
경기 군포시,롯데리아 산본중앙/금정역/화성남양점 알바 및 직원모집, 롯데리아 산본중앙점,"9,160",17분전
전북 전주시,롯데리아 전주에코점에서 같이함께하실 친구(아르바이트)를 모집합니다, 롯데리아 전주에코,"9,160",17분전
서울 송파구,잠실 롯데리아 언더랜드점에서 함께 일할 친구들을 모집합니다, 롯데리아 언더랜드점,"9,160",20분전
서울 송파구,잠실 롯데리아 언더랜드점에서 함께 일할 친구들을 모집합니다, 롯데리아 언더랜드점,"9,160",20분전
서울 송파구,잠실 롯데리아 언더랜드점에서 함께 일할 친구들을 모집합니다, 롯데리아 언더랜드점,"9,160",20분전
경기 성남시,롯데리아 야탑역점에서 아르바이트생 을 구합니다, 롯데리아 야탑역점,"9,160",21분전
전북 완주군,롯데리아 완주봉동점 아르바이트 /주부사원 모집, 롯데리아 완주봉동점,"9,160",21분전
경기 양주시,"롯데리아 양주고읍점에서 함께할 관리자,매니저(관리자 경력자) 모집합니다~", 롯데리아 양주고읍점,"2,300,000",23분전
서울 강서구,염창점 아르바이트 대모집, 롯데리아 염창점,"9,160",25분전
