local,title,company,pay,reg_date
서울 광진구,롯데마트 강변점 농산 주니어담당 모집, 롯데마트 강변점,"9,200",2시간전
서울 강서구,"롯데마트 김포공항점 단기아르바이트 모집(농산파트(곡물, 가공파트(음료/주류)", 롯데마트 김포공항점,"9,300",4시간전
서울 송파구,롯데마트 월드타워점 캐셔 및 아르바이트 모집, 롯데마트 월드타워점,"9,200",4시간전
전남 나주시,롯데마트 나주점 주니어사원(무기계약직/정년 60세보장)모집, 롯데쇼핑(주)롯데마트 나주점,"1,698,300",4시간전
충남 서산시,롯데마트 서산점 직원 모집(주니어사원), 롯데쇼핑(주)롯데마트 서산점,"1,698,300",5시간전
서울 성동구,롯데마트 행당역점 주니어사원(무기계약직) 채용, 롯데쇼핑(주)롯데마트행당역점,"1,698,300",07/11
서울 성동구,롯데마트 행당역점 주니어사원(무기계약직) 채용, 롯데쇼핑(주)롯데마트행당역점,"1,698,300",07/11
서울 성동구,롯데마트 행당역점 주니어사원(무기계약직) 채용, 롯데쇼핑(주)롯데마트행당역점,"1,698,300",07/10
충남 서산시,롯데마트 서산점 단기 아르바이트 모집, 롯데쇼핑(주)롯데마트 서산점,"9,200",07/09
서울 광진구,롯데마트 강변점 농산 주니어담당 모집, 롯데마트 강변점,"9,200",07/08
서울 광진구,롯데마트 강변점 농산 주니어담당 모집, 롯데마트 강변점,"9,200",07/08
서울 광진구,롯데마트 강변점 농산 주니어담당 모집, 롯데마트 강변점,"9,200",07/08
서울 금천구,빅마켓 금천점 주니어/AR 채용 공고, 롯데쇼핑(주)VIC마켓 금천점,"9,200",07/04
