local,title,company,pay,reg_date
서울 송파구,잠실3동점 계약직사원 채용, 롯데슈퍼 잠실3동점,"9,160",38분전
서울 전체,롯데슈퍼 반포2점 사원모집, 롯데슈퍼 반포2점,"9,160",2시간전
서울 서대문,남가좌점 계약직 사원 채용, 롯데슈퍼 남가좌점,"9,160",3시간전
서울 노원구,중계역점 계약직 사원 채용, 롯데슈퍼 중계역점,"9,160",4시간전
경기 용인시,롯데프리미엄푸드마켓에서 함께 근무하실 훼미리사원 모집합니다., 롯데슈퍼 프리미엄기흥점(롯데슈퍼),"9,160",5시간전
서울 강남구,롯데슈퍼 수서역점 계약직 사원 채용(농산/가공진열/조리), 롯데슈퍼 수서역점,"9,160",7시간전
경기 전체,분당점 계약직 사원 채용, 롯데슈퍼 분당점,"9,160",7시간전
전국 전체,롯데백화점 일산점 푸드마켓 [롯데슈퍼 (백)일산점] 계약직 계산원 채용, 롯데슈퍼 (백)일산점,"9,160",7시간전
경기 오산시,롯데슈퍼 오산점 오후 파트사원 모집, 롯데슈퍼 오산점,"9,160",7시간전
경기 파주시,[롯데슈퍼 G운정점] 계약직 사원 채용, 롯데슈퍼 G운정점,"9,160",21시간전
경기 용인시,롯데슈퍼 기흥아울렛점에서 함께 근무하실 훼미리 사원모집합니다., 롯데슈퍼 기흥아울렛점,"9,160",07/18
경기 용인시,롯데프리미엄푸드마켓에서 함께 근무하실 훼미리사원 모집합니다., 롯데슈퍼 프리미엄기흥점(롯데슈퍼),"9,160",07/18
서울 강남구,롯데슈퍼 수서역점 계약직 사원 채용, 롯데슈퍼 수서역점,"9,160",07/17
대전 서구,대전둔산점 계약직 채용, 롯데슈퍼 대전둔산점,"9,160",07/17
서울 송파구,방이점 훼미리사원 모집, 롯데슈퍼 방이점,"9,160",07/16
서울 노원구,롯데슈퍼상계11점 계약직 사원 채용, 롯데슈퍼 상계11점,"1,650,000",07/16
서울 종로구,종로평창점 에서 함께 할 훼미리 직원 모집 합니다., 롯데슈퍼 종로평창점,"9,160",07/15
경기 포천시,롯데슈퍼 포천일동점 계약직 사원 채용, 롯데슈퍼 포천일동점,"9,160",07/12
강원 평창군,평창진부점 계약직사원 채용, 롯데슈퍼 평창진부점,"9,160",07/12
서울 송파구,방이점 훼미리사원 모집, 롯데슈퍼 방이점,"9,160",07/09
경기 용인시,롯데프리미엄푸드마켓에서 함께 근무하실 훼미리사원 모집합니다., 롯데슈퍼 프리미엄기흥점(롯데슈퍼),"9,160",07/07
서울 송파구,롯데슈퍼 올림픽점에서 함께 근무하실 훼미리담당님 모집합니다., 롯데슈퍼 올림픽점,"9,160",07/06
부산 강서구,롯데슈퍼 명지점 가공담당님 모집, 롯데슈퍼 명지점,"9,160",07/06
경기 용인시,롯데프리미엄푸드마켓에서 함께 근무하실 훼미리사원 모집합니다., 롯데슈퍼 프리미엄기흥점(롯데슈퍼),"9,160",07/05
서울 송파구,방이점 훼미리사원 모집, 롯데슈퍼 방이점,"9,160",07/05
