local,title,company,pay,reg_date
부산 전체,더푸드하우스 해운대 백병원점에서 같이 일하실분을 모집합니다., 롯데지알에스 더푸드하우스 해운대백병원,"9,160",27분전
서울 강남구,"소담반상 수서역사점에서 홀,주방 직원을 모집합니다.", 롯데지알에스 더푸드하우스 수서역사점,"9,160",1시간전
서울 강남구,꼬마김밥 수서역사점에서 직원을 모집합니다., 롯데지알에스 더푸드하우스 수서역사점,"9,160",1시간전
부산 전체,푸드코트 김해공항점에서 홀/주방 직원 모집합니다., 롯데지알에스 SKY31 김해공항 국내,"9,160",2시간전
부산 전체,푸드코트 김해공항점에서 홀/주방 직원 모집합니다., 롯데지알에스 SKY31 김해공항 국내,"9,160",2시간전
부산 전체,푸드코트 김해공항점에서 홀/주방 직원 모집합니다., 롯데지알에스 SKY31 김해공항 국내,"9,160",7시간전
서울 강서구,SKY31 김포공항점에서 알바 모집합니다., 롯데지알에스 더푸드하우스 김포공항점,"9,160",18시간전
부산 전체,푸드코트 김해공항점에서 홀/주방 직원 모집합니다., 롯데지알에스 SKY31 김해공항 국내,"9,160",07/18
부산 전체,SKY31 부산롯데월드점에서 함께 근무하실 직원 구합니다., 롯데지알에스 SKY31 롯데월드부산점,"9,160",07/14
부산 전체,SKY31 부산롯데월드점에서 함께 일하실 직원 구합니다., 롯데지알에스 SKY31 롯데월드부산점,"9,160",07/13
제주 제주시,CCAFE 제주롯데시티호텔점- 함께근무할 직원을 모집합니다., 롯데지알에스 C_CAFE 제주롯데시티,"9,160",07/12
제주 제주시,CCAFE 제주롯데시티호텔점- 함께근무할 직원을 모집합니다., 롯데지알에스 C_CAFE 제주롯데시티,"9,160",07/11
제주 제주시,CCAFE 제주롯데시티호텔점- 함께근무할 직원을 모집합니다., 롯데지알에스 C_CAFE 제주롯데시티,"9,160",07/10
제주 제주시,제주공항 국내선 4F점 푸드코트에서 함께 근무하실 직원분을 모집합니다., 롯데지알에스 SKY31 제주공항 국내,"10,990",07/08
인천 중구,인천공항T1 SKY31점/인천공항T2 라운지엘/인천공항T2 도선/ 알바모집, 롯데지알에스 SKY31 인천공항 제1,"9,160",07/08
서울 강동구,더푸드하우스 강동경희대병원점에서 직원 모집합니다., 롯데GRS 더푸드하우스강동경희대병원점,"10,992",07/04
서울 전체,SKY31 김포공항점 세척파트에서 함께 일할 분들을 모집합니다 (단순업무), 롯데지알에스 더푸드하우스 김포공항점,"9,160",07/04
서울 강동구,더푸드하우스 강동경희대병원점에서 직원 모집합니다., 롯데GRS 더푸드하우스강동경희대병원점,"10,992",07/03
