local,title,company,pay,reg_date
전북 전주시,"+기본료3,500원 전주 신시가지 최다콜 만나플러스런 배송기사님 모집중+", 만나플러스 [전주시완산구]RUN배달,"7,500,000",1시간전
부산 사상구,만나플러스 사상 모라 배달대행 라이더모집 / 렌트리스 / 파트타임 가능, 만나플러스 [부산북구]사상모라,"5,000,000",1시간전
경북 경주시,경주 만나플러스 동천점 기사님 모집합니다, 만나플러스 [경북경주시] 동천점,"3,481",2시간전
충북 청주시,청주배달대행/청주배달/청주알바/청주퀵/만나플러스/청주스피드콜/, 만나플러스 [청주흥덕]스피트콜사창봉명,"300,000",2시간전
부산 금정구,콜단가 최고[만나플러스]부산금정 배달대행에서 기사를 모집합니다, 만나플러스 [부산금정구]엔젤콜,"3,500",3시간전
충북 청주시,청주 오빠콜 라이더님 모집합니다., 만나플러스 [청주시서원구]오빠콜서원,"5,000,000",3시간전
경기 이천시,[이천배달대행] 기본료업계최고/차량기사가능, 만나플러스 [경기이천시]이천배달대행,"300,000",4시간전
경북 안동시,-안동 최대규모 배달대행  공유다 퀵 기사님 모집합니다-, 만나플러스 [경북안동시]만나플러스,"200,000",4시간전
부산 부산진,만나플러스 서면부전점 라이더 모집, 만나플러스 [부산부산진구]부전총판,"200,000",4시간전
경기 군포시,"[배달대행]만나플러스(공유다) 라이더 모집[초보 월 5,000,000 가능]", 만나플러스 [경기군포시][군포],"4,000",4시간전
경기 안산시,안산 신도시 배달대행 파트너 모집, 만나플러스 [경기안산단원]하나콜,"4,000,000",5시간전
대구 수성구,수성구에서 편안하고자유롭게 함게할 기사님 관리자님 모십니다(수성구최다콜), 만나플러스 [대구수성] 제트콜수성지사,"200,000",6시간전
대구 수성구,수성구에서 편안하고자유롭게 함게할 기사님 관리자님 모십니다(수성구최다콜), 만나플러스 [대구수성] 제트콜수성지사,"200,000",6시간전
대구 달서구,달서구최대콜하루6천콜보유한대행사입니다, 만나플러스 [대구] 달서총판,"300,000",14시간전
경기 하남시,하남최고요금 / 최저수수료 / 피자몰 배달대행 기사 모집합니다., 만나플러스 [경기하남]피자몰배달대행,"4,500",20시간전
경기 시흥시,"정왕동 배달대행기사모집/월500+고수익/초보,알바환영/리스,렌탈가능", 만나플러스 [경기시흥시]콜잡자,"5,000,000",07/18
전남 여수시,[ 부탁해 웅천지사 ] 배달대행 라이더님 상시모집, 만나플러스 [전남여수시]웅천부탁해,"150,000",07/18
전남 여수시,여수여천배달대행 VIP에서 함께하실 라이더님을 모십니다., 만나플러스 [전남여수]VIP배달대행,"5,000,000",07/18
부산 연제구,"만나 플러스  망미 , 토곡  라이더 모집합니다.", 만나플러스 [부산수영구]망미지사,"800,000",07/18
부산 수영구,부산수영 배달대행(만나플러스) 기사모집, 만나플러스 [부산수영구]바다콜,"5,000,000",07/17
서울 구로구,개봉동 1등 배달대행 광명 배달대행 오류 배달대행   콜비4300~4500원, 만나플러스 [서울구로구]오류개봉광명,"250,000",07/17
서울 마포구,만나플러스 합정지사에서 가족처럼 같이일하실분을 찾습니다, 만나플러스 [서울마포구]합정지사,"4,000",07/17
경기 남양주,진접.오남  배달대행 라이더 모집합니다., 만나플러스 [경기남양주]진접지사,"200,000",07/17
경기 남양주,"본업 , 투잡 환영 , 퇴계원 별내 갈매", 만나플러스 [경기남양주] 별내점,"250,000",07/17
울산 북구,만나플러스 호계총판 배달기사모집(북구 최저수수료) 4000원 시작, 만나플러스 [울산북구]스피드퀵,"4,000",07/16
대구 북구,연경/봉무/동서변 만나플러스 배달대행 기사모집, 만나플러스 [대구동구]스타라이더스,"4,000,000",07/16
대구 달서구,"대구BSD 본리,장기동 배달기사 구합니다.", 만나플러스 [대구달서] BSD본리지사,"150,000",07/16
충북 청주시,청주배달대행/가경/개신/강서/복대/알바/프리랜서/라이더모집, 만나플러스 [청주]스피드콜개신가경강서,"300,000",07/16
경기 파주시,법원리&연풍리 배달대행 기사 모집, 만나플러스 [경기파주시]법원점,"3,200",07/16
경북 경산시,만나플러스 [경북경산시]제트콜 배달대행, 만나플러스 [경북경산시]제트콜,"3,500",07/16
충북 청주시,충북 청주 배달대행 오빠콜 사창지사(베스트사창)에서 라이더를 모집합니다, 만나플러스 [청주시흥덕구]오빠콜사창,"3,700",07/15
광주 광산구,만나플러스 [광주광산]광산지사, 만나플러스 [광주광산]공유다총판,"200,000",07/15
경기 오산시,만나플러스 궐동7지사 라이더모집, 만나플러스 [경기오산시]런7지사궐동,"200,000",07/15
충북 진천군,[만나플러스] 진천혁신지점 에서 기사님을 모집 합니다, 만나플러스 [충북진천음성]혁신만나,"3,800",07/15
충북 음성군,만나플러스 진천혁신지점 에서 기사님을 모집 합니다, 만나플러스 [충북진천음성]혁신만나,"3,800",07/15
경기 하남시,[하남/미사] 만나플러스 배달대행 [초보/중장년층 환영], 만나플러스 [경기하남시]미사지사,"4,500",07/14
전북 전주시,"만나플러스 배달대행(RUN중화산동),(RUN익산영등점)", 만나플러스 [전주시완산구]런중화총판,"5,000,000",07/14
충남 논산시,논산 [배달대행연합 ] NO.1  만나플러스에서 기사님을 모집합니다, 만나플러스 [충남논산시]공유다,"3,500",07/14
경기 시흥시,"시흥정왕 배달대행/기사모집/월500+/초보,알바,초보가능/리스렌탈/꿀알바", 만나플러스 [경기시흥시]현호네,"250,000",07/14
경남 창원시,일급20만원 만나플러스 배달대행 (경남창원)마산지사 /당일지급/파트/알바, 만나플러스 [경남창원마산합포]제트콜,"200,000",07/14
대구 달서구,대구배달/대구퀵/배달대행/대구배달대행/달서구배달대행/죽전동배달대행, 만나플러스 [대구달서구]OT82죽전점,"5,000,000",07/13
대구 달서구,가족같은 분위기로 함께 일할수있는 식구 구합니다. 함께해요야간기사님 급구, 만나플러스 [대구달서구]OT82죽전점,"5,000,000",07/13
부산 강서구,[배달대행]만나플러스 부산 명지점 라이더모집, 만나플러스 [부산강서]명지점,"3,500",07/13
경기 고양시,만나플러스 고양관산지사 라이더 모집합니다., 만나플러스 [경기고양덕양]고양관산,"200,000",07/13
경기 시흥시,시흥정왕 [배달대행] 기사모집 여성/주부/투잡/초보 대환영 [고수익/꿀알바], 만나플러스 [경기시흥시]정왕12지사,"250,000",07/13
경기 시흥시,시흥정왕[배달대행] 여성/주부/초보자가능/격력자우대/[최강복지/꿀알바], 만나플러스 [경기시흥시]정왕12지사,"250,000",07/13
부산 사하구,"만나플러스(부산사하구)하단,신평 라이더 모집", 만나플러스 [부산사하구]하단신평총판,"200,000",07/13
경남 양산시,[배달대행]양산신도시/업계최다콜보유/정직원.알바.투잡가능, 만나플러스 [경남양산]신도시점,"5,000,000",07/13
대전 서구,만나플러스 [공유다] 대전 괴정지사 기사모집, 만나플러스  [대전서구]공유다대전지사,"200,000",07/13
서울 은평구,"[만나플러스연합회] 은평구 서대문구 배달대행 4,500원이상", 만나플러스 [서울은평구]유어파트너,"9,160",07/13
