local,title,company,pay,reg_date
경기 용인시,"삼성 인재개발원  서천연수원 사내카페 근무자 채용(식사제공,주말공휴일휴무)", 메가마트 카페마운틴,"1,791,200",2시간전
충남 아산시,삼성디스플레이 연수복지동매점 구인공고, 삼성디스플레이 연수복지동 매점,"9,160",3시간전
부산 동래구,[메가마트동래점]농산진열 파트사원모집, 메가마트 동래점,"9,160",3시간전
충남 아산시,아산 현대자동차 현대슈퍼 직원구함, (주)메가마트 현대사택슈퍼,"2,239,000",4시간전
경기 용인시,"삼성 인재개발원  서천연수원 사내카페 근무자 채용(식사제공,주말공휴일휴무)", 메가마트 카페마운틴,"1,791,200",5시간전
경기 용인시,"삼성 인재개발원  서천연수원 사내카페 근무자 채용(식사제공,주말공휴일휴무)", 메가마트 카페마운틴,"1,791,200",07/17
부산 해운대,메가마트 마리나점 파트사원 채용공고, 메가마트 마리나점,"9,160",07/16
경기 용인시,"삼성디스플레이기흥SR2사내카페(커피숍) 근무자 채용(식사제공,주말공휴일휴무)", 메가마트 인스토어수원영업팀,"1,791,200",07/15
경기 고양시,메가마켓(고양점) 파트사원 모집, (주) 메가마트 고양점,"9,160",07/14
충남 전체,[메가마켓 청당점] 계약직 파트사원 모집, (주)메가마켓 청당점,"9,160",07/12
