local,title,company,pay,reg_date
대전 전체,MUJI /무인양품 /무지 대전점 직원 모집, 무인양품(주) 대전점,"23,000,000",1시간전
서울 강남구,MUJI/무지/무인양품 파르나스몰점 파트타이머 모집, 무인양품(주),"9,250",2시간전
경기 성남시,MUJI / 무인양품 / 무지 롯데분당점(수내역) 평일 파트타이머 모집, 무인양품(주) 롯데분당점,"9,250",3시간전
경기 고양시,MUJI / 무인양품 / 무지 벨라시타몰점 직원 모집, 무인양품(주) 벨라시타점,"23,000,000",3시간전
대전 전체,"MUJI / 무인양품 / 무지 대전점 파트타이머 모집 (수목, 금토)", 무인양품(주) 대전점,"9,250",3시간전
경기 고양시,MUJI / 무인양품 / 무지 벨라시타몰점 직원 모집, 무인양품(주) 벨라시타점,"23,000,000",4시간전
경기 화성시,MUJI/ 무인양품/ 무지 동탄점 5일 단기알바 모집(8월10일~14일), 무인양품(주) 동탄점,"9,250",4시간전
경기 화성시,MUJI/ 무인양품/ 무지 동탄점 주말 파트타이머 모집, 무인양품(주) 동탄점,"9,250",4시간전
경기 화성시,MUJI/ 무인양품/ 무지 동탄점 평일 파트타이머 모집, 무인양품(주) 동탄점,"9,250",4시간전
경기 화성시,MUJI/ 무인양품/ 무지 동탄점 이트인(카페) 직원 모집, 무인양품(주) 동탄점,"23,000,000",4시간전
서울 서초구,MUJI/무인양품/무지/강남점/파트타이머 모집, 무인양품(주) 강남점,"9,250",5시간전
경기 하남시,"무인양품 스타필드위례점 / 토,일 오전 (7시간) 아르바이트 모집", 무인양품(주) 위례점,"9,250",6시간전
경기 하남시,무인양품 스타필드위례점 / 평일 오후 (7시간) 아르바이트 모집, 무인양품(주) 위례점,"9,250",6시간전
경남 창원시,MUJI / 무인양품 / 무지 창원점 직원 모집, 무인양품(주) 창원점,"23,000,000",23시간전
경기 안산시,무인양품/MUJI/무지 안산점 평일 (월화수)파트타이머 모집, 무인양품(주) 안산점,"9,250",07/18
서울 강남구,MUJI / 무인양품 / 무지 파르나스몰점 직원 채용, 무인양품(주) 파르나스몰점,"23,000,000",07/18
경기 안산시,"무인양품/MUJI/무지 안산점 주말(토,일) 파트타이머 모집", 무인양품(주) 안산점,"9,250",07/15
경기 화성시,MUJI/ 무인양품/ 무지 동탄점 평일 파트타이머 모집, 무인양품(주) 동탄점,"9,250",07/15
대구 중구,MUJI / 무인양품 / 무지 신세계대구점 직원 모집, 무인양품(주) 신세계대구점,"23,000,000",07/14
