local,title,company,pay,reg_date
서울 성북구,주방 보조.및 설거지 이모님  구합니다., 미스사이공 성신여대점,"2,600,000",34분전
서울 강남구,미스사이공 압구정점에서아르바이트생을 구해요, 미스사이공 압구정점,"11,000",49분전
부산 연제구,미스사이공 부산시청점 주방 알바 모집, 미스사이공 부산시청점,"9,160",6시간전
서울 성북구,주방 보조.및 설거지 이모님  구합니다., 미스사이공 성신여대점,"2,600,000",6시간전
광주 북구,"주중,주말 오후 주방 보조 구합니다. (유학생 가능)", 미스사이공 전남대점,"9,500",6시간전
제주 서귀포,미스사이공 주방 보조, 미스사이공 서귀포1호점,"9,500",6시간전
서울 전체,쌀국수 미스사이공 하남 미사강변점 직원 채용합니다, 미스사이공 하남 미사강변점,"9,300",6시간전
경기 광명시,미스 사이공 광명 어번브릭스점 에서함께일하실분 모집합니다.(베트남국적환영), 미스사이공 광명 어반브릭스점,"10,000",6시간전
경기 수원시,미스사이공 망포점 평일 오전 10시 ~ 14시 알바 모집합니다., 미스사이공 수원 망포점,"9,160",7시간전
서울 강남구,미스사이공 압구정점에서아르바이트생을 구해요, 미스사이공 압구정점,"11,000",23시간전
경기 광명시,미스 사이공 광명 어번브릭스점 에서함께일하실분 모집합니다.(베트남국적환영), 미스사이공 광명 어반브릭스점,"10,000",07/15
서울 전체,쌀국수 미스사이공 하남 미사강변점 직원 채용합니다, 미스사이공 하남 미사강변점,"9,300",07/15
제주 서귀포,미스사이공 주방 보조, 미스사이공 서귀포1호점,"9,500",07/15
부산 연제구,미스사이공 부산시청점 주방 알바 모집, 미스사이공 부산시청점,"9,160",07/15
경기 수원시,미스사이공 망포점 평일 오후 18시 부터 21시 알바 모집합니다., 미스사이공 수원 망포점,"9,160",07/15
부산 연제구,미스사이공 부산시청점 주방 알바 모집, 미스사이공 부산시청점,"9,160",07/15
경기 하남시,미스사이공 미사스퀘어점 주방 알바 구합니다, 미스사이공 하남 미사스퀘어점,"10,000",07/15
경기 광명시,미스 사이공 광명 어번브릭스점 에서함께일하실분 모집합니다.(베트남국적환영), 미스사이공 광명 어반브릭스점,"10,000",07/12
제주 서귀포,미스사이공 주방 보조, 미스사이공 서귀포1호점,"9,500",07/12
광주 북구,"주중,주말 오후 주방 보조 구합니다. (유학생 가능)", 미스사이공 전남대점,"9,500",07/12
경기 수원시,미스사이공 망포점 평일 오후 18시 부터 21시 알바 모집합니다., 미스사이공 수원 망포점,"9,160",07/12
광주 북구,"주중,주말 오후 주방 보조 구합니다. (유학생 가능)", 미스사이공 전남대점,"9,500",07/12
경기 수원시,미스사이공 망포점 평일 오후 18시 부터 21시 알바 모집합니다., 미스사이공 수원 망포점,"9,160",07/12
광주 북구,"주중,주말 오후 주방 보조 구합니다. (유학생 가능)", 미스사이공 전남대점,"9,500",07/12
경기 광명시,미스 사이공 광명 어번브릭스점 에서함께일하실분 모집합니다.(베트남국적환영), 미스사이공 광명 어반브릭스점,"10,000",07/12
경기 하남시,미스사이공 하남 미사강변점, 미스사이공 하남 미사강변점,"9,300",07/12
서울 전체,쌀국수 미스사이공 하남 미사강변점 직원 채용합니다, 미스사이공 하남 미사강변점,"9,300",07/12
제주 서귀포,미스사이공 주방 보조, 미스사이공 서귀포1호점,"9,500",07/12
광주 북구,"주중,주말 오후 주방 보조 구합니다. (유학생 가능)", 미스사이공 전남대점,"9,500",07/12
경기 수원시,미스사이공 망포점 평일 오후 18시 부터 21시 알바 모집합니다., 미스사이공 수원 망포점,"9,160",07/12
제주 서귀포,미스사이공 주방 보조, 미스사이공 서귀포1호점,"9,500",07/08
경기 하남시,미스사이공 하남 미사강변점, 미스사이공 하남 미사강변점,"9,300",07/04
경기 광명시,미스 사이공 광명 어번브릭스점 에서함께일하실분 모집합니다.(베트남국적환영), 미스사이공 광명 어반브릭스점,"10,000",07/03
