local,title,company,pay,reg_date
서울 용산구,주말오전오후/일요일하프or풀 조율가능 파트너구해요~, 바스버거 용산점,"10,990",18분전
경기 성남시,[바스버거 정자점] 주말풀타임 파트타이머 채용, 바스버거 정자점,"10,992",52분전
경기 성남시,[바스버거 정자점] 주말풀타임 파트타이머 채용, 바스버거 정자점,"10,992",53분전
경기 성남시,[바스버거 정자점] 주말풀타임 파트타이머 채용, 바스버거 정자점,"10,992",54분전
경기 성남시,[바스버거 정자점] 주말풀타임 파트타이머 채용, 바스버거 정자점,"10,992",55분전
경기 성남시,[바스버거 정자점] 주말풀타임 파트타이머 채용, 바스버거 정자점,"10,992",56분전
서울 마포구,[바스버거 연남점] 주말 풀타임 파트타이머 모집, 바스버거 연남점,"10,992",57분전
서울 금천구,[바스버거 가산디지털단지점] 주말 풀타임 파트타이머 모집, 바스버거 가산디지털단지점,"10,992",1시간전
서울 구로구,[바스버거 가산디지털단지점] 주말 풀타임 파트타이머 모집, 바스버거 가산디지털단지점,"10,992",1시간전
서울 영등포,[바스버거 국회의사당점] 평일오픈 파트타이머 모집, 바스버거 국회점,"10,992",2시간전
서울 서대문,[바스버거 광화문점] 주말 하프파트타이머 모집, 바스버거 광화문점,"10,992",2시간전
서울 동작구,[바스버거 국회의사당점] 평일오픈 파트타이머 모집, 바스버거 국회점,"10,992",2시간전
서울 구로구,[바스버거 구로디지털단지점] 평일 런치 타임 파트타이머 모집, 바스버거 구로디지털점,"10,992",2시간전
서울 구로구,[바스버거 구로디지털단지점] 평일 런치 타임 파트타이머 모집, 바스버거 구로디지털점,"10,992",2시간전
서울 금천구,[바스버거 구로디지털단지점] 평일 런치 타임 파트타이머 모집, 바스버거 구로디지털점,"10,992",2시간전
서울 금천구,[바스버거 구로디지털단지점] 평일 런치 타임 파트타이머 모집, 바스버거 구로디지털점,"10,992",2시간전
서울 관악구,[바스버거 구로디지털단지점] 평일 런치 타임 파트타이머 모집, 바스버거 구로디지털점,"10,992",2시간전
서울 강남구,[바스버거 선릉점] 평일 오픈 파트타이머 모집, 바스버거 잠실점,"10,992",3시간전
서울 강남구,[바스버거 선릉점] 평일 오픈 파트타이머 모집, 바스버거 잠실점,"10,992",3시간전
서울 강남구,[바스버거 선릉점] 평일 오픈 파트타이머 모집, 바스버거 잠실점,"10,992",3시간전
서울 강남구,[바스버거 선릉점] 평일 오픈 파트타이머 모집, 바스버거 잠실점,"10,992",3시간전
서울 강남구,[바스버거 선릉점] 평일 오픈 파트타이머 모집, 바스버거 잠실점,"10,992",3시간전
서울 강남구,[바스버거 선릉점] 평일마감 파트타이머 모집, 바스버거 선릉점,"10,992",3시간전
서울 강남구,[바스버거 선릉점] 평일마감 파트타이머 모집, 바스버거 선릉점,"10,992",3시간전
서울 강남구,[바스버거 선릉점] 평일마감 파트타이머 모집, 바스버거 선릉점,"10,992",3시간전
서울 강남구,[바스버거 선릉점] 평일마감 파트타이머 모집, 바스버거 선릉점,"10,992",3시간전
서울 강남구,[바스버거 선릉점] 평일마감 파트타이머 모집, 바스버거 선릉점,"10,992",3시간전
서울 서초구,[바스버거 서초교대점] 평일마감 파트타이머 모집, 바스버거 서초교대점,"10,464",3시간전
서울 서초구,[바스버거 서초교대점]  주말풀타임 파트타이머 모집, 바스버거 서초교대점,"10,992",3시간전
서울 동대문,[바스버거 을지로점] 평일 마감 파트타이머 모집, 바스버거 을지로점,"10,992",3시간전
서울 마포구,[바스버거 연남점] 주말 풀타임 파트타이머 모집, 바스버거 연남점,"10,992",4시간전
서울 강서구,[바스버거 마곡점] 평일 마감 파트타이머 모집, 바스버거 마곡점,"10,992",4시간전
서울 강서구,[바스버거 마곡점] 평일 마감 파트타이머 모집, 바스버거 마곡점,"10,992",4시간전
서울 강서구,[바스버거 마곡점] 평일 오전 파트타이머 모집, 바스버거 마곡점,"10,992",4시간전
서울 강서구,[바스버거 마곡점] 평일 오전 파트타이머 모집, 바스버거 마곡점,"10,992",4시간전
서울 강서구,[바스버거 마곡점] 평일 마감 파트타이머 모집, 바스버거 마곡점,"10,992",4시간전
서울 영등포,[바스버거 여의도점] 주말풀타임 파트타이머 모집, 바스버거 여의도점,"10,992",4시간전
서울 강서구,[바스버거 여의도점] 평일마감 파트타이머 모집, 바스버거 여의도점,"10,992",4시간전
서울 동대문,[바스버거 을지로점] 평일 마감 파트타이머 모집, 바스버거 을지로점,"10,992",4시간전
서울 양천구,[바스버거 여의도점] 주말풀타임 파트타이머 모집, 바스버거 여의도점,"10,992",4시간전
서울 영등포,[바스버거 여의도점] 평일마감 파트타이머 모집, 바스버거 여의도점,"10,992",4시간전
서울 광진구,[바스버거 성수점] 평일 마감 파트타이머 모집, 바스버거 성수점,"9,160",5시간전
서울 광진구,[바스버거 성수점] 평일 마감 파트타이머 모집, 바스버거 성수점,"9,160",5시간전
서울 성동구,[바스버거 성수점] 주말풀타임 파트타이머 모집, 바스버거 성수점,"9,160",5시간전
서울 광진구,[바스버거 성수점] 주말풀타임 파트타이머 모집, 바스버거 성수점,"10,992",5시간전
서울 성동구,[바스버거 성수점] 평일 마감 파트타이머 모집, 바스버거 성수점,"9,160",5시간전
서울 강서구,[바스버거 국회의사당점] 평일오픈 파트타이머 모집, 바스버거 국회점,"10,992",5시간전
