local,title,company,pay,reg_date
서울 노원구,책임감있고 성실하신 분, 베스킨라빈스,"9,160",3분전
전북 군산시,베스킨라빈스 군산수송점 아르바이트 모집 (주말/시간협의), 배스킨라빈스군산수송점,"9,160",3분전
서울 강서구,"배스킨라빈스 화곡대림점(주말 토,일  14시-19시)남,여 모집", 배스킨라빈스,"9,160",4분전
서울 종로구,배스킨라빈스 평창점 주말 낮 알바모집, 배스킨라빈스  평창점,"9,160",13분전
서울 종로구,배스킨라빈스 평창점 주말 저녁 알바모집, 배스킨라빈스  평창점,"9,160",13분전
인천 서구,"배스킨라빈스 인천청라점 평일 월,화 저녁타임 가족을 구합니다.", 배스킨라빈스인천청라점,"9,160",15분전
서울 구로구,"개봉역사/화토마감, 토일마감", 배스킨라빈스 개봉역사점,"9,500",17분전
서울 서초구,"배스킨라빈스 사당방배점에서 함께 할 파트너를 모집합니다. 시급 9,500원", 배스킨라빈스 사당방배,"9,500",18분전
서울 서초구,"배스킨라빈스 사당방배점에서 함께 할 파트너를 모집합니다. 시급 9,500원", 배스킨라빈스 사당방배,"9,500",19분전
서울 서초구,"배스킨라빈스 사당방배점에서 함께 할 파트너를 모집합니다. 시급 9,500원", 배스킨라빈스 사당방배,"9,500",19분전
서울 서초구,"배스킨라빈스 사당방배점에서 함께 할 파트너를 모집합니다. 시급 9,500원", 배스킨라빈스 사당방배,"9,500",19분전
서울 영등포,배스킨라빈스 평일/주말  주3일 1년이상 근무친구 구합니다.5, 배스킨라빈스문래,"9,160",21분전
대구 달성군,배스킨라빈스 대구대곡역점 알바 구합니다 -배스킨경력자, 배스킨라빈스 대구대곡역점,"9,160",22분전
경남 진주시,배스킨라빈스 진주혁신도시점에서 책임감 강한 경력있는 알바 구합니다, 배스킨라빈스 진주혁신도시점,"9,160",23분전
서울 영등포,"주말마감, 평일마감 구합니다", 배스킨라빈스당산역점,"9,200",23분전
울산 남구,배스킨라빈스 울산신정점에서 함께일하실분 모집합니다., 배스킨라빈스,"9,160",25분전
부산 연제구,배스킨라빈스  평일 오픈 알바모집, 배스킨라빈스 부산교대점,"9,160",30분전
