local,title,company,pay,reg_date
경기 용인시,홀서빙 주방 모집, 더본코리아 새마을식당 용인처인구청점,"9,500",1분전
경기 평택시,홍콩반점 평택역점에서 함께 일할 주방보조를 모집합니다., 더본코리아 홍콩반점0410 평택역점,"2,700,000",3분전
서울 광진구,역전우동0410강변역점 평일알바 모집, 더본코리아 역전우동0410 강변역점,"10,000",8분전
서울 강동구,[주6일 포장직원]홍콩반점 상일동역점에서 주문접수&홀포장 직원 모집합니다., 더본코리아 홍콩반점0410 상일동역점,"2,900,000",9분전
경기 파주시,홍콩반점 LGD파주점(신규오픈매장) 주방 및 홀 직원/알바 모집, 더본코리아 홍콩반점0410 LGD파주,"2,800,000",10분전
인천 남동구,롤링파스타 구월점 주방직원 모집합니다., 더본코리아 롤링파스타 인천구월점,"2,800,000",10분전
경기 파주시,홍콩반점 LGD파주점(신규오픈매장) 주방 및 홀 직원/알바 모집, 더본코리아 홍콩반점0410 LGD파주,"2,800,000",10분전
경기 파주시,홍콩반점 LGD파주점(신규오픈매장) 주방 및 홀 직원/알바 모집, 더본코리아 홍콩반점0410 LGD파주,"2,800,000",10분전
경기 남양주,롤링파스타 다산진건점 홀직원 모집, 더본코리아 롤링파스타 다산진건점,"9,160",10분전
경기 파주시,홍콩반점 LGD파주점(신규오픈매장) 주방 및 홀 직원/알바 모집, 더본코리아 홍콩반점0410 LGD파주,"2,800,000",10분전
경기 양주시,주방 오전 직원모집, 더본코리아 새마을식당 양주옥정신도시점,"1,400,000",11분전
경기 파주시,홍콩반점 LGD파주점(신규오픈매장) 주방 및 홀 직원/알바 모집, 더본코리아 홍콩반점0410 LGD파주,"2,800,000",11분전
인천 남동구,롤링파스타 구월점 주방정직원 모집합니다., 더본코리아 롤링파스타 인천구월점,"2,800,000",11분전
대구 동구,주방 직원 모집합니다, 더본코리아 홍콩반점0410 동대구역점,"2,400,000",11분전
충남 아산시,인생설렁탕 천안아산역점 주방 정직원 구합니다., 더본코리아 인생설렁탕 천안아산역점,"2,700,000",13분전
경남 진주시,평일 오후 홀 서빙 모집, 홍콩반점0410 진주혁신도시점,"9,200",14분전
경기 성남시,주방장 및 주방보조 모집합니다, 더본코리아 홍콩반점0410 분당야탑점,"3,000,000",15분전
경남 진주시,평일 오후 홀 서빙 모집, 홍콩반점0410 진주혁신도시점,"9,200",15분전
경기 수원시,롤링파스타 수원인계점 주방 정규사원 채용, 롤링파스타 수원인계점,"2,500,000",15분전
서울 구로구,(구로구 고척동)홍콩반점 홀서빙 및 주방보조 월화 알바 구인, 홍콩반점0410 고척동양대점,"10,000",15분전
경남 진주시,주방직원 모집, 홍콩반점0410 진주혁신도시점,"3,000,000",16분전
경남 진주시,주방직원 모집, 홍콩반점0410 진주혁신도시점,"3,000,000",16분전
경남 진주시,주방직원 모집, 더본코리아 홍콩반점0410 진주중앙로,"3,000,000",17분전
서울 광진구,역전우동0410강변역점 평일알바 모집, 더본코리아 역전우동0410 강변역점,"10,000",18분전
경남 진주시,주방직원 모집, 더본코리아 홍콩반점0410 진주중앙로,"3,000,000",18분전
경남 창원시,역전우동 0410  창원어반브릭스점  평일 주방직원 구합니다, 더본코리아 홍콩반점0410 창원어반브,"9,500",19분전
서울 성북구,롤링파스타 성신여대점 주5일 주방직원 구합니다 ~, 더본코리아 롤링파스타 성신여대역점,"2,250,000",20분전
부산 연제구,(주말알바)홍콩반점 연산동역점 주말 홀서빙 알바구합니다., 더본코리아 홍콩반점0410 부산연산동,"9,160",21분전
대전 유성구,역전우동0410 대전노은역점에서 평일 16-22시 알바 구해요, 더본코리아 역전우동0410 대전노은역,"9,500",22분전
부산 연제구,(주말알바)홍콩반점 주말 홀서빙 알바구합니다., 더본코리아 홍콩반점0410 부산연산동,"9,160",23분전
충북 충주시,역전우동0410 충주 칠금점  파트타임, 더본코리아 역전우동0410 충주칠금점,"9,160",24분전
부산 연제구,(주말알바)홍콩반점 연산동역점 주말 홀서빙 알바구합니다., 더본코리아 홍콩반점0410 부산연산동,"9,160",25분전
서울 광진구,건대입구 홍콩반점에서 홀서빙 직원을 모집합니다., 더본코리아 홍콩반점0410 건대입구역,"2,600,000",27분전
경기 안산시,홍콩반점 0410 월피점 주방보조 및 포장  알바 구인, 더본코리아 홍콩반점0410 안산월피점,"10,000",27분전
대구 중구,연돈볼카츠 서문시장점  직원2명구합니다. 7월말 오픈예정, 더본코리아 연돈볼카츠 대구서문시장점,"2,400,000",29분전
대구 중구,연돈볼카츠 서문시장점  직원2명구합니다. 7월말 오픈예정, 더본코리아 연돈볼카츠 대구서문시장점,"2,400,000",29분전
경기 전체,홍콩반점0410 시흥배곧신도시점에서 주방직원 모집합니다, 홍콩반점0410 시흥배곧신도시점,"2,900,000",31분전
서울 강동구,[포장 주5일]홍콩반점 명일동점에서 주문/포장직원 모집합니다., 더본코리아 홍콩반점0410 명일동점,"2,600,000",32분전
전북 익산시,(정)롤링파스타익산모현점 주방경력직 구함(주6일), 롤링파스타 익산모현점,"3,000,000",32분전
경기 전체,홍콩반점0410 시흥배곧신도시점에서 주방직원(주5일근무) 모집합니다, 홍콩반점0410 시흥배곧신도시점,"2,600,000",32분전
인천 서구,롤링파스타-루원시티점 ( 주말-홀서빙 직원모집), 더본코리아 롤링파스타 인천루원시티점,"9,160",32분전
서울 강동구,[포장 주5일]홍콩반점 명일동점에서 주문/포장직원 모집합니다., 더본코리아 홍콩반점0410 명일동점,"2,600,000",32분전
경기 양주시,주방직원모집, 더본코리아 새마을식당 양주옥정신도시점,"2,500,000",35분전
경기 남양주,"주말알바 홍콩반점 별내,갈매에서 오후 홀서빙 알바 구합니다", 더본코리아 홍콩반점0410 남양주별내,"11,000",36분전
경기 남양주,"홍콩반점 별내점에서 평일 오후 홀서빙 구합니다 시급 11,000원", 더본코리아 홍콩반점0410 남양주별내,"11,000",37분전
서울 도봉구,"홍콩반점 창동역점 (홀)  월-금 18-22시 시급 10,000원", 홍콩반점0410 창동역점,"10,000",38분전
부산 기장군,홍콩반점 정직원, 더본코리아 홍콩반점0410 부산정관모,"2,750,000",38분전
서울 도봉구,"홍콩반점 창동역점 (홀)  주말(토,일) 10-22시 시급 10,000원", 홍콩반점0410 창동역점,"10,000",39분전
경기 용인시,홀직원 모집합니다 주5일, 더본코리아 홍콩반점0410 죽전단대점,"2,600,000",39분전
경기 용인시,주6일 주5일 주방직원 모집합니다.급여 280, 더본코리아 홍콩반점0410 죽전단대점,"2,800,000",39분전
