local,title,company,pay,reg_date
충북 청주시,봉명동내커피 청주본점 주말 야간파트(카페), 봉명동내커피 청주본점,"10,000",2시간전
충북 청주시,(주)비엠디/봉명동내커피 가맹본부 신입SV슈퍼바이저모집, 봉명동내커피 청주본점,"2,214,440",2시간전
충북 청주시,봉명동내커피 청주본점 주말 야간파트(카페), 봉명동내커피 청주본점,"10,000",07/17
충북 청주시,봉명동내커피 청주본점 주말 야간파트(카페), 봉명동내커피 청주본점,"10,000",07/17
광주 동구,배달전문카페 봉명동내커피 알바 모집합니다, 봉명동내커피 광주동구점,"9,160",07/16
경기 김포시,[봉명동 내커피-디저트카페] 함께 할 아르바이트 채용/시급10000, 봉명동내커피 김포구래점,"10,000",07/16
경기 광주시,프랜차이즈 카페 봉명동내커피에서 주말알바 구합니다, 봉명동내커피 경기광주점,"9,160",07/16
대전 유성구,봉명동내커피 봉명동 평일마감 구해요.), 봉명동내커피대전3호점,"9,160",07/15
경기 부천시,[주말마감]센스있고 책임감있는 분 모십니다., 봉명동내커피 부천점,"9,500",07/12
경기 부천시,[금토일 저녁]센스있고 책임감있는 분 모십니다., 봉명동내커피 부천점,"9,160",07/12
충북 청주시,평일 오전 파트타이머모집, 봉명동내커피 금천점,"9,160",07/12
충북 청주시,주말 오전.오후 파트타이머모집, 봉명동내커피 금천점,"9,500",07/12
충북 청주시,주말 오전. 오후 파트타이머 모집, 봉명동내커피 율량점,"9,500",07/12
충북 청주시,주말 오전. 오후 파트타이머 모집, 봉명동내커피 율량점,"9,500",07/12
충북 청주시,주말 오전. 오후 파트타이머 모집, 봉명동내커피 율량점,"9,500",07/12
충북 음성군,같이 일할분 구합니당, 봉명동내커피 충북혁신도시점,"9,500",07/12
충북 음성군,같이 일할분 구합니당, 봉명동내커피 충북혁신도시점,"9,500",07/12
충북 음성군,같이 일할분 구합니당, 봉명동내커피 충북혁신도시점,"9,500",07/12
충북 음성군,같이 일할분 구합니당, 봉명동내커피 충북혁신도시점,"9,500",07/12
충북 청주시,주말 오전. 오후 파트타이머 모집, 봉명동내커피 율량점,"9,500",07/12
충북 청주시,주말 오전.오후 파트타이머모집, 봉명동내커피 금천점,"9,500",07/12
충북 청주시,평일 오전 파트타이머모집, 봉명동내커피 금천점,"9,160",07/12
