local,title,company,pay,reg_date
인천 전체,주 5일/근무 8시간/브라운돈까스 인천공항점 주방직원모집(교통비별도지급), 브라운돈까스 인천공항점,"2,300,000",2시간전
서울 서초구,서초점  브라운돈까스에서 주방직원 모십니다., 브라운돈까스 롯데마트 서초점,"35,000,000",2시간전
경기 부천시,"[스타필드 부천점]브라운돈까스 포스/배식담당자 월 300만원, 6회 휴무", 브라운돈까스 스타필드시티 부천점,"3,000,000",3시간전
경기 부천시,"[스타필드 부천점]브라운돈까스 포스/배식담당자 월 300만원, 6회 휴무", 브라운돈까스 스타필드시티 부천점,"3,000,000",4시간전
경기 부천시,"[스타필드 부천점]브라운돈까스 포스/배식담당자 월 300만원, 6회 휴무", 브라운돈까스 스타필드시티 부천점,"3,000,000",4시간전
경기 부천시,"[스타필드 부천점]브라운돈까스 포스/배식담당자 월 300만원, 6회 휴무", 브라운돈까스 스타필드시티 부천점,"3,000,000",4시간전
경기 부천시,"[스타필드 부천점]브라운돈까스 포스/배식담당자 월 300만원, 6회 휴무", 브라운돈까스 스타필드시티 부천점,"3,000,000",4시간전
서울 송파구,떡심  잠실 롯데월드 점 에서  즐겁게 일하실 주말알바 구해요, 브라운돈까스 분식회사 떡심 롯데월드점,"12,000",6시간전
서울 송파구,떡심  잠실 롯데월드 점 에서  즐겁게 일하실 직원 구해요, 브라운돈까스 분식회사 떡심 롯데월드점,"2,800,000",6시간전
경기 전체,붐테이블 성복역점에서  즐겁게 일하실 매니져님을 모십니다, 브라운돈까스 붐테이블 성복역점,"3,000,000",07/18
경기 수원시,이마트 수원점 브라운돈까스 정직원모집, 브라운돈까스 이마트 수원점,"2,200,000",07/11
경기 수원시,이마트 수원점 브라운돈까스   파트타임   모집, 브라운돈까스 이마트 수원점,"9,500",07/07
경기 수원시,이마트 수원점 브라운돈까스 정직원모집, 브라운돈까스 이마트 수원점,"2,200,000",07/07
경기 용인시,붐테이블 성복역점에서  즐겁게 일하실 매니져님을 모십니다, 브라운돈까스 붐테이블 성복역점,"2,800,000",07/03
