local,title,company,pay,reg_date
경남 창원시,빅스타피자 평일저녁알바모집, 빅스타피자 창원성산구점,"9,500",20분전
부산 북구,부산 북구점 직원구함, 빅스타피자 부산북구점,"2,500,000",2시간전
경남 창원시,"빅스타피자 주말오전,주말저녁알바모집", 빅스타피자 창원성산구점,"9,500",2시간전
경남 창원시,"빅스타피자 평일저녁, 주말오전,주말저녁알바모집", 빅스타피자 창원성산구점,"9,500",2시간전
경기 광명시,빅스타피자 광명점 주말 오후 알바모집, 빅스타피자 광명점,"9,500",7시간전
경남 창원시,빅스타피자 평일저녁알바모집, 빅스타피자 창원성산구점,"9,500",7시간전
경남 창원시,"빅스타피자 주말오전,주말저녁알바모집", 빅스타피자 창원성산구점,"9,500",07/18
인천 계양구,빅스타피자 배달직원 구합니다, 빅스타피자 인천계양구점,"10,000",07/12
인천 계양구,빅스타피자 배달직원 구합니다, 빅스타피자 인천계양구점,"10,000",07/12
대전 동구,빅스타피자 대전한남대점 주방(피자메이커)모집(주말), 빅스타피자 대전한남대점,"9,160",07/11
서울 강남구,시급10300 빅스타피자에서 재치있고성실한 동료를 모집해용, 빅스타피자 강남1호점,"10,300",07/08
경기 남양주,"빅스타피자 남양주 별내점  평일,주말 오후 알바 모집합니다.", 빅스타피자 남양주별내점,"10,000",07/08
부산 동래구,빅스타피자 부산사직점 주말 알바 구함, 빅스타피자 부산사직점,"9,160",07/04
