local,title,company,pay,reg_date
서울 중랑구,[급구] 성원아이북랜드 책읽어주는 선생님 추가모집, 성원아이북랜드 동대문중랑성동영업본부,"2,000,000",1시간전
광주 전체,"아이북랜드에서 책읽어주기선생님 모집합니다.(치평동,화정동,금호동,효천지구)", 성원아이북랜드 광주남구에이스영업본부,"1,000,000",1시간전
서울 송파구,송파)성원아이북랜드 독서교사 모집(신입정착금지원/경력자환영), 성원아이북랜드 송파영업본부,"2,000,000",2시간전
서울 강서구,"[영등포구] 유아동 도서대여, 독서논술, 책읽어주기 선생님 모집", 성원아이북랜드 강서양천영업본부,"1,000,000",2시간전
서울 강서구,"[양천구] 유아동 도서대여, 독서논술, 책읽어주기 선생님 모집", 성원아이북랜드 강서양천영업본부,"1,000,000",2시간전
서울 강서구,"[강서구] 유아동 도서대여, 독서논술, 책읽어주기 선생님 모집", 성원아이북랜드 강서양천영업본부,"1,000,000",2시간전
대구 동구,"(봉무동,연경동)-도서대여 및 책읽어주기 선생님 모집/신입정착금지원", 성원아이북랜드 대구동부시지영업본부,"1,300,000",2시간전
서울 송파구,"(급구) 송파구,위례지역 책읽어주기 교사모집(6개월 정착지원금지원", 성원아이북랜드 송파영업본부,"2,000,000",2시간전
경기 하남시,(급구)책 읽어주기 선생님을 모집합니다, 성원아이북랜드 하남영업본부,"1,000,000",4시간전
경기 하남시,(급구)책 읽어주기 선생님을 모집합니다, 성원아이북랜드 하남영업본부,"1,000,000",4시간전
경기 하남시,(급구)책 읽어주기 선생님을 모집합니다, 성원아이북랜드 하남영업본부,"1,000,000",4시간전
경기 고양시,"도서대여,책읽어주기및 코칭,논술,역사 선생님을 모집 합니다", 성원아이북랜드 일산영업본부,"35,000",5시간전
경북 영주시,"책읽어 주기,책읽기 습관 지도 방문교사 모십니다(영주)", 성원아이북랜드 경북북부영업본부,"1,200,000",5시간전
경북 안동시,책읽어 주기 선생님에 지원하세요~, 성원아이북랜드 경북북부영업본부,"1,500,000",5시간전
대전 중구,대전중구.동구 책읽어주기 선생님 모집합니다, 성원아이북랜드 대전문화영업본부,"1,800,000",5시간전
광주 전체,"아이북랜드에서 책읽어주기선생님 모집합니다.(치평동,화정동,금호동,효천지구)", 성원아이북랜드 광주남구에이스영업본부,"1,000,000",5시간전
대전 중구,관저동.봉명동 책읽어주기 선생님 모집합니다, 성원아이북랜드 대전문화영업본부,"1,800,000",5시간전
강원 원주시,책 읽어주는 선생님/북센터수업/책 읽어주는 공부방 모집, 성원아이북랜드 강원영서영업본부,"24,000,000",5시간전
대전 서구,[둔산동] 배본관리 /책읽어주기 교사모집합니다, 성원아이북랜드 대전둔산유성영업본부,"1,000,000",5시간전
대전 서구,[노은동] 배본관리 /책읽어주기 교사모집합니다, 성원아이북랜드 대전둔산유성영업본부,"1,000,000",5시간전
대전 서구,[대덕구] 배본관리 /책읽어주기 교사 모집합니다, 성원아이북랜드 대전둔산유성영업본부,"1,000,000",5시간전
서울 은평구,책읽어 주기 선생님을 모십니다(서대문구 홍제동), 성원아이북랜드 서대문마포은평영업본부,"1,000,000",5시간전
서울 은평구,독서천재 선생님을 모십니다(서대문구 북아현동), 성원아이북랜드 서대문마포은평영업본부,"1,000,000",5시간전
서울 은평구,책읽어 주기 선생님을 모십니다(홍은동), 성원아이북랜드 서대문마포은평영업본부,"1,000,000",5시간전
경기 고양시,[덕양구] 책 읽어주기 선생님 모집합니다., 성원아이북랜드 덕양영업본부,"1,000,000",6시간전
경기 고양시,[덕양구] 독서.논술 선생님 모집합니다., 성원아이북랜드 덕양영업본부,"1,000,000",6시간전
경기 고양시,[덕양구] 도서대여 . 책읽어주기 선생님을 모집합니다., 성원아이북랜드 덕양영업본부,"1,000,000",6시간전
대구 북구,"(침산동,복현동)-책읽어주기 선생님을 모집합니다/정착금지원,초보자가능", 성원아이북랜드 대구동부시지영업본부,"1,300,000",6시간전
대구 동구,"(각산동,율하동)-도서대여 및 책읽어주기 선생님 모집/정착금지원,초보자가능", 성원아이북랜드 대구동부시지영업본부,"45,000",6시간전
서울 강남구,책 읽어주기 선생님을 모십니다-독서지도사자격증반 운영 중, 성원아이북랜드 강남영업본부,"1,500,000",6시간전
경기 수원시,(수원)성원아이북랜드 독서교사 모집(신입정착금지원/경력자 환영), 성원아이북랜드 수원영업본부,"38,000",6시간전
경기 수원시,(수원)성원아이북랜드 독서교사 모집(신입정착금지원/경력자 환영), 성원아이북랜드 수원영업본부,"38,000",6시간전
경기 수원시,(수원)성원아이북랜드 독서교사 모집(신입정착금지원/경력자 환영), 성원아이북랜드 수원영업본부,"38,000",6시간전
경기 평택시,책 읽어주기 수업 선생님 모집합니다(정착금지원), 성원아이북랜드 평택안성영업본부,"38,000",6시간전
경기 용인시,성원아이북랜드 용인본부 독서 교사 모집 (신입 정착금 지원/최대 300만원), 성원아이북랜드 용인영업본부,"2,000,000",6시간전
경기 용인시,성원아이북랜드 용인본부 독서 교사 모집 (신입 정착금 지원/최대 300만원), 성원아이북랜드 용인영업본부,"2,000,000",6시간전
경기 용인시,성원아이북랜드 용인본부 독서 교사 모집 (신입 정착금 지원/최대 300만원), 성원아이북랜드 용인영업본부,"2,000,000",6시간전
경기 고양시,"책읽어주기및 독서코칭,논술,선생님을 모집 합니다", 성원아이북랜드 일산영업본부,"35,000",6시간전
서울 송파구,"경력자환영/책읽어주기및코칭,논술,역사전문 선생님 모집", 성원아이북랜드 송파영업본부,"2,000,000",6시간전
서울 강동구,"책 읽어주기 선생님 모집(정착금+경력우대),오전,오후협의", 성원아이북랜드 강동영업본부,"1,200,000",7시간전
서울 강동구,(급구)책 읽어주기 선생님 모집(정착금+경력우대), 성원아이북랜드 강동영업본부,"1,200,000",7시간전
대구 수성구,대구(수성구)성원아이북랜드 독서교사 모집(신입 정착금지원) 경력자 환영, 성원아이북랜드 대구중부영업본부,"45,000",7시간전
대구 수성구,대구/수성구 지산동 성원아이북랜드 도서 대여 및 책읽어주기 교사 모집, 성원아이북랜드 대구중부영업본부,"45,000",7시간전
충남 천안시,천안전지역) 책읽어주기선생님 모집합니다., 성원아이북랜드 천안영업본부,"1,500,000",7시간전
충남 천안시,천안전지역) 책읽어주기선생님 모집합니다., 성원아이북랜드 천안영업본부,"1,500,000",7시간전
충남 천안시,천안전지역) 책읽어주기선생님 모집합니다., 성원아이북랜드 천안영업본부,"1,500,000",7시간전
대구 북구,"(동천,구암)성원아이북랜드 독서교사 모집 (신입정착지원금지원 /경력자 환영)", 성원아이북랜드 대구서북부영업본부,"45,000",8시간전
서울 서초구,(급구) 서초지역 오후 5시간 주3회 책읽어주기선생님을 모집, 성원아이북랜드 서초영업본부,"1,500,000",8시간전
서울 서초구,(급구) 서초2동 에스티지 주3회 오후 5시간근무 책읽어주기및 대여선생님모집, 성원아이북랜드 서초영업본부,"1,500,000",8시간전
경기 화성시,"(2동탄)책읽기,독서코칭,독서논술 선생님 모집", 성원아이북랜드 오산화성영업본부,"1,500,000",8시간전
