local,title,company,pay,reg_date
경기 안양시,[슈펜 평촌점] 주5일(40시간)풀타임 아르바이트모집V, 슈펜 슈펜 평촌 (NC백화점),"9,160",07/17
경기 안양시,[슈펜 평촌점] 주5일(40시간)풀타임 아르바이트모집V, 슈펜 슈펜 평촌 (NC백화점),"9,160",07/17
경기 수원시,[슈펜 수원 터미널점] 주5일(40시간)풀타임 아르바이트모집V, 슈펜 슈펜 수원 (NC백화점),"9,160",07/17
경기 수원시,[슈펜 수원 터미널점] 주5일(40시간)풀타임 아르바이트모집V, 슈펜 슈펜 수원 (NC백화점),"9,160",07/17
경기 수원시,[슈펜 수원 롯데몰] 주5일(40시간)풀타임 아르바이트모집V, 슈펜 슈펜 수원 (롯데몰),"9,160",07/17
경기 수원시,[슈펜 수원 롯데몰] 주5일(40시간)풀타임 아르바이트모집V, 슈펜 슈펜 수원 (롯데몰),"9,160",07/17
경기 부천시,[슈펜 부천점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 부천 (뉴코아아울렛),"1,914,440",07/12
경기 안산시,[슈펜 고잔점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 고잔 (NC백화점),"1,914,440",07/12
경기 안산시,[슈펜 고잔점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 고잔 (NC백화점),"1,914,440",07/12
서울 은평구,[슈펜 고양 스타필드점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 슈펜 고양 (스타필드),"1,914,440",07/12
경기 고양시,[슈펜 고양 스타필드점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 슈펜 고양 (스타필드),"1,914,440",07/12
서울 동작구,[슈펜 강남역 1호점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 강남역 1호 (점프밀라노),"1,914,440",07/12
서울 관악구,[슈펜 강남역 1호점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 강남역 1호 (점프밀라노),"1,914,440",07/12
서울 구로구,[슈펜 가산점] 주2일(12시간)_주말(토일) 아르바이트_모집V, 슈펜 가산 (마리오아울렛),"9,160",07/12
서울 금천구,[슈펜 가산점] 주2일(12시간)_주말(토일) 아르바이트_모집V, 슈펜 가산 (마리오아울렛),"9,160",07/12
서울 금천구,[슈펜 가산점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 가산 (마리오아울렛),"1,914,440",07/12
서울 구로구,[슈펜 가산점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 가산 (마리오아울렛),"1,914,440",07/12
대전 중구,[슈펜 대전 중앙로] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 슈펜 대전 (NC백화점),"1,914,440",07/12
대전 전체,[슈펜 대전 중앙로] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 슈펜 대전 (NC백화점),"1,914,440",07/12
서울 강서구,[슈펜 김포 롯데몰점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 슈펜 김포 (롯데몰),"1,914,440",07/12
경기 김포시,[슈펜 김포 롯데몰점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 슈펜 김포 (롯데몰),"1,914,440",07/12
대구 전체,[슈펜 동성로점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 동성로,"1,914,440",07/12
대구 중구,[슈펜 동성로점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 동성로,"1,914,440",07/12
서울 서대문,[슈펜 홍대점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 홍대,"1,914,440",07/05
서울 마포구,[슈펜 홍대점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 홍대,"1,914,440",07/05
서울 광진구,[슈펜 천호점] 주5일(40시간)_풀타임 아르바이트_모집V, 슈펜 천호 (2001아울렛),"1,914,440",07/05
