local,title,company,pay,reg_date
충북 청주시,스타벅스 청주용암DT 파트너를 모집합니다., 스타벅스 청주용암DT,"10,000",5분전
대전 서구,[대전정부청사역점]대전광역시 서구 대전정부청사역점 바리스타 모집, 스타벅스 대전정부청사역,"10,000",5분전
서울 영등포,스타벅스 서울양평역 바리스타 모집, 스타벅스 서울양평역,"10,000",7분전
서울 강남구,[GS타워]에서 바리스타 모집합니다, 스타벅스 GS타워,"10,000",9분전
세종 어진동,스타벅스 세종어진R점에서 인재를 모집합니다., 스타벅스 세종어진R,"10,000",14분전
서울 마포구,스타벅스 [공덕점]에서 함께 할 파트너를 찾습니다, 스타벅스 공덕,"10,000",14분전
전북 전주시,스타벅스 전주에코시티점 바리스타 모집, 스타벅스 전주에코시티,"10,000",17분전
서울 마포구,[상수역점] 서울시 마포구 상수역점 바리스타 모집, 스타벅스 상수역,"10,000",20분전
경기 성남시,스타벅스 판교브릿지타워점 바리스타 채용, 스타벅스 판교브릿지타워,"10,000",23분전
경기 용인시,스타벅스 구성트레이더스점 바리스타 채용모집, 스타벅스 구성트레이더스,"10,000",24분전
경남 김해시,스타벅스 김해대로DT점 신규 바리스타 모집, 스타벅스 김해대로DT,"10,000",25분전
경남 김해시,스타벅스 김해가야로DT점 바리스타모집, 스타벅스 김해가야로DT,"10,000",26분전
전북 전주시,스타벅스에서 바리스타를 모집합니다, 스타벅스 전북도청,"10,000",30분전
경기 이천시,스타벅스 이천하이닉스 파트너 모집, 스타벅스 이천하이닉스,"10,000",30분전
경기 수원시,스타벅스 수원나혜석거리점에서 바리스타를 모집합니다, 스타벅스 수원나혜석거리,"10,000",31분전
경기 수원시,스타벅스  수원금곡점 바리스타 모집, 스타벅스 수원금곡,"10,000",32분전
서울 마포구,[스타벅스 합정폴리스R점] 바리스타 모집 합니다., 스타벅스 합정폴리스R,"10,000",32분전
경기 평택시,[평택이충DT] 청원로 1388, 스타벅스 평택이충DT,"10,000",32분전
서울 강남구,[도곡공원점] 바리스타 채용, 스타벅스 도곡공원,"10,000",35분전
대전 유성구,스타벅스 대전테크노밸리점에서 함께 일할 바리스타 모집합니다., 스타벅스 대전테크노밸리,"10,000",38분전
서울 중구,스타벅스 신세계본점5F점에서 함께 근무할 파트너를 모집합니다, 스타벅스 신세계본점5F,"10,000",42분전
경남 김해시,스타벅스 김해율하신도시 바리스타모집, 스타벅스 김해율하신도시,"10,000",42분전
서울 강남구,스타벅스 스타필드코엑스몰R점에서 함게 근무할 바리스타를 모집합니다., 스타벅스 스타필드코엑스몰R,"10,000",46분전
대전 유성구,[충남대정문] 스타벅스 경험을 전파해주실 바리스타 파트너 모집합니다., 스타벅스 충남대정문,"10,000",46분전
경기 안양시,스타벅스 평촌지역 (평촌호계점/평촌역DT점/평촌아크로점), 스타벅스 평촌호계,"10,000",47분전
서울 광진구,스타벅스 자양사거리 바리스타 모집, 스타벅스 자양사거리,"10,000",49분전
경기 평택시,스타벅스 죽백DT점에서 함께 근무 할 밝은 파트너를 모집하고 있습니다., 스타벅스 평택죽백DT,"10,000",50분전
충남 천안시,스타벅스 천안이마트점에서 함께 근무할 파트너를 모집합니다., 스타벅스 천안이마트,"10,000",50분전
서울 구로구,스타벅스 구로호텔점, 스타벅스 구로호텔,"10,000",50분전
경기 용인시,용인동백DT점에서 바리스타를 모집합니다., 스타벅스 용인동백DT,"10,000",52분전
경기 용인시,스타벅스 강남대점에서 함께 근무할 바리스타를 모집합니다., 스타벅스 강남대,"10,000",53분전
세종 어진동,스타벅스 세종어진R점에서 인재를 모집합니다., 스타벅스 세종어진R,"10,000",53분전
서울 구로구,스타벅스 구로하이엔드점에서 함께 근무할 파트너를 모집합니다., 스타벅스 구로하이엔드,"10,000",55분전
서울 송파구,스타벅스 아시아선수촌점에서 함께 일할 파트너를 구합니다., 스타벅스 아시아선수촌,"10,000",57분전
서울 강동구,스타벅스 명일이마트 바리스타 채용, 스타벅스 명일이마트,"10,000",57분전
광주 남구,[광주서문대로점] 함께 근무할 바리스타 채용 합니다., 스타벅스 광주서문대로,"10,000",59분전
광주 광산구,[전남나주] 스타벅스 전남나주점 바리스타 모집, 스타벅스 전남나주,"10,000",1시간전
서울 전체,[합정]바리스타 채용, 스타벅스 합정,"10,000",1시간전
경기 용인시,[한국민속촌DT] 점에서 바리스타를 모집합니다., 스타벅스 한국민속촌DT,"10,000",1시간전
전남 나주시,[전남나주] 스타벅스 전남나주점 바리스타 모집, 스타벅스 전남나주,"10,000",1시간전
