local,title,company,pay,reg_date
서울 강남구,에그드랍 양재역점 오후/ 마감파트 모집 합니다, 에그드랍 양재역점,"9,500",22분전
서울 강남구,에그드랍 양재역점 오전 파트 모집 합니다, 에그드랍 양재역점,"9,500",22분전
서울 강남구,에그드랍 양재역점 직원 모집, 에그드랍 양재역점,"2,700,000",23분전
경기 안산시,주말 오전 성실한 알바 구합니다., 에그드랍 안산중앙점,"9,160",3시간전
경기 부천시,에그드랍 부천역점 파트타임 일하실분 구합니다 금토일 협의, 에그드랍 부천역점,"9,160",4시간전
부산 중구,에그드랍 남포동점 알바 모집, 에그드랍 부산남포동점,"9,160",4시간전
경기 여주시,에그드랍 여주 신세계 아울렛 정직원 모집 합니다, 에그드랍 여주 신세계아울렛점,"2,300,000",5시간전
경북 안동시,에그드랍에서 함께  일할 주말 알바생 구합니다, 에그드랍 안동점,"9,200",5시간전
경기 안산시,평일 저녁 성실한 분 구합니다. 저녁 6시~10시, 에그드랍 안산중앙점,"9,160",5시간전
부산 동구,신규오픈 에그드랍 부산범일동일타워점 파트타임 모집, 에그드랍 부산범일동타워점,"9,160",5시간전
울산 전체,에그드랍 울산 삼산점  평일 아르바이트 모집합니다, 에그드랍 울산삼산점,"9,160",5시간전
서울 광진구,에그드랍 서울광장점 평일 마감 모집합니다. 주1회도 가능, 에그드랍 서울 광장점,"9,500",6시간전
서울 마포구,에그드랍 홍대입구점 주중 알바모집, 에그드랍 홍대입구점,"9,160",6시간전
경기 군포시,AK 금정역 신규오픈 에그드랍 목금 오픈 pt, 에그드랍 AK금정점,"9,160",6시간전
경기 군포시,AK플라자 금정역  에그드랍 주말 미들 PT, 에그드랍 AK금정점,"9,160",6시간전
대전 전체,에그드랍 NC대전유성점 같이 근무할 직원을 구합니다, 에그드랍 NC대전유성점,"2,400,000",7시간전
경북 안동시,에그드랍에서 함께  일할 주말 알바생 구합니다, 에그드랍 안동점,"9,200",8시간전
제주 제주시,(7월말 오픈예정) 에그드랍 제주공항점 같이 근무할 직원을 구합니다., 에그드랍 제주공항점,"10,992",8시간전
