local,title,company,pay,reg_date
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
광주 동구,[신입가능/ 주5일] 에잇세컨즈 광주충장로 FA, 제일패션리테일(주),"26,090,000",28분전
경기 용인시,[경력/주5일] 에잇세컨즈 용인에버랜드 경력 선임 FA, 제일패션리테일(주),"27,600,000",29분전
부산 부산진,[경력/주5일] 에잇세컨즈 부산삼정타워 경력 선임 FA, 제일패션리테일(주),"27,600,000",29분전
부산 중구,[경력/주5일] 에잇세컨즈 부산광복 경력 선임 FA, 제일패션리테일(주),"27,600,000",30분전
충북 청주시,[경력/주5일] 에잇세컨즈 청주성안길 경력 선임 FA, 제일패션리테일(주),"27,600,000",30분전
전북 전주시,[경력/주5일] 에잇세컨즈 전주효자몰 경력 선임 FA, 제일패션리테일(주),"27,600,000",31분전
부산 사상구,[경력/주5일/부산] 에잇세컨즈 홈플러스아시아드 경력 선임 FA, 제일패션리테일(주),"27,600,000",31분전
부산 사상구,[경력/주5일/부산] 에잇세컨즈 애플사상아울렛 경력 선임FA, 제일패션리테일(주),"27,600,000",31분전
경기 파주시,[경력/주5일/파주] 에잇세컨즈 신세계파주 경력 선임 FA, 제일패션리테일(주),"27,600,000",32분전
울산 남구,[경력/주5일/울산] 에잇세컨즈 울산업스퀘어 경력 선임 FA, 제일패션리테일(주),"27,600,000",32분전
울산 남구,[경력/주5일/울산] 에잇세컨즈 현대울산 경력 선임 FA, 제일패션리테일(주),"27,600,000",33분전
서울 영등포,[신입/주5일] 에잇세컨즈 타임스퀘어 FA 채용, 제일패션리테일(주),"26,090,000",33분전
