local,title,company,pay,reg_date
서울 전체,[매일유업 외식브랜드] 서울지역 홀/주방 인재 채용, 크리스탈제이드코리아 주식회사,"2,500,000",9분전
서울 성동구,폴바셋 역삼GFC점 -경력 과 신입- 정규직 바리스타 채용, 폴바셋 역삼GFC점,"9,800",37분전
서울 광진구,폴바셋 역삼GFC점 -경력 과 신입- 정규직 바리스타 채용, 폴바셋 역삼GFC점,"9,800",37분전
서울 송파구,폴바셋 역삼GFC점 -경력 과 신입- 정규직 바리스타 채용, 폴바셋 역삼GFC점,"9,800",38분전
서울 동작구,폴바셋 역삼GFC점 -경력 과 신입- 정규직 바리스타 채용, 폴바셋 역삼GFC점,"9,800",38분전
서울 영등포,폴바셋 역삼GFC점 -경력 과 신입- 정규직 바리스타 채용, 폴바셋 역삼GFC점,"9,800",39분전
경기 용인시,정규 신입 바리스타 모집(용인시청DT점), 폴바셋 용인시청DT점(신규 오픈매장),"9,800",45분전
경기 김포시,[폴 바셋 김포 구래DT점] 신입 및 경력 바리스타 모집, 폴바셋 김포 구래DT점,"9,800",1시간전
경기 김포시,[폴 바셋 ] 카페 주차안내원 아르바이트 모집, 폴바셋 김포구래DT점,"10,000",1시간전
경기 성남시,[폴바셋 일원역점] 신입 및 경력직 바리스타 모집(20만원 추가 지급), 폴바셋 일원역점,"9,800",1시간전
서울 강남구,[폴바셋 일원역점] 신입 및 경력직 바리스타 모집(20만원 추가 지급), 폴바셋 일원역점,"9,800",1시간전
전국 전체,[폴바셋 공개 채용] 신입 및 경력 정규 바리스타, 엠즈씨드(주),"9,800",1시간전
서울 영등포,[커피전문점 폴 바셋] 신입 바리스타 정규 채용 (여의도 IFC몰점), 폴바셋 여의도IFC점,"9,800",1시간전
서울 전체,정규 신입(트레이니) 바리스타 모집, 폴바셋 현대디큐브시티점,"9,800",2시간전
서울 전체,[폴바셋 교대역점] 정규직 바리스타 모집, 폴바셋 교대역점,"9,800",2시간전
서울 서초구,[폴 바셋 반포쌍동빌딩점] 신입 및 경력 바리스타 모집, 폴바셋 반포쌍동빌딩점,"9,800",2시간전
경기 용인시,[교통비20만원별도] 에버랜드 양식조리 홀 신입/경력 모집 더키친일뽀르노, 엠즈씨드(주),"24,578,400",2시간전
서울 전체,[폴바셋][교대역점] 정규직 바리스타 모집, 폴바셋 교대역점,"9,800",2시간전
서울 광진구,[폴바셋 수서역점] 신입/ 경력 바리스타 모집, 폴바셋 수서역점,"9,800",2시간전
경기 용인시,[폴 바셋 에버랜드점] 정규직 바리스타 모집(교통비 월 20만원 지급), 폴바셋 에버랜드점,"9,800",2시간전
서울 중구,[폴 바셋 을지로 파인에비뉴점] 신입 및 경력 바리스타 모집, 폴바셋 을지로파인에비뉴,"9,800",2시간전
서울 전체,[폴바셋 교대역점] 정규직 바리스타 모집, 폴바셋 교대역점,"9,800",2시간전
대구 전체,[폴 바셋 롯데대구점] 신입 / 경력 정규직 바리스타 모집, 폴바셋 롯데백화점대구점,"9,800",2시간전
서울 영등포,[커피전문점 폴 바셋] 신입 바리스타 정규 채용 (여의도 IFC몰점), 폴바셋 여의도IFC점,"9,800",2시간전
서울 전체,[폴바셋 교대역점] 정규직 바리스타 모집, 폴바셋 교대역점,"9,800",3시간전
경기 안성시,"[주말PT] 토,일 파트타이머 모집", 폴바셋 스타필드안성점,"9,160",3시간전
서울 구로구,[폴 바셋 고대구로병원점] 정규직 신입 바리스타 모집 (상시), 폴바셋 고대구로병원점,"9,800",3시간전
서울 송파구,폴바셋 정규직 신입/경력직 바리스타 모집, 폴바셋 롯데월드몰점,"9,800",3시간전
경기 광명시,[AK플라자 광명점] 신입 및 경력 바리스타 모집, 폴바셋 AK플라자 광명점,"9,800",3시간전
서울 관악구,[폴바셋 롯데백화점 관악점] 신입 및 경력 바리스타 모집, 폴바셋 롯데백화점관악점,"9,800",3시간전
서울 전체,정규 신입(트레이니) 바리스타 모집, 폴바셋 현대디큐브시티점,"9,800",4시간전
서울 전체,[폴바셋 파미에스테이션점] 정규 바리스타 모집 (시급9800원), 폴바셋 파미에스테이션점,"9,800",4시간전
대구 동구,"더 키친 일 뽀르노  대구 주말 주방,홀 아르바이트 채용", 더 키친 일뽀르노 신세계대구점,"9,160",4시간전
서울 강남구,[폴바셋 청담역점] 정규직 신입 바리스타 모집, 폴바셋 청담역점,"9,800",4시간전
서울 영등포,[폴바셋 여의도 현대카드점] 신입 및 경력 바리스타 모집, 폴바셋 여의도 현대카드점,"9,800",4시간전
서울 전체,[폴바셋 파미에스테이션점] 정규 바리스타 모집 (시급9800원), 폴바셋 파미에스테이션점,"9,800",4시간전
부산 중구,[폴 바셋 롯데백화점 광복점] 신입 및 경력 바리스타 모집, 폴바셋 롯데백화점광복점,"9,800",4시간전
경기 용인시,[폴 바셋 롯데몰수지점]정규직 신입 바리스타 모집, 폴바셋 롯데몰수지점,"9,800",4시간전
서울 관악구,[폴바셋 롯데백화점 관악점] 신입 및 경력 바리스타 모집, 폴바셋 롯데백화점관악점,"9,800",5시간전
서울 중구,[폴 바셋 서소문점] 정규직 신입 바리스타 모집, 폴바셋 서소문점,"9,800",5시간전
경기 평택시,[폴바셋 스타필드안성점] 신입 바리스타 모집, 엠즈씨드(주),"9,800",7시간전
서울 전체,[폴바셋 교대역점] 정규직 바리스타 모집, 폴바셋 교대역점,"9,800",19시간전
인천 연수구,"[폴바셋 송도 트리플스트리트점] 신입, 경력직 바리스타 채용", 폴바셋 송도 트리플스트리트점,"9,800",21시간전
광주 서구,[폴바셋 신세계광주점/롯데백화점광주점] 신입바리스타 모집, 폴바셋 광주신세계점,"9,800",22시간전
서울 영등포,[폴바셋 롯데마트 양평점] 신입/경력 바리스타 모집 (아르바이트X), 폴바셋 롯데마트양평점,"9,800",22시간전
경기 용인시,[폴 바셋 롯데몰수지점]정규직 신입 바리스타 모집, 폴바셋 롯데몰수지점,"9,800",22시간전
제주 제주시,[제주 용담DT점] 신입 및 경력 바리스타 모집, 폴 바셋 제주 용담 DT점,"9,800",23시간전
경기 용인시,[폴 바셋 에버랜드점] 정규직 신입 바리스타 모집(교통비 월 20만원 지급), 폴바셋 에버랜드점,"9,800",07/18
서울 전체,[폴바셋 롯데백화점 강남점] 신입 및 경력 바리스타 정규직 채용., 폴바셋 롯데강남점,"9,800",07/18
서울 송파구,[폴바셋][롯데백화점 잠실점] 신입/경력 바리스타 모집, 폴바셋 롯데백화점 잠실점,"9,800",07/18
