local,title,company,pay,reg_date
인천 연수구,주방 보조 알바 구합니다. (경력자 우대), 오늘와인한잔 송도지식정보단지역점,"11,000",10분전
대구 수성구,오늘와인한잔 수성못점에서 근무하실 주방직원 및 파트타임구합니다, 오늘와인한잔 대구수성못점,"2,900,000",2시간전
제주 제주시,오늘와인한잔 제주 연동점에서 함께할 comforter 모집합니다., 오늘와인한잔 & 오늘맥주한잔 제주연동,"9,500",2시간전
인천 부평구,"홀서빙 [토,일 (19시~익일 01시)] 알바 모집", 오늘와인한잔 부평점,"10,000",3시간전
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (11000)원  구해, 오늘와인한잔 강남역1,"2,700,000",4시간전
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (11000)원  구해, 오늘와인한잔 강남역1,"2,700,000",4시간전
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (11000)원  구해, 오늘와인한잔 강남역1,"2,700,000",4시간전
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (11000)원  구해, 오늘와인한잔 강남역1,"2,700,000",4시간전
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (11000)원  구해, 오늘와인한잔 강남역1,"2,700,000",4시간전
서울 서초구,오늘 와인한잔 예술의전당점) 홀/주방 함께 일하실 직원분 모셔요~~~, 오늘와인한잔 예술의전당점,"2,300,000",4시간전
인천 부평구,"홀서빙 [금,토 (19시~익일 01시)] 알바 모집", 오늘와인한잔 부평점,"10,000",4시간전
인천 부평구,"오늘,와인한잔 부평점에서 홀 정직원을 모집합니다.", 오늘와인한잔 부평점,"2,750,000",4시간전
경기 하남시,오늘와인한잔/미사역점/홀근무자, 오늘와인한잔 하남망월미사역점,"11,500",5시간전
인천 연수구,오늘와인한잔 송도트리플스트리트점 홀서빙 알바/금토일16~23시, 오늘와인한잔 송도트리플스트리트점,"10,500",5시간전
경기 고양시,라페스타 오늘와인한잔 알바 구합니다, 오늘와인한잔 라페스타점,"10,000",5시간전
서울 서초구,오늘 와인한잔 예술의전당점) 홀/주방 함께 일하실분 모십니다~주5, 오늘와인한잔 예술의전당점,"2,300,000",6시간전
경기 고양시,라페스타 오늘와인한잔 알바 구합니다, 오늘와인한잔 라페스타점,"10,000",6시간전
경기 고양시,라페스타 오늘와인한잔 알바 구합니다, 오늘와인한잔 라페스타점,"10,000",6시간전
경기 고양시,라페스타 오늘와인한잔 알바 구합니다, 오늘와인한잔 라페스타점,"10,000",6시간전
서울 강남구,오늘 와인한잔 강남세곡점 주방직원 구합니다, 오늘와인한잔 세곡점,"12,000",7시간전
인천 부평구,"오늘,와인한잔 부평점에서 홀 정직원을 모집합니다.", 오늘와인한잔 부평점,"2,750,000",7시간전
인천 부평구,"홀서빙 [금,토 (19시~익일 01시)] 알바 모집", 오늘와인한잔 부평점,"9,160",7시간전
서울 서초구,오늘와인한잔예술의전당점) 홀/주방 같이 일하실 직원분 모셔여~~~, 오늘와인한잔 예술의전당점,"2,300,000",07/18
대전 유성구,오늘와인한잔 대전봉명점에서 홀서빙 알바 구합니다., 오늘와인한잔 대전봉명점,"12,000",07/18
경기 하남시,오늘와인한잔/미사역점/홀근무자, 오늘와인한잔 하남망월미사역점,"11,500",07/17
경기 하남시,오늘와인한잔/미사역점/홀근무자, 오늘와인한잔 하남망월미사역점,"11,500",07/16
경기 하남시,오늘와인한잔/미사역점/홀근무자, 오늘와인한잔 하남망월미사역점,"11,500",07/16
전남 나주시,"오늘, 와인한잔 나주혁신도시점에서 서빙을 모십니다.(직원, 아르바이트)", 오늘와인한잔 나주혁신,"10,000",07/16
경기 성남시,"와인한잔 판교점에서 홀 주중오픈,주방보조를 찾습니다", 오늘와인한잔 판교역점,"13,500",07/15
서울 광진구,오늘와인한잔 건대점에서 주말 파트타이머 구합니다., 오늘와인한잔 건대점,"9,500",07/15
제주 제주시,오늘와인한잔 제주 연동점에서 함께할 comforter 모집합니다., 오늘와인한잔 & 오늘맥주한잔 제주연동,"10,000",07/10
경남 창원시,[오늘와인한잔  창원상남점]함께할 정직원 모집합니다, 오늘와인한잔 창원상남점,"2,500,000",07/09
서울 강남구,오늘 와인한잔 매봉역점 알바 모집, 오늘와인한잔 매봉역점,"11,000",07/08
서울 강남구,오늘 와인한잔 매봉역점 알바 모집, 오늘와인한잔 매봉역점,"11,000",07/08
서울 서초구,오늘 와인한잔 매봉역점 알바 모집, 오늘와인한잔 매봉역점,"11,000",07/08
서울 강남구,오늘 와인한잔 매봉역점 알바 모집, 오늘와인한잔 매봉역점,"11,000",07/08
서울 강남구,오늘 와인한잔 매봉역점 알바 모집, 오늘와인한잔 매봉역점,"11,000",07/08
서울 마포구,오늘와인한잔홍대3호점  평일 금토일 주말파트타임 구인, 오늘와인한잔 홍대3호점,"11,000",07/08
서울 마포구,오늘와인한잔홍대3호점  평일 금토일 주말파트타임 구인, 오늘와인한잔 홍대3호점,"11,000",07/08
서울 마포구,오늘와인한잔홍대3호점  평일 금토일 주말파트타임 구인, 오늘와인한잔 홍대3호점,"11,000",07/08
서울 마포구,오늘와인한잔홍대3호점  평일 금토일 주말파트타임 구인, 오늘와인한잔 홍대3호점,"11,000",07/08
서울 마포구,오늘와인한잔홍대3호점  평일 금토일 주말파트타임 구인, 오늘와인한잔 홍대3호점,"11,000",07/08
서울 성동구,오늘와인한잔/주방직원모집/PM.18시-01(협의가능)/급여230만부터, 오늘와인한잔 성수역점,"2,300,000",07/08
서울 성동구,오늘와인한잔/주방직원모집/PM.18시-01(협의가능)/급여230만부터, 오늘와인한잔 성수역점,"2,300,000",07/08
서울 성동구,오늘와인한잔/주방직원모집/PM.18시-01(협의가능)/급여230만부터, 오늘와인한잔 성수역점,"2,300,000",07/08
서울 성동구,오늘와인한잔/주방직원모집/PM.18시-01(협의가능)/급여230만부터, 오늘와인한잔 성수역점,"2,300,000",07/08
서울 성북구,오늘와인한잔 대학로점에서 즐겁게 일할 컴포터분들 모십니다, 오늘와인한잔 대학로점,"9,160",07/08
서울 강북구,오늘와인한잔 대학로점에서 즐겁게 일할 컴포터분들 모십니다, 오늘와인한잔 대학로점,"9,160",07/08
서울 강남구,오늘 와인한잔 주방직원  구합니다, 오늘와인한잔 세곡점,"12,000",07/08
서울 강남구,오늘 와인한잔 주방직원  구합니다, 오늘와인한잔 세곡점,"12,000",07/08
