local,title,company,pay,reg_date
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
None,None,None,None,None
서울 서초구,[유니클로] 이마트 양재점 파트타이머(주2일), 유니클로 이마트 양재점,"9,300",7분전
서울 서초구,[유니클로] 이마트 양재점 파트타이머(주4일), 유니클로 이마트 양재점,"11,160",8분전
서울 서초구,[유니클로] 이마트 양재점 스태프 모집합니다, 유니클로 이마트 양재점,"26,330,000",9분전
경기 김포시,[유니클로] 김포 장기점 매장 STAFF 모집합니다., 유니클로 김포 장기점,"26,330,000",19분전
경기 김포시,[유니클로] 김포 장기점 매장 파트타이머(주4일) 모집합니다., 유니클로 김포 장기점,"11,160",20분전
경남 창원시,[유니클로] 롯데 창원점 매장 스태프(풀타이머) 모집합니다., 유니클로 롯데백화점 창원점,"26,330,000",21분전
경남 창원시,[유니클로] 롯데 창원점 매장 파트타이머(P28) 모집합니다., 유니클로 롯데백화점 창원점,"11,160",22분전
전북 전체,[유니클로] 전주고사점 파트타이머 (주2일) 모집합니다., 유니클로 전주 고사점,"11,160",25분전
전북 전체,[유니클로] 전주 고사점 STAFF 모집합니다., 유니클로 전주 고사점,"26,330,000",26분전
전북 전체,[유니클로] 전주고사점 파트타이머 (주4일) 모집합니다., 유니클로 전주 고사점,"11,160",26분전
광주 서구,[유니클로] 롯데아울렛 광주월드컵점 매장 파트타이머(주 4일) 모집합니다., 유니클로 롯데아울렛 광주 월드컵점,"11,160",27분전
전남 여수시,[유니클로] 여수점 매장 스태프(풀타이머) 모집합니다., 유니클로 여수 둔덕점,"26,330,000",42분전
경북 포항시,[유니클로] 포항해도점 매장 스태프(풀타이머) 모집합니다., 유니클로 포항 해도점,"26,330,000",46분전
경북 포항시,[유니클로] 포항해도점 매장 파트타이머(주4일) 모집합니다., 유니클로 포항 해도점,"11,160",46분전
