local,title,company,pay,reg_date
경기 평택시,평택AK플라자 육첩반상 주말 알바모집, 육첩반상 & 탐라포차 AK플라자평택점,"10,000",4시간전
울산 남구,울산현대백화점 육첩반상 정직원 모집공고, 육첩반상 & 탐라포차 현대백화점울산점,"2,720,000",07/17
경기 평택시,안성 스타필드 육첩반상 파트모집 합니다, 육첩반상 & 탐라포차 스타필드안성점,"9,500",07/15
충남 천안시,육첩반상  천안신세계점에서  직원 모집합니다, 육첩반상 & 탐라포차 신세계백화점충청,"2,700,000",07/14
부산 부산진,롯데백화점  육첩반상, 육첩반상 & 탐라포차 롯데백화점부산본,"10,000",07/12
부산 부산진,롯데백화점  육첩반상, 육첩반상 & 탐라포차 롯데백화점부산본,"10,000",07/12
부산 부산진,롯데백화점  육첩반상, 육첩반상 & 탐라포차 롯데백화점부산본,"10,000",07/12
부산 부산진,롯데백화점  육첩반상, 육첩반상 & 탐라포차 롯데백화점부산본,"10,000",07/12
대전 중구,대전 육첩반상 은행동점 직원 주말 아르바이트 구함, 육첩반상 & 탐라포차 대전은행점,"9,500",07/12
부산 연제구,[월6회휴무/월10회휴무] 연산동 푸드코트 정직원 모집 초보가능, 육첩반상 & 탐라포차 이마트트레이더스,"2,150,000",07/12
부산 연제구,[월6회휴무/월10회휴무] 연산동 푸드코트 정직원 모집 초보가능, 육첩반상 & 탐라포차 이마트트레이더스,"2,150,000",07/12
부산 연제구,[월6회휴무/월10회휴무] 연산동 푸드코트 정직원 모집 초보가능, 육첩반상 & 탐라포차 이마트트레이더스,"2,150,000",07/12
부산 연제구,[월6회휴무/월10회휴무] 연산동 푸드코트 정직원 모집 초보가능, 육첩반상 & 탐라포차 이마트트레이더스,"2,150,000",07/12
대전 중구,대전 육첩반상 은행동점 직원 및 주말 아르바이트 구함, 육첩반상 & 탐라포차 스타필드안성점,"9,500",07/12
울산 남구,육첩반상 이마트 울산점  저녁 알바 구합니다, 육첩반상 & 탐라포차 이마트울산,"9,500",07/12
울산 남구,육첩반상 이마트 울산점  저녁 알바 구합니다, 육첩반상 & 탐라포차 이마트울산,"9,500",07/12
울산 남구,육첩반상 이마트 울산점  저녁 알바 구합니다, 육첩반상 & 탐라포차 이마트울산,"9,500",07/12
경기 평택시,평택AK플라자 육첩반상 주말 알바모집, 육첩반상 & 탐라포차 AK플라자평택점,"10,000",07/11
대전 유성구,[육첩반상] 대전유성구용산동현대아울렛 주방직원 모집합니다., 육첩반상 & 탐라포차 현대아울렛대전점,"3,000,000",07/08
대전 유성구,[육첩반상] 대전유성구용산동 현대아울렛 주방직원 모집합니다., 육첩반상 & 탐라포차 현대아울렛대전점,"3,000,000",07/08
대전 유성구,[육첩반상] 대전유성구용산동 현대아울렛 주방직원 모집합니다., 육첩반상 & 탐라포차 현대아울렛대전점,"3,000,000",07/08
울산 남구,육첩반상 이마트 울산점  저녁 알바 구합니다, 육첩반상 & 탐라포차 이마트울산,"9,500",07/06
경기 평택시,AK플라자 평택역 육첩반상 주말알바 모집합니다, 육첩반상 & 탐라포차 AK플라자평택점,"10,000",07/03
경기 평택시,AK플라자 평택역 육첩반상 주말알바 모집합니다, 육첩반상 & 탐라포차 AK플라자평택점,"10,000",07/03
경기 평택시,AK플라자 평택역 육첩반상 주말알바 모집합니다, 육첩반상 & 탐라포차 AK플라자평택점,"10,000",07/03
