local,title,company,pay,reg_date
경남 창원시,정직유부 내서점에서 함께 일할 파트타이머를 모집합니다., 정직유부 내서점,"9,160",9분전
경기 안성시,오전 주방 조리 구합니다, 정직유부 안성점,"9,500",30분전
경남 창원시,정직유부 내서점에서 함께 일할 파트타이머를 모집합니다., 정직유부 내서점,"9,160",3시간전
부산 북구,정직유부 구남점 파트타이머 모집, 정직유부 구남점,"9,200",4시간전
경남 창원시,정직유부 내서점에서 함께 일할 파트타이머를 모집합니다., 정직유부 내서점,"9,160",4시간전
경남 창원시,정직유부 내서점에서 함께 일할 파트타이머를 모집합니다., 정직유부 내서점,"9,160",5시간전
경기 안성시,오전 주방 조리 구합니다, 정직유부 안성점,"9,500",7시간전
경남 창원시,정직유부 내서점에서 함께 일할 파트타이머를 모집합니다., 정직유부 내서점,"9,160",7시간전
경기 화성시,"유부초밥 전문점 직원, 파트타임 모집", 정직유부 정직유부 화성시청점,"9,160",7시간전
부산 사하구,정직유부 토요일 파트타이머 공고, 정직유부 다대포점,"9,160",7시간전
부산 영도구,정직유부 영도동삼점 정직원 공고, 정직유부 영도점,"2,600,000",8시간전
서울 광진구,정직유부 중곡역점 직원 및 파트타임 구합니다, 정직유부 중곡역점,"9,160",15시간전
부산 해운대,정직유부중동역점, 정직유부 해운대중동역점,"9,160",07/18
부산 해운대,정직유부중동역점, 정직유부 해운대중동역점,"9,160",07/18
부산 해운대,정직유부중동역점, 정직유부 해운대중동역점,"9,160",07/18
경북 구미시,[급구]유부초밥전문점 (주말)풀타임 및 파트타임 모집, 정직유부 산동점,"9,160",07/18
경북 구미시,[급구]유부초밥전문점 (주말)풀타임 및 파트타임 모집, 정직유부 산동점,"9,160",07/18
경북 구미시,[급구]유부초밥전문점 직원 및 파트타임 모집, 정직유부 산동점,"9,160",07/18
경남 양산시,정직유부 범어점에서 주말파트타이머 구합니다., 정직유부 범어점,"9,160",07/18
경남 양산시,정직유부 범어점에서 주말파트타이머 구합니다., 정직유부 범어점,"9,160",07/18
경남 양산시,정직유부 범어점에서 주말파트타이머 구합니다., 정직유부 범어점,"9,160",07/18
경남 양산시,정직유부 범어점에서 주말파트타이머 구합니다., 정직유부 범어점,"9,160",07/18
경기 김포시,정직유부  정직원 모집  주5일 근무  250만원 10시에서20시30, 정직유부 풍무점,"2,500,000",07/18
부산 수영구,정직유부망미점파트타이머 모집합니다, 정직유부 망미점,"9,160",07/18
부산 수영구,정직유부망미점파트타이머 모집합니다, 정직유부 망미점,"9,160",07/18
부산 수영구,정직유부망미점파트타이머 모집합니다, 정직유부 망미점,"9,160",07/18
부산 수영구,정직유부망미점파트타이머 모집합니다, 정직유부 망미점,"9,160",07/18
부산 수영구,정직유부망미점파트타이머 모집합니다, 정직유부 망미점,"9,160",07/17
경남 양산시,정직유부 범어점에서 주말파트타이머 구합니다., 정직유부 범어점,"9,160",07/17
경북 구미시,[급구]유부초밥전문점 직원 및 파트타임 모집, 정직유부 산동점,"9,160",07/16
경기 김포시,정직유부  정직원 모집  주5일 근무  250만원 10시에서20시30, 정직유부 풍무점,"2,500,000",07/16
부산 연제구,정직유부 명륜점에서 오후직원 구합니다., 정직유부 명륜점,"1,600,000",07/13
부산 금정구,정직유부 명륜점에서 오후직원 구합니다., 정직유부 명륜점,"1,600,000",07/13
부산 동래구,정직유부 명륜점에서 오후직원 구합니다., 정직유부 명륜점,"1,600,000",07/13
부산 동래구,정직유부 명륜점에서 오후직원 구합니다., 정직유부 명륜점,"1,600,000",07/13
부산 동래구,정직유부 명륜점에서 오후직원 구합니다., 정직유부 명륜점,"1,600,000",07/13
부산 해운대,정직유부중동역점, 정직유부 해운대중동역점,"9,160",07/13
부산 해운대,정직유부중동역점, 정직유부 해운대중동역점,"9,160",07/13
경북 구미시,[급구]유부초밥전문점 (주말)풀타임 및 파트타임 모집, 정직유부 산동점,"9,160",07/12
서울 관악구,"정직유부 신림녹두점 시급9,500원 주말 홀서빙 모집합니다", 정직유부 신림녹두점,"9,500",07/12
부산 북구,정직유부 구남점 파트타이머 모집, 정직유부 구남점,"9,200",07/11
부산 북구,정직유부 구남점 파트타이머 모집, 정직유부 구남점,"9,200",07/11
서울 관악구,"정직유부 신림녹두점 시급9,500원 주말(금,토,일) 오전 알바 모집합니다", 정직유부 신림녹두점,"9,500",07/11
부산 금정구,정직유부 부산대점 주 5일 주방 정직원을 모집합니당 연락 주세용, 정직유부 부산대점,"2,300,000",07/10
부산 금정구,정직유부 부산대점 주 5일 주방 정직원을 모집합니당 연락 주세용, 정직유부 부산대점,"2,300,000",07/10
부산 금정구,정직유부 부산대점 주 5일 주방 정직원을 모집합니당 연락 주세용, 정직유부 부산대점,"2,300,000",07/10
부산 금정구,정직유부 부산대점 주 5일 주방 정직원을 모집합니당 연락 주세용, 정직유부 부산대점,"2,300,000",07/10
부산 금정구,정직유부 부산대점 주 5일 주방 정직원을 모집합니당 연락 주세용, 정직유부 부산대점,"2,300,000",07/10
경기 김포시,"정직유부 (유부초밥  만들기,  면끓이기.  포장, 홀써빙)", 정직유부 풍무점,"9,500",07/10
경기 김포시,"7월7일 오픈 정직유부 (유부초밥  만들기,  면끓이기.  포장, 홀써빙)", 정직유부 풍무점,"9,500",07/10
