local,title,company,pay,reg_date
경남 창원시,청년감자탕 창원상남점에서 함께 일하실 홀서빙 직원분 구해요, 청년감자탕순대국 창원상남점,"2,800,000",34분전
대전 서구,청년감자탕순대국  가족같이 일하실분 모십니다, 청년감자탕순대국 대전관저점,"9,160",5시간전
대전 서구,청년감자탕순대국  가족같이 일하실분 모십니다, 청년감자탕순대국 대전관저점,"9,160",5시간전
대전 서구,청년감자탕순대국  가족같이 일하실분 모십니다, 청년감자탕순대국 대전관저점,"9,160",5시간전
대전 서구,청년감자탕순대국  가족같이 일하실분 모십니다, 청년감자탕순대국 대전관저점,"9,160",5시간전
대전 서구,청년감자탕순대국  가족같이 일하실분 모십니다, 청년감자탕순대국 대전관저점,"9,160",5시간전
서울 노원구,청년감자탕 순대국 공릉점 주방직원 [급구] 구해요, 청년감자탕순대국 공릉점,"2,800,000",5시간전
서울 노원구,청년감자탕 순대국 공릉점 주방직원 [급구] 구해요, 청년감자탕순대국 공릉점,"2,800,000",5시간전
서울 노원구,청년감자탕 공릉점 함께 일하실 홀 서빙 알바생 구해요., 청년감자탕순대국 공릉점,"9,200",5시간전
서울 노원구,청년감자탕 순대국 공릉점 주방직원 [급구] 구해요, 청년감자탕순대국 공릉점,"2,800,000",5시간전
서울 노원구,청년감자탕 순대국 공릉점 주방직원 [급구] 구해요, 청년감자탕순대국 공릉점,"2,800,000",07/18
경남 김해시,청년감자탕 어방점  2시간오전 파트구해요, 청년감자탕순대국 김해인제점,"10,000",07/11
경남 김해시,청년감자탕 어방점  오전파트 구해요, 청년감자탕순대국 김해인제점,"10,000",07/11
