local,title,company,pay,reg_date
서울 강남구,(직영)투썸 도곡타워팰리스점  평일 오픈  Staff 모집, 투썸플레이스(주) 도곡타워팰리스점,"11,160",5분전
경기 평택시,평택 서정동 달콤마켓 토일 오후 알바생 모집합니다., 달콤마켓(송탄점),"9,160",5분전
대구 남구,투썸플레이스 대구영대병원역점 매니저(정직원)구합니다., (주)잇츠포인트,"2,030,000",5분전
인천 미추홀,"투썸플레이스 석바위시장역점 토,일,월,화,수 매니저 모집합니다.", 투썸플레이스 석바위시장역점,"2,000,000",6분전
경기 평택시,투썸플레이스 평택세교점 월화 마감 아르바이트생 모집, 투썸플레이스평택세교점,"9,160",6분전
경기 평택시,"투썸플레이스 평택세교점 월,화 오픈 아르바이트생 모집", 투썸플레이스평택세교점,"9,160",7분전
서울 강동구,[직영점] 투썸플레이스 천호로데오점  평일&주말 마감 스탭 구함, 투썸플레이스(주) 천호로데오점,"9,300",8분전
인천 남동구,투썸 간석점에서 마감근무 스탭 모집합니다.(초보자 가능), 투썸플레이스간석점,"9,160",9분전
경북 포항시,투썸  화목금토 주4일 7시10시 스텝채용, 투썸플레이스포항두호점,"9,160",12분전
서울 강남구,[신규 직영점] 투썸플레이스 대웅제약사옥점 스탭(STAFF) 채용, 투썸플레이스 대웅제약사옥점,"9,300",14분전
부산 중구,[부산광복점] 평일 마감 홀 스탭 구합니다, 투썸플레이스(주) 부산광복점,"9,300",22분전
경북 구미시,투썸플레이스 구미인동점  스탭 채용합니다, 투썸플레이스 구미인동점,"9,160",23분전
서울 양천구,투썸플레이스 양천신목로점  주말 마감  알바 구인, 투썸플레이스 양천신목로점,"9,160",23분전
충남 아산시,투썸플레이스 아산신용화점 평일 마감스탭 구합니다., 투썸플레이스아산신용화점,"9,160",27분전
강원 강릉시,투썸강릉포남점에서 함께할 금토 2일 마감 스텝을 모집합니다., 투썸플레이스 강릉포남점,"9,200",28분전
강원 원주시,투썸플레이스 원주기업도시스타세븐점  주말미들 스탭모집, 투썸플레이스원주기업도시스타세븐점,"9,160",29분전
대구 동구,투썸플레이스 동대구점 매니져  주5일 정규직 직원 모집  초보가능, 투썸플레이스 동대구점,"1,940,000",38분전
충남 당진시,"투썸당진CGV점에서 함께할 매니저,스탭을 모집합니다.", 투썸플레이스당진CGV점,"9,160",38분전
강원 양양군,"투썸플레이스 양양점 오픈,미들 스텝 구합니다.", 투썸플레이스 양양점,"11,000",38분전
서울 구로구,투썸플레이스 동양미래대점에서 토일스탭 모집합니다, 투썸플레이스 동양미래대점,"9,160",39분전
서울 노원구,투썸플레이스 중계은행사거리점 매니저 채용, 투썸플레이스 중계은행사거리,"2,000,000",41분전
서울 성동구,[직영]투썸플레이스 서울숲역점 월급제 사원 CAPTAIN 채용 모집, 투썸플레이스(주) 서울숲역점,"2,250,000",42분전
서울 성동구,[직영]투썸플레이스 서울숲역점 월급제 사원 CAPTAIN 채용 모집, 투썸플레이스(주) 서울숲역점,"2,250,000",43분전
경기 수원시,투썸 수원터미널점  평일(주4일) 스텝 구합니다, 투썸플레이스 수원터미널점,"9,160",43분전
경남 진주시,토일ㅡ마감알바모집, 투썸플레이스진주세란병원점,"9,160",43분전
인천 연수구,함께 일할 매니저님 찾습니다, 투썸플레이스(주),"1,914,440",44분전
전남 여수시,투썸플레이스 여수베네치아점 주말 마감 구합니다., 투썸플레이스 여수베네치아호텔점,"9,160",44분전
경남 진주시,목금 ㅡ마감알바모집, 투썸플레이스진주세란병원점,"9,160",44분전
서울 마포구,투썸플레이스 합정역점에서 함께근무하실 직원 모집합니다., (주)민앤장,"2,000,000",50분전
경기 수원시,투썸플레이스 수원영통점에서 월수금 오픈 스텝을 모집 합니다, (주)투올,"9,160",50분전
충북 청주시,투썸플레이스 성화점(맥도날드 옆)에서 수.목 파트타임 구합니다., 투썸플레이스 청주성화점,"9,160",51분전
서울 중구,[투썸 직영] 청계천광교점 캡틴(월급제 사원) 모집, 투썸플레이스(주) 청계천광교점,"2,250,000",52분전
서울 송파구,[투썸플레이스 문정역점/직영] 주 3~5일 마감스탭 모집, 투썸플레이스(주),"11,160",54분전
울산 중구,투썸울산태화루점 [ 매니저  ] 정직원 모집, 투썸플레이스 울산 태화루점,"2,100,000",56분전
경기 전체,투썸플레이스 일산덕이점 매니저 모집, 투썸플레이스 일산덕이점,"2,100,000",57분전
제주 서귀포,투썸플레이스서귀포신시가지점 직원모집, 투썸플레이스서귀포신시가지점,"10,000",58분전
경남 창원시,투썸플레이스 마산역점 매니저(정직원) 구합니다., (주)그린 (투썸플레이스 마산역점),"2,000,000",59분전
서울 중구,투썸플레이스 을지트윈타워점 스탭 모집, 투썸플레이스(주),"11,064",1시간전
경북 구미시,투썸플레이스 구미역점에서 평일/주말(오전) 근무자모집합니다., 투썸플레이스 구미역점,"9,160",1시간전
경기 성남시,"투썸플레이스 분당서현점   마감, 미들 스탭 모집", 투썸플레이스분당서현점,"12,000",1시간전
경기 성남시,투썸플레이스 서현중앙점 주말 미들 스탭  모집, 투썸플레이스 서현중앙점,"9,160",1시간전
경기 성남시,투썸플레이스 서현중앙점 주말 미들 스탭  모집, 투썸플레이스 서현중앙점,"9,160",1시간전
경기 수원시,투썸플레이스 광교이루리타워점 직원공고, 투썸플레이스 광교이루리타워,"1,920,000",1시간전
전북 익산시,투썸플레이스 익산유천생태습지공원점 주말스탭 채용, 투썸플레이스 익산유천생태습지공원점,"9,160",1시간전
대구 달서구,투썸플레이스 대구대곡점 주말 미들스텝 모집, 투썸플레이스 대구대곡점,"9,160",1시간전
서울 전체,[카페알바] 투썸플레이스 반포효성점 평일오후 스텝, 투썸플레이스 반포효성점,"10,992",1시간전
서울 서초구,"투썸플레이스 예술의전당점 주5일(8시간,로테이션 근무) 직원 모집합니다", 투썸플레이스 예술의전당점,"2,150,000",1시간전
서울 중구,투썸 황학신당역점 평일 마감 스탭 구합니다., 투썸플레이스,"9,160",1시간전
서울 중구,"투썸 황학신당역점 주말 근무 가능한 매니저 (주 5일 근무, 월 8회 휴무)", 투썸플레이스,"2,300,000",1시간전
서울 송파구,매니져(바리스타)모집합니다., 투썸플레이스 송파구청사거리점,"2,350,000",1시간전
