local,title,company,pay,reg_date
서울 강남구,파리바게뜨 일원역점 주말 마감 18-23시, 파리바게뜨 일원역점,"9,200",2분전
경북 구미시,파리바게뜨 구미형곡2호점 주말 알바모집, 파리바게뜨 구미형곡2호점,"9,160",3분전
경기 파주시,"운정야당점 평일 오후, 주말 오전,오후 모집", 파리바게뜨 운정야당점,"9,160",5분전
서울 전체,"파리바게뜨 역삼역점  화, 목 오픈 인원 모집 합니다.", 파리바게뜨 역삼역점,"9,160",5분전
경기 화성시,파리바게뜨 남양중앙점  오후알바(주중) 알바 구함, 파리바게뜨 남양중앙점,"9,160",6분전
광주 광산구,파리바게뜨 첨단쌍암점  주말오전 직원구함, 파리바게뜨 첨단쌍암점,"9,160",7분전
대전 동구,"주말(토,일,월)  오픈 [ 경력자  ]", 파리바게뜨 대전홍도점,"9,160",8분전
경남 거창군,파리바게뜨 거창사과농협하나로점 주말 평일 알바모집, 파리바게뜨 거창사과농협하나로점,"9,160",9분전
서울 광진구,평일 마감 주3일 구합니다(요일 협의가능/장기.성실근무자 우대), 파리바게뜨 자양현대점,"9,160",13분전
부산 연제구,수목금  (14시  19시), 파리바게뜨 부산교대점,"9,160",18분전
충남 보령시,파리바게뜨 보령시청점  주중오후 파트타임 구합니다, 파리바게뜨 보령시청점,"9,160",18분전
경기 의정부,파리바게트 의정부 녹양점 주말, 파리바게뜨 의정부녹양점,"9,160",19분전
서울 강서구,"파리바게뜨 신방화마곡점 (토,일 오픈)", 파리바게뜨 신방화마곡점,"9,160",19분전
부산 연제구,아침 (7시반    14시) 수목금, 파리바게뜨 부산교대점,"9,160",20분전
경기 의정부,"파리바게트 의정부녹양점 평일 오픈(목,금)", 파리바게뜨 의정부녹양점,"9,160",21분전
경기 과천시,주중 알바(요일/시간 협의가능), 파리바게뜨 양재2호점,"9,160",25분전
대구 동구,파리바게뜨신암점에서 아르바이트생을모집합니다, 파리바게뜨 대구신암점,"9,160",26분전
대구 중구,금토 마감 AR구합니다., 파리바게뜨 서문시장역점,"9,160",27분전
서울 전체,주중 알바(요일/시간 협의가능), 파리바게뜨 양재2호점,"9,160",28분전
