local,title,company,pay,reg_date
경기 용인시,피자샵 수지점에서 피자메이커 주말2일주4일5일6일 근무 자 모집합니다, 반올림피자샵 용인 수지점,"9,160",18분전
부산 해운대,평일17~22시 피자메이커[주방보조] 모셔봅니다. 끈기있고 센스쩌는분오세용, 반올림피자샵 부산 해운대점,"10,000",20분전
부산 해운대,시급만원 평일오후파트타임 재미있게 피자만들어보쉴?성실하시고 손빠르신분 오세용, 반올림피자샵 부산 해운대점,"10,000",26분전
경기 용인시,피자샵 수지점에서 피자메이커 주말2일주4일5일6일 근무 자 모집합니다, 반올림피자샵 용인 수지점,"9,160",40분전
인천 중구,반올림피자샵 영종 하늘도시 직원 구해요, 반올림피자샵 피자샵 서울경기지사,"3,500,000",41분전
경기 용인시,피자샵 수지점에서 피자메이커 주말2일주4일5일6일 근무 자 모집합니다, 반올림피자샵 용인 수지점,"9,160",48분전
서울 동대문,반올림피자샵 동대문구점에서 주5일 주방직원 구합니다., 반올림피자샵 서울 동대문구점,"9,160",50분전
대구 북구,[노원동]식품제조공장 직원 모집.(최대 290만이상/월)(단기근무가능), 반올림피자샵 반올림식품,"2,400,000",2시간전
전남 순천시,"금,토,일요일 18시-22시 아르바이트 구합니다", 반올림피자샵 전남 순천점,"9,160",2시간전
경기 남양주,반올림피자샵 화도점에서 피자메이커 모집, 반올림피자샵 화도점,"9,160",2시간전
대구 달서구,반올림피자샵 월배송현점 평일 주방직원 모집합니다., 반올림피자샵 월배송현점,"9,200",2시간전
대구 달서구,반올림피자샵 월배송현점 주말 주방직원 모집합니다., 반올림피자샵 월배송현점,"10,000",2시간전
서울 노원구,"반올림피자샵 상계중계점에서 월 ,화 저녁 피자 메이커 구합니다", 반올림피자샵 서울 상계중계점,"9,160",2시간전
서울 노원구,반올림피자샵 상계중계점에서월요일저녁 피자 메이커 구합니다, 반올림피자샵 서울 상계중계점,"9,160",2시간전
