local,title,company,pay,reg_date
서울 종로구,할리스 종각역점에서 평일 미들 파트타이머 모집합니다., 할리스커피 종로코리안리빌딩점,"9,160",10분전
전북 익산시,주3일 마감근무자 채용합니다-주부가능-(월금토 혹은 월금일-일정변경가능), 할리스커피 익산어양점,"9,160",17분전
경남 창원시,할리스커피 진해속천점 정직원 모집합니다(월 휴무 6회), 할리스커피 할리스 진해속천점,"2,200,000",19분전
서울 구로구,할리스구로점 평일 스탭 모집합니다 많이 지원해주세요, 할리스커피 구로점,"9,160",22분전
경기 수원시,할리스 수원권선점에서 파트타이머를 모집합니다., 할리스커피 수원권선점,"9,160",23분전
서울 강서구,[할리스커피 김포공항점] 평일/주말 파트타이머 모집합니다., 할리스커피 김포공항점,"9,160",29분전
서울 구로구,할리스구로점 주말 오전스탭 모집합니다 시급 1만원입니다, 할리스커피 구로점,"10,000",30분전
전남 순천시,주말알바 구합니다, 할리스커피 순천성가롤로병원점,"9,160",33분전
광주 북구,할리스커피 광주문흥 평일미들PT(경력자) 구합니다, 할리스커피 광주문흥점,"9,160",37분전
세종 가람동,세종 할리스 가람DT점 마감 PT채용, 할리스커피 세종가람DT점,"9,160",37분전
서울 광진구,할리스커피 청담삼성로점에서 주말마감 PT를 모집합니다., 할리스커피 청담삼성로점,"9,600",38분전
부산 기장군,[할리스 부산일광신도시점] 함께할 매니저 채용 합니다., 할리스커피 부산일광신도시점,"2,200,000",39분전
경기 부천시,"할리스커피 부천중동점 주말마감(토,일) 아르바이트 모집합니다,", 할리스커피 부천중동점,"9,160",42분전
전북 전주시,할리스 객사 전주시네마점  평일 마감 파트타이머 모집, 할리스커피 전주시네마점,"9,200",43분전
서울 송파구,할리스 가락시장역점 월수금 마감 파트타이머 구합니다., 할리스커피 가락시장역점,"9,160",44분전
경기 화성시,할리스 커피 화성융건릉점에서 [주말 마감] 파트타임 모집합니다., 할리스커피 화성융건릉점,"9,160",47분전
경기 화성시,할리스 커피 화성융건릉점에서 [주말 마감] 파트타임 모집합니다., 할리스커피 화성융건릉점,"9,160",47분전
경기 수원시,할리스 수원권선점에서 파트타이머를 모집합니다., 할리스커피 수원권선점,"9,160",50분전
