local,title,company,pay,reg_date
서울 동대문,동대문구 답십리동 호식이두마리치킨 직원및 파트알바 구함, 호식이두마리치킨 답십리점,"3,000,000",35분전
서울 광진구,호식이두마리치킨 구의중앙점 주방보조, 호식이두마리치킨 구의중앙점,"9,500",4시간전
경남 통영시,주방 아르바이트구함, 호식이두마리치킨 통영점,"9,160",4시간전
대구 동구,주방업무 배워볼 알바생 구합니다, 호식이두마리치킨 신천점,"10,000",5시간전
인천 부평구,호식이두마리치킨 산곡1호점에서 새 가족을 찾습니다, 호식이두마리치킨 산곡1호,"10,000",07/18
인천 서구,호식이두마리치킨 홀서빙 및 주방보조 알바모집합니다(지젤엠 가까우신분 환영), 호식이두마리치킨 청라1호점,"9,500",07/17
인천 서구,호식이두마리치킨 홀서빙 및 주방보조 알바모집합니다(지젤엠 가까우신분 환영), 호식이두마리치킨 청라1호점,"9,500",07/17
인천 서구,호식이두라미치킨 인천 연희점 알바 구인 합니다, 호식이두마리치킨 인천연희점,"9,500",07/17
인천 서구,호식이두라미치킨 인천 연희점 알바 구인 합니다, 호식이두마리치킨 인천연희점,"9,500",07/17
인천 서구,호식이두라미치킨 인천 연희점 알바 구인 합니다, 호식이두마리치킨 인천연희점,"9,500",07/17
대구 동구,주말 파트 알바 구합니다, 호식이두마리치킨 신천점,"10,000",07/16
인천 서구,호식이두마리치킨 인천마전점 주방보조 알바구합니다, 호식이두마리치킨 인천마전점,"10,000",07/16
인천 서구,호식이두마리치킨 인천마전점 알바 구합니다, 호식이두마리치킨 인천마전점,"10,000",07/16
대구 수성구,호식이두마리치킨 대구중동점에서 평일 아르바이트생을 모십니다., 호식이두마리치킨 대구중동점,"9,500",07/15
대구 수성구,호식이두마리치킨 대구중동점에서 평일 아르바이트생을 모십니다., 호식이두마리치킨 대구중동점,"9,500",07/15
대구 수성구,호식이두마리치킨 대구중동점에서 평일 아르바이트생을 모십니다., 호식이두마리치킨 대구중동점,"9,500",07/15
